Index,Current,Point Change,% Change,Turnover
NEPSE Index,"1,300.62",23.94,1.88,"917,359,865.00"
Sensitive Index,279.15,4.53,1.65,"945,574,000.00"
Float Index,92.24,1.79,1.98,"885,585,000.00"
Sensitive Float Index,91.87,1.57,1.74,"813,033,000.00"
Banking SubIndex,"1,139.74",18.01,1.61,"246,998,000.00"
Development Bank Index,"1,770.15",43.81,2.54,"243,345,000.00"
Finance Index,657.36,2.86,0.44,"44,970,000.00"
Hotels And Tourism,"2,041.50",83.32,4.25,"6,276,660.00"
HydroPower Index,"1,006.90",19.51,1.98,"35,340,000.00"
Life Insurance,"7,263.49",174.04,2.45,"201,397,000.00"
Manufacturing And Processing,"2,464.75",9.86,0.40,"33,271,200.00"
Microfinance Index,"2,055.44",66.43,3.34,"222,187,000.00"
Mutual Fund,10.16,0.03,0.30,"819,352.00"
Non Life Insurance,"5,438.29",149.76,2.83,"282,107,000.00"
Others Index,670.49,5.15,0.77,"11,503,000.00"
Trading Index,809.09,34.58,4.46,"4,111,650.00"
