SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"1,511.10","1,489.91",-,-,"1,712.18","1,296.00","109,089,677.80","306,173",908
2,2025-08-07,"1,484.79","1,492.90","1,478.86",(6.35),(0.43 %),"1,712.18","1,296.00","716,012,931.60","2,633,613","8,065"
3,2025-08-06,"1,478.43","1,495.30","1,476.42",(-7.10),(-0.47 %),"1,712.18","1,296.00","519,935,352.92","1,740,464","6,555"
4,2025-08-05,"1,485.53","1,524.31","1,483.51",(-15.72),(-1.04 %),"1,712.18","1,296.00","921,283,268.80","3,081,379","9,087"
5,2025-08-04,"1,501.26","1,513.92","1,468.26",(24.59),(1.66 %),"1,712.18","1,296.00","1,097,933,468.80","3,670,540","11,529"
6,2025-08-03,"1,476.66","1,514.43","1,475.41",(-34.39),(-2.27 %),"1,712.18","1,296.00","1,089,527,349.70","3,658,061","12,808"
7,2025-07-31,"1,511.05","1,538.01","1,508.61",(-22.19),(-1.44 %),"1,712.18","1,296.00","1,258,780,047.10","4,124,295","11,570"
8,2025-07-30,"1,533.25","1,576.33","1,530.15",(-24.21),(-1.55 %),"1,712.18","1,296.00","1,350,543,478.10","4,525,274","12,541"
9,2025-07-29,"1,557.47","1,572.06","1,542.75",(20.40),(1.32 %),"1,712.18","1,296.00","2,567,760,263.00","8,862,852","21,618"
10,2025-07-28,"1,537.06","1,542.40","1,508.09",(0.24),(0.01 %),"1,712.18","1,296.00","1,687,569,599.20","5,481,012","16,069"
11,2025-07-27,"1,536.82","1,561.43","1,533.72",(-11.13),(-0.71 %),"1,712.18","1,296.00","1,937,696,052.70","6,109,299","16,545"
12,2025-07-24,"1,547.96","1,563.05","1,539.80",(-9.55),(-0.61 %),"1,712.18","1,296.00","1,320,697,920.50","4,095,024","12,041"
13,2025-07-23,"1,557.52","1,568.65","1,543.49",(-3.96),(-0.25 %),"1,712.18","1,296.00","1,763,287,302.30","5,535,535","14,531"
14,2025-07-22,"1,561.48","1,563.36","1,530.60",(32.25),(2.10 %),"1,712.18","1,296.00","2,317,334,237.70","7,534,433","18,909"
15,2025-07-21,"1,529.22","1,540.35","1,508.29",(7.30),(0.48 %),"1,712.18","1,296.00","1,495,251,702.60","4,759,316","12,817"
16,2025-07-20,"1,521.91","1,561.43","1,517.67",(-21.41),(-1.38 %),"1,712.18","1,296.00","2,576,748,469.40","8,226,851","21,328"
17,2025-07-17,"1,543.33","1,548.71","1,522.41",(26.72),(1.76 %),"1,712.18","1,281.67","2,346,840,284.10","7,298,875","19,014"
18,2025-07-16,"1,516.60","1,527.86","1,493.67",(23.76),(1.59 %),"1,712.18","1,255.43","2,750,403,725.00","8,396,048","17,643"
19,2025-07-15,"1,492.84","1,495.76","1,456.90",(26.55),(1.81 %),"1,712.18","1,221.73","1,757,937,892.30","5,711,736","12,736"
20,2025-07-14,"1,466.28","1,505.94","1,463.50",(-37.02),(-2.46 %),"1,712.18","1,221.73","1,778,781,507.20","5,948,964","14,449"
21,2025-07-13,"1,503.31","1,515.87","1,479.37",(49.09),(3.37 %),"1,712.18","1,194.95","2,832,706,643.20","9,057,909","25,172"
22,2025-07-10,"1,454.21","1,462.14","1,414.82",(42.72),(3.02 %),"1,712.18","1,166.68","2,117,977,024.30","7,351,127","20,780"
23,2025-07-09,"1,411.48","1,414.69","1,387.25",(23.44),(1.68 %),"1,712.18","1,147.26","752,943,123.30","2,625,684","7,133"
24,2025-07-08,"1,388.04","1,398.42","1,381.26",(-5.20),(-0.37 %),"1,712.18","1,141.17","458,208,057.20","1,502,520","4,533"
25,2025-07-07,"1,393.24","1,414.11","1,391.68",(-11.10),(-0.79 %),"1,712.18","1,141.17","764,068,999.50","2,625,478","6,047"
26,2025-07-06,"1,404.35","1,412.50","1,394.17",(1.63),(0.11 %),"1,712.18","1,134.37","684,934,971.60","2,365,575","6,906"
27,2025-07-03,"1,402.71","1,413.23","1,386.15",(4.38),(0.31 %),"1,712.18","1,128.84","735,575,564.50","2,441,229","7,952"
28,2025-07-02,"1,398.33","1,398.95","1,377.60",(18.76),(1.36 %),"1,712.18","1,121.76","715,352,981.30","2,600,322","7,928"
29,2025-07-01,"1,379.56","1,381.88","1,359.89",(14.92),(1.09 %),"1,712.18","1,088.68","501,012,802.60","1,827,516","6,068"
30,2025-06-30,"1,364.64","1,369.66","1,355.73",(5.19),(0.38 %),"1,712.18","1,066.91","426,483,453.40","1,624,812","5,081"
31,2025-06-29,"1,359.45","1,361.79","1,329.67",(26.75),(2.00 %),"1,712.18","1,066.91","437,663,562.70","1,731,135","5,842"
32,2025-06-26,"1,332.69","1,338.39","1,330.65",(-1.60),(-0.12 %),"1,712.18","1,066.91","239,717,377.20","904,678","4,031"
33,2025-06-25,"1,334.29","1,342.16","1,331.92",(-1.29),(-0.09 %),"1,712.18","1,066.91","261,378,372.80","997,401","3,746"
34,2025-06-24,"1,335.59","1,349.06","1,331.27",(5.93),(0.44 %),"1,712.18","1,066.91","356,897,276.80","1,341,354","4,727"
35,2025-06-23,"1,329.66","1,334.48","1,323.27",(2.06),(0.15 %),"1,712.18","1,066.91","266,162,446.00","1,065,217","4,280"
36,2025-06-22,"1,327.60","1,342.52","1,326.99",(-11.49),(-0.85 %),"1,712.18","1,066.91","432,831,099.10","1,647,989","5,834"
37,2025-06-19,"1,339.10","1,352.20","1,338.86",(-6.76),(-0.50 %),"1,712.18","1,066.91","425,989,951.20","1,595,474","5,357"
38,2025-06-18,"1,345.86","1,352.68","1,344.82",(-1.62),(-0.12 %),"1,712.18","1,066.91","338,680,883.60","1,285,079","4,239"
39,2025-06-17,"1,347.49","1,360.17","1,345.57",(-6.12),(-0.45 %),"1,712.18","1,066.91","333,780,329.90","1,201,749","4,048"
40,2025-06-16,"1,353.61","1,358.37","1,343.81",(6.57),(0.48 %),"1,712.18","1,066.91","490,568,351.30","1,855,098","5,205"
41,2025-06-15,"1,347.04","1,359.08","1,345.10",(-6.03),(-0.44 %),"1,712.18","1,066.91","413,616,104.80","1,552,127","5,464"
42,2025-06-12,"1,353.08","1,367.73","1,350.37",(-8.55),(-0.62 %),"1,712.18","1,066.91","456,155,376.10","1,816,694","5,481"
43,2025-06-11,"1,361.64","1,377.91","1,356.04",(-7.02),(-0.51 %),"1,712.18","1,066.91","664,026,771.00","2,599,416","5,525"
44,2025-06-10,"1,368.66","1,371.08","1,353.03",(12.67),(0.93 %),"1,712.18","1,066.91","523,166,261.00","1,947,710","5,732"
45,2025-06-09,"1,355.99","1,358.79","1,348.61",(5.93),(0.43 %),"1,712.18","1,066.91","316,565,323.50","1,171,706","4,380"
46,2025-06-08,"1,350.06","1,367.71","1,348.08",(-14.36),(-1.05 %),"1,712.18","1,066.91","470,138,753.70","1,820,946","5,466"
47,2025-06-05,"1,364.42","1,382.16","1,363.25",(-6.02),(-0.43 %),"1,712.18","1,066.91","513,081,173.30","1,937,582","5,375"
48,2025-06-04,"1,370.44","1,381.72","1,364.65",(-8.21),(-0.59 %),"1,712.18","1,066.91","451,155,546.40","1,734,665","5,519"
49,2025-06-03,"1,378.65","1,414.08","1,376.45",(-33.09),(-2.34 %),"1,712.18","1,066.91","798,661,003.50","2,823,569","7,393"
50,2025-06-02,"1,411.74","1,445.54","1,406.49",(-8.50),(-0.59 %),"1,712.18","1,066.91","1,090,533,842.40","3,822,258","10,202"
51,2025-05-28,"1,420.24","1,424.21","1,386.10",(26.27),(1.88 %),"1,712.18","1,066.91","1,129,108,002.30","4,211,055","9,807"
52,2025-05-27,"1,393.97","1,397.00","1,369.44",(5.57),(0.40 %),"1,712.18","1,066.91","639,763,727.00","2,426,801","6,100"
53,2025-05-26,"1,388.39","1,438.03","1,378.09",(2.48),(0.17 %),"1,712.18","1,066.91","1,069,251,726.40","3,837,523","10,112"
54,2025-05-25,"1,385.91","1,407.85","1,369.30",(-9.33),(-0.66 %),"1,712.18","1,066.91","999,364,096.80","3,820,424","9,909"
55,2025-05-22,"1,395.24","1,399.11","1,344.62",(51.35),(3.82 %),"1,712.18","1,066.91","1,729,096,128.20","6,937,495","16,624"
56,2025-05-21,"1,343.88","1,409.73","1,343.37",(3.40),(0.25 %),"1,712.18","1,066.91","768,576,209.50","2,902,493","8,760"
57,2025-05-20,"1,340.48","1,344.41","1,306.55",(25.24),(1.91 %),"1,712.18","1,066.91","433,098,365.30","1,721,827","5,595"
58,2025-05-19,"1,315.24","1,317.77","1,298.77",(15.29),(1.17 %),"1,712.18","1,066.91","365,152,218.80","1,426,758","4,497"
59,2025-05-18,"1,299.94","1,307.71","1,296.54",(-1.88),(-0.14 %),"1,712.18","1,051.41","348,931,419.90","1,428,712","4,927"
