SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"6,040.55","5,989.16",-,-,"6,557.35","4,843.53","39,057,585.90","57,231",223
2,2025-08-07,"6,011.91","6,072.51","5,968.24",(25.39),(0.42 %),"6,557.35","4,843.53","612,429,804.20","951,712","4,487"
3,2025-08-06,"5,986.51","6,084.92","5,981.08",(-36.79),(-0.61 %),"6,557.35","4,843.53","601,698,010.60","1,029,133","4,480"
4,2025-08-05,"6,023.30","6,228.79","6,014.76",(-157.95),(-2.55 %),"6,557.35","4,843.53","743,562,389.30","1,333,388","5,801"
5,2025-08-04,"6,181.26","6,299.07","6,099.24",(-3.96),(-0.06 %),"6,557.35","4,843.53","981,881,990.70","1,707,423","7,100"
6,2025-08-03,"6,185.22","6,312.68","6,172.07",(-104.82),(-1.66 %),"6,557.35","4,843.53","1,205,291,219.30","2,132,531","9,077"
7,2025-07-31,"6,290.05","6,416.88","6,270.09",(-29.77),(-0.47 %),"6,557.35","4,843.53","1,703,803,726.80","2,854,391","13,180"
8,2025-07-30,"6,319.82","6,547.46","6,297.59",(-213.72),(-3.27 %),"6,557.35","4,843.53","1,408,538,677.20","2,491,822","10,171"
9,2025-07-29,"6,533.55","6,660.41","6,482.96",(-23.79),(-0.36 %),"6,557.35","4,843.53","1,483,709,858.30","2,598,241","10,176"
10,2025-07-28,"6,557.35","6,597.01","6,324.16",(193.68),(3.04 %),"6,557.35","4,843.53","2,987,304,494.95","5,580,618","20,278"
11,2025-07-27,"6,363.66","6,441.08","6,241.21",(77.64),(1.23 %),"6,363.66","4,843.53","2,512,097,279.90","4,658,223","15,259"
12,2025-07-24,"6,286.02","6,314.13","6,130.01",(66.16),(1.06 %),"6,286.02","4,843.53","1,855,392,218.15","3,698,668","10,646"
13,2025-07-23,"6,219.85","6,308.12","6,118.66",(-57.76),(-0.92 %),"6,277.61","4,843.53","1,387,601,081.70","2,543,120","9,822"
14,2025-07-22,"6,277.61","6,367.80","6,082.90",(138.82),(2.26 %),"6,277.61","4,843.53","1,909,125,992.20","3,531,125","14,299"
15,2025-07-21,"6,138.79","6,295.96","6,006.86",(86.12),(1.42 %),"6,138.79","4,843.53","2,478,890,570.20","4,526,468","17,733"
16,2025-07-20,"6,052.67","6,171.03","6,004.34",(-5.19),(-0.08 %),"6,126.27","4,843.53","1,901,623,319.90","3,577,361","12,140"
17,2025-07-17,"6,057.87","6,113.88","5,927.59",(115.87),(1.95 %),"6,126.27","4,843.53","1,342,539,272.00","2,322,789","9,409"
18,2025-07-16,"5,941.99","5,946.39","5,711.79",(221.30),(3.86 %),"6,126.27","4,653.31","1,582,536,659.60","3,021,719","9,132"
19,2025-07-15,"5,720.68","5,744.64","5,629.78",(69.43),(1.22 %),"6,126.27","4,434.20","531,339,046.90","927,685","3,530"
20,2025-07-14,"5,651.24","5,747.41","5,625.90",(-85.41),(-1.48 %),"6,126.27","4,434.20","578,488,543.40","939,946","4,130"
21,2025-07-13,"5,736.66","5,841.76","5,697.48",(83.38),(1.47 %),"6,126.27","4,434.20","848,356,460.20","1,543,298","6,224"
22,2025-07-10,"5,653.27","5,693.41","5,567.69",(62.62),(1.12 %),"6,126.27","4,434.20","852,744,133.00","1,201,982","5,580"
23,2025-07-09,"5,590.65","5,592.15","5,538.69",(19.39),(0.34 %),"6,126.27","4,434.20","391,176,681.40","531,674","3,197"
24,2025-07-08,"5,571.25","5,594.56","5,485.95",(23.11),(0.41 %),"6,126.27","4,361.62","369,808,347.40","493,251","3,130"
25,2025-07-07,"5,548.13","5,613.52","5,504.48",(-45.73),(-0.81 %),"6,126.27","4,361.62","722,558,968.50","888,507","4,495"
26,2025-07-06,"5,593.87","5,694.04","5,582.39",(-87.42),(-1.53 %),"6,126.27","4,361.62","591,888,255.70","760,836","5,023"
27,2025-07-03,"5,681.29","5,749.85","5,594.58",(67.67),(1.20 %),"6,126.27","4,242.69","1,061,814,883.50","1,528,941","9,057"
28,2025-07-02,"5,613.61","5,613.95","5,476.20",(126.95),(2.31 %),"6,126.27","4,130.71","917,328,102.60","1,096,822","6,794"
29,2025-07-01,"5,486.66","5,496.35","5,405.77",(65.66),(1.21 %),"6,126.27","4,050.01","561,249,401.80","713,355","4,086"
30,2025-06-30,"5,421.00","5,439.75","5,375.17",(38.78),(0.72 %),"6,126.27","3,997.45","594,401,519.10","708,614","5,085"
31,2025-06-29,"5,382.21","5,390.94","5,304.13",(85.39),(1.61 %),"6,126.27","3,997.45","458,959,627.00","586,047","4,682"
32,2025-06-26,"5,296.82","5,308.60","5,242.86",(52.88),(1.00 %),"6,126.27","3,997.45","381,140,598.60","491,022","3,296"
33,2025-06-25,"5,243.93","5,263.48","5,228.59",(1.33),(0.02 %),"6,126.27","3,997.45","172,112,470.50","314,932","2,117"
34,2025-06-24,"5,242.60","5,316.19","5,237.91",(-22.24),(-0.42 %),"6,126.27","3,997.45","260,307,176.70","391,750","1,964"
35,2025-06-23,"5,264.85","5,333.32","5,237.45",(-5.19),(-0.09 %),"6,126.27","3,997.45","225,439,083.30","356,626","2,141"
36,2025-06-22,"5,270.04","5,354.95","5,257.84",(-46.88),(-0.88 %),"6,126.27","3,997.45","409,732,439.90","604,527","3,682"
37,2025-06-19,"5,316.93","5,386.43","5,307.38",(-60.26),(-1.12 %),"6,126.27","3,997.45","401,864,873.20","645,712","3,574"
38,2025-06-18,"5,377.19","5,437.84","5,368.77",(-68.28),(-1.25 %),"6,126.27","3,997.45","388,089,504.20","531,645","3,078"
39,2025-06-17,"5,445.48","5,471.17","5,401.44",(-11.26),(-0.20 %),"6,126.27","3,997.45","231,505,501.10","380,138","2,517"
40,2025-06-16,"5,456.75","5,491.65","5,402.15",(15.86),(0.29 %),"6,126.27","3,997.45","425,846,198.40","689,017","3,718"
41,2025-06-15,"5,440.88","5,461.82","5,405.36",(26.51),(0.48 %),"6,126.27","3,997.45","350,019,285.20","568,598","3,219"
42,2025-06-12,"5,414.37","5,488.33","5,413.48",(-54.75),(-1.00 %),"6,126.27","3,997.45","409,450,896.20","694,257","3,421"
43,2025-06-11,"5,469.12","5,543.94","5,457.03",(-43.50),(-0.78 %),"6,126.27","3,997.45","491,709,778.30","755,357","3,276"
44,2025-06-10,"5,512.63","5,539.08","5,476.71",(39.32),(0.71 %),"6,126.27","3,997.45","361,034,374.30","596,520","2,971"
45,2025-06-09,"5,473.30","5,493.80","5,425.07",(9.56),(0.17 %),"6,126.27","3,997.45","539,697,555.00","765,224","3,418"
46,2025-06-08,"5,463.73","5,491.49","5,429.40",(-3.47),(-0.06 %),"6,126.27","3,997.45","565,884,301.70","731,430","3,474"
47,2025-06-05,"5,467.21","5,535.23","5,460.32",(-15.72),(-0.28 %),"6,126.27","3,997.45","604,622,408.60","786,396","4,111"
48,2025-06-04,"5,482.94","5,532.44","5,470.33",(-39.53),(-0.71 %),"6,126.27","3,997.45","375,068,508.80","554,732","2,818"
49,2025-06-03,"5,522.47","5,585.39","5,484.54",(-64.11),(-1.14 %),"6,126.27","3,997.45","448,765,797.20","630,701","3,261"
50,2025-06-02,"5,586.59","5,636.89","5,529.26",(16.64),(0.29 %),"6,126.27","3,997.45","582,484,620.65","901,790","4,063"
51,2025-05-28,"5,569.95","5,584.73","5,497.96",(71.28),(1.29 %),"6,126.27","3,997.45","581,158,136.50","806,000","4,086"
52,2025-05-27,"5,498.66","5,520.23","5,379.16",(89.89),(1.66 %),"6,126.27","3,997.45","629,689,417.30","817,933","4,207"
53,2025-05-26,"5,408.77","5,582.61","5,403.25",(-14.72),(-0.27 %),"6,126.27","3,997.45","442,107,377.40","745,715","3,344"
54,2025-05-25,"5,423.49","5,512.15","5,396.42",(-80.87),(-1.46 %),"6,126.27","3,997.45","411,797,191.30","664,534","3,386"
55,2025-05-22,"5,504.36","5,591.98","5,490.35",(-13.04),(-0.23 %),"6,126.27","3,997.45","647,930,574.70","992,494","4,495"
56,2025-05-21,"5,517.41","5,765.29","5,511.41",(8.18),(0.14 %),"6,126.27","3,997.45","965,557,282.40","1,755,994","7,536"
57,2025-05-20,"5,509.22","5,524.66","5,343.91",(157.88),(2.95 %),"6,126.27","3,997.45","551,228,312.10","892,898","4,839"
58,2025-05-19,"5,351.34","5,365.20","5,243.96",(99.09),(1.88 %),"6,126.27","3,997.45","433,824,286.10","713,936","4,133"
59,2025-05-18,"5,252.24","5,380.59","5,242.89",(-119.33),(-2.22 %),"6,126.27","3,997.45","567,382,804.30","1,005,520","4,541"
60,2025-05-15,"5,371.57","5,489.77","5,349.16",(-116.86),(-2.12 %),"6,126.27","3,997.45","564,454,533.50","993,379","4,568"
61,2025-05-14,"5,488.44","5,581.00","5,400.68",(65.05),(1.19 %),"6,126.27","3,997.45","946,385,156.10","1,823,056","6,979"
62,2025-05-13,"5,423.39","5,512.72","5,377.24",(47.34),(0.88 %),"6,126.27","3,997.45","769,098,005.30","1,401,464","6,175"
63,2025-05-11,"5,376.04","5,407.03","5,296.67",(59.38),(1.11 %),"6,126.27","3,997.45","541,645,378.90","846,310","4,739"
64,2025-05-08,"5,316.65","5,356.41","5,286.75",(-30.22),(-0.56 %),"6,126.27","3,997.45","317,313,729.80","517,739","3,074"
65,2025-05-07,"5,346.88","5,372.17","5,159.10",(125.50),(2.40 %),"6,126.27","3,997.45","381,266,393.40","661,121","4,000"
66,2025-05-06,"5,221.37","5,265.44","5,190.58",(-26.72),(-0.50 %),"6,126.27","3,997.45","354,013,267.70","542,582","3,117"
67,2025-05-05,"5,248.10","5,290.23","5,225.67",(-40.36),(-0.76 %),"6,126.27","3,997.45","385,401,268.20","467,879","2,757"
68,2025-05-04,"5,288.46","5,322.31","5,257.33",(3.23),(0.06 %),"6,126.27","3,997.45","472,554,959.80","592,798","3,137"
69,2025-04-30,"5,285.23","5,357.75","5,272.65",(-56.65),(-1.06 %),"6,126.27","3,997.45","360,064,377.90","522,439","3,131"
70,2025-04-29,"5,341.88","5,383.75","5,311.01",(-48.65),(-0.90 %),"6,126.27","3,997.45","470,525,544.90","623,613","2,970"
71,2025-04-28,"5,390.54","5,423.14","5,358.83",(-15.26),(-0.28 %),"6,126.27","3,934.31","467,671,819.80","584,095","2,914"
72,2025-04-27,"5,405.80","5,448.41","5,364.03",(-1.48),(-0.02 %),"6,126.27","3,848.45","545,640,930.30","697,049","3,971"
73,2025-04-24,"5,407.29","5,472.32","5,396.11",(-41.46),(-0.76 %),"6,126.27","3,848.45","446,691,999.00","600,822","3,383"
74,2025-04-23,"5,448.76","5,548.74","5,442.99",(-116.70),(-2.09 %),"6,126.27","3,848.45","541,082,005.00","716,971","3,551"
75,2025-04-22,"5,565.47","5,663.49","5,555.82",(-91.14),(-1.61 %),"6,126.27","3,848.45","373,175,446.60","500,094","3,038"
76,2025-04-21,"5,656.61","5,660.90","5,565.57",(24.66),(0.43 %),"6,126.27","3,848.45","687,826,416.00","673,205","3,291"
77,2025-04-20,"5,631.95","5,690.19","5,577.20",(-45.36),(-0.79 %),"6,126.27","3,848.45","682,236,263.70","738,077","3,989"
78,2025-04-17,"5,677.32","5,695.34","5,605.08",(76.16),(1.35 %),"6,126.27","3,848.45","657,552,345.00","788,826","4,567"
79,2025-04-16,"5,601.15","5,611.59","5,531.99",(61.89),(1.11 %),"6,126.27","3,848.45","596,114,291.90","671,290","3,917"
