SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"2,612.63","2,588.22",-,-,"3,975.49","2,313.15","23,107,756.90","34,116",118
2,2025-08-07,"2,586.45","2,592.30","2,551.15",(35.29),(1.38 %),"3,975.49","2,313.15","278,141,731.50","447,575","2,802"
3,2025-08-06,"2,551.15","2,578.71","2,547.38",(-10.73),(-0.41 %),"3,975.49","2,313.15","178,830,769.00","307,125","2,411"
4,2025-08-05,"2,561.88","2,629.75","2,556.05",(-44.01),(-1.68 %),"3,975.49","2,313.15","215,045,430.70","363,103","2,939"
5,2025-08-04,"2,605.89","2,664.76","2,582.85",(-21.74),(-0.82 %),"3,975.49","2,313.15","357,332,090.80","569,662","4,087"
6,2025-08-03,"2,627.64","2,708.23","2,625.49",(-44.56),(-1.66 %),"3,975.49","2,313.15","508,345,282.30","775,813","6,212"
7,2025-07-31,"2,672.20","2,738.15","2,620.12",(31.24),(1.18 %),"3,975.49","2,313.15","707,030,268.60","1,108,831","7,011"
8,2025-07-30,"2,640.95","2,737.49","2,633.87",(-73.32),(-2.70 %),"3,975.49","2,313.15","358,986,004.80","591,912","4,245"
9,2025-07-29,"2,714.27","2,768.68","2,700.58",(-3.32),(-0.12 %),"3,975.49","2,313.15","437,809,368.80","721,312","4,827"
10,2025-07-28,"2,717.59","2,725.84","2,605.12",(72.89),(2.75 %),"3,975.49","2,313.15","621,717,603.70","1,011,532","6,713"
11,2025-07-27,"2,644.69","2,720.79","2,637.50",(-53.72),(-1.99 %),"3,975.49","2,313.15","659,545,174.90","1,102,225","7,155"
12,2025-07-24,"2,698.42","2,752.48","2,689.37",(-20.68),(-0.76 %),"3,975.49","2,313.15","470,645,682.60","786,776","5,303"
13,2025-07-23,"2,719.10","2,742.24","2,619.12",(85.14),(3.23 %),"3,975.49","2,313.15","831,385,719.70","1,419,500","9,604"
14,2025-07-22,"2,633.96","2,640.71","2,581.92",(50.37),(1.94 %),"3,975.49","2,313.15","452,169,951.30","786,413","5,136"
15,2025-07-21,"2,583.58","2,608.72","2,558.95",(0.23),(0.00 %),"3,975.49","2,313.15","478,093,516.50","844,954","5,682"
16,2025-07-20,"2,583.35","2,672.42","2,580.69",(-59.85),(-2.26 %),"3,975.49","2,313.15","973,055,986.60","1,752,502","11,007"
17,2025-07-17,"2,643.20","2,663.85","2,572.86",(72.08),(2.80 %),"3,975.49","2,313.15","509,551,668.50","877,826","5,694"
18,2025-07-16,"2,571.12","2,599.56","2,552.54",(19.29),(0.75 %),"3,975.49","2,313.15","272,940,327.40","470,233","3,338"
19,2025-07-15,"2,551.82","2,570.93","2,506.64",(45.01),(1.79 %),"3,975.49","2,313.15","315,234,880.30","547,702","3,873"
20,2025-07-14,"2,506.80","2,540.09","2,503.56",(-28.74),(-1.13 %),"3,975.49","2,313.15","206,199,899.60","366,961","2,605"
