SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,197.20,195.91,-,-,206.88,170.03,"754,853,454.11","1,445,462","7,014"
2,2025-08-07,195.64,196.40,194.70,(1.06),(0.54 %),206.88,170.03,"8,339,945,019.50","16,242,396","93,978"
3,2025-08-06,194.57,196.18,194.21,(-0.10),(-0.05 %),206.88,170.03,"7,466,995,431.42","13,538,132","91,172"
4,2025-08-05,194.68,199.01,194.49,(-2.74),(-1.39 %),206.88,170.03,"9,153,117,524.00","16,828,741","128,827"
5,2025-08-04,197.43,198.43,194.53,(1.11),(0.56 %),206.88,170.03,"10,636,098,691.00","20,028,734","146,973"
6,2025-08-03,196.31,200.69,196.23,(-4.22),(-2.10 %),206.88,170.03,"12,846,372,470.40","22,783,759","149,633"
7,2025-07-31,200.54,203.38,200.14,(-2.07),(-1.02 %),206.88,170.03,"15,365,337,571.50","26,855,521","165,126"
8,2025-07-30,202.61,207.52,202.22,(-3.63),(-1.76 %),206.88,170.03,"16,182,438,963.58","28,528,560","138,793"
9,2025-07-29,206.25,208.21,204.95,(1.97),(0.96 %),206.88,170.03,"18,243,440,505.10","34,109,134","153,738"
10,2025-07-28,204.27,204.73,200.81,(0.34),(0.16 %),206.88,170.03,"18,750,130,986.65","35,700,395","167,067"
11,2025-07-27,203.93,207.57,203.55,(-1.45),(-0.70 %),206.88,170.03,"25,960,977,778.94","49,755,874","200,176"
12,2025-07-24,205.39,205.93,203.96,(0.28),(0.13 %),206.88,170.03,"18,134,209,303.15","34,824,472","151,290"
13,2025-07-23,205.10,206.24,203.10,(0.06),(0.03 %),206.88,170.03,"19,107,990,430.85","38,661,196","166,700"
14,2025-07-22,205.03,205.16,199.67,(5.54),(2.77 %),206.88,170.03,"19,828,082,730.70","37,910,679","174,288"
15,2025-07-21,199.49,200.26,196.79,(1.60),(0.81 %),206.88,170.03,"16,103,444,184.40","29,239,998","136,811"
16,2025-07-20,197.89,201.82,197.35,(-0.44),(-0.22 %),206.88,166.12,"20,960,747,612.70","40,896,792","175,081"
17,2025-07-17,198.33,198.98,193.59,(5.06),(2.62 %),206.88,161.46,"16,308,096,218.10","32,114,421","138,888"
18,2025-07-16,193.26,193.88,190.51,(2.66),(1.39 %),206.88,157.68,"13,579,663,848.05","27,202,862","96,678"
19,2025-07-15,190.60,190.82,187.84,(2.60),(1.38 %),206.88,152.61,"8,683,161,091.63","17,711,811","72,129"
