SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"6,984.30","6,934.69",-,-,"7,755.99","5,963.95","13,887,711.30","14,528",127
2,2025-08-07,"6,964.24","7,010.51","6,923.57",(42.15),(0.60 %),"7,755.99","5,963.95","112,061,262.80","135,198","1,159"
3,2025-08-06,"6,922.09","6,969.89","6,870.92",(-3.47),(-0.05 %),"7,755.99","5,963.95","110,494,133.70","140,031","1,008"
4,2025-08-05,"6,925.56","7,047.18","6,905.69",(-58.98),(-0.84 %),"7,780.66","5,963.95","173,937,053.20","225,478","1,234"
5,2025-08-04,"6,984.55","7,094.13","6,932.78",(-24.13),(-0.34 %),"7,780.66","5,963.95","216,853,176.00","264,654","1,450"
6,2025-08-03,"7,008.68","7,142.02","6,988.64",(-83.14),(-1.17 %),"7,780.66","5,963.95","315,717,772.30","359,184","2,102"
7,2025-07-31,"7,091.82","7,208.68","7,062.30",(-71.55),(-0.99 %),"7,780.66","5,963.95","263,220,087.60","316,627","1,797"
8,2025-07-30,"7,163.38","7,339.04","7,150.97",(-154.39),(-2.10 %),"7,780.66","5,963.95","330,073,775.40","421,093","1,879"
9,2025-07-29,"7,317.77","7,446.44","7,276.91",(23.51),(0.32 %),"7,780.66","5,963.95","266,755,283.70","318,706","1,733"
10,2025-07-28,"7,294.26","7,370.64","7,190.77",(-13.46),(-0.18 %),"7,780.66","5,963.95","387,849,759.40","459,889","2,331"
11,2025-07-27,"7,307.72","7,554.34","7,294.01",(-133.23),(-1.79 %),"7,780.66","5,963.95","619,946,194.94","777,592","3,488"
12,2025-07-24,"7,440.95","7,513.88","7,392.28",(34.36),(0.46 %),"7,780.66","5,963.95","396,138,873.60","458,317","2,365"
13,2025-07-23,"7,406.58","7,515.31","7,328.71",(-82.49),(-1.10 %),"7,780.66","5,963.95","479,567,933.70","588,239","3,195"
14,2025-07-22,"7,489.08","7,503.53","7,255.07",(249.73),(3.44 %),"7,780.66","5,963.95","637,360,909.00","836,430","3,574"
15,2025-07-21,"7,239.35","7,276.17","7,155.07",(21.79),(0.30 %),"7,780.66","5,963.95","497,986,397.00","554,548","3,598"
16,2025-07-20,"7,217.55","7,342.24","7,087.47",(88.58),(1.24 %),"7,780.66","5,963.95","521,368,913.40","618,307","3,901"
17,2025-07-17,"7,128.97","7,182.76","6,947.71",(181.25),(2.60 %),"7,780.66","5,963.95","269,178,932.70","353,705","2,165"
