SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"3,742.03","3,722.02",-,-,"3,941.95","2,957.04","249,068,359.01","552,552","2,276"
2,2025-08-07,"3,720.07","3,731.33","3,693.39",(27.76),(0.75 %),"3,941.95","2,957.04","3,471,358,865.00","8,520,356","39,722"
3,2025-08-06,"3,692.31","3,724.76","3,687.83",(-5.68),(-0.15 %),"3,941.95","2,957.04","2,936,796,638.30","7,120,091","34,638"
4,2025-08-05,"3,697.99","3,776.33","3,691.72",(-59.86),(-1.59 %),"3,941.95","2,957.04","3,390,996,091.40","7,619,475","36,736"
5,2025-08-04,"3,757.86","3,776.51","3,714.54",(9.38),(0.25 %),"3,941.95","2,957.04","3,908,306,066.40","9,091,007","56,872"
6,2025-08-03,"3,748.47","3,805.22","3,743.02",(-49.49),(-1.30 %),"3,941.95","2,957.04","4,286,733,939.30","9,790,108","65,719"
7,2025-07-31,"3,797.97","3,858.99","3,790.71",(-44.55),(-1.15 %),"3,941.95","2,957.04","4,807,154,719.30","11,219,027","75,990"
8,2025-07-30,"3,842.53","3,927.14","3,834.10",(-63.87),(-1.63 %),"3,941.95","2,957.04","5,863,403,964.00","13,147,126","52,309"
9,2025-07-29,"3,906.40","3,945.73","3,889.86",(17.26),(0.44 %),"3,941.95","2,957.04","6,528,465,732.90","13,878,439","55,256"
10,2025-07-28,"3,889.14","3,904.24","3,823.72",(-9.59),(-0.24 %),"3,941.95","2,957.04","6,563,976,381.50","15,147,704","62,340"
11,2025-07-27,"3,898.73","3,996.43","3,885.22",(-43.22),(-1.09 %),"3,941.95","2,957.04","11,625,804,472.30","26,707,848","90,861"
12,2025-07-24,"3,941.95","3,948.88","3,871.56",(77.47),(2.00 %),"3,941.95","2,957.04","8,402,521,191.10","18,858,919","71,488"
13,2025-07-23,"3,864.48","3,876.58","3,810.44",(33.75),(0.88 %),"3,894.76","2,957.04","7,353,015,279.25","18,857,637","68,019"
14,2025-07-22,"3,830.73","3,833.44","3,761.75",(71.50),(1.90 %),"3,894.76","2,957.04","6,181,939,122.60","14,395,242","57,798"
15,2025-07-21,"3,759.22","3,777.30","3,719.97",(17.29),(0.46 %),"3,894.76","2,957.04","5,306,063,370.60","11,941,564","49,099"
16,2025-07-20,"3,741.93","3,823.25","3,736.32",(-15.85),(-0.42 %),"3,894.76","2,957.04","7,717,415,579.90","18,099,143","68,829"
17,2025-07-17,"3,757.78","3,773.70","3,648.45",(111.00),(3.04 %),"3,894.76","2,957.04","6,545,671,859.40","14,966,513","57,682"
18,2025-07-16,"3,646.78","3,649.27","3,594.95",(46.39),(1.28 %),"3,894.76","2,935.30","5,059,656,284.00","10,475,226","36,918"
19,2025-07-15,"3,600.39","3,608.36","3,535.83",(60.73),(1.71 %),"3,894.76","2,783.55","3,471,019,552.63","7,408,069","31,019"
20,2025-07-14,"3,539.65","3,553.14","3,518.53",(5.32),(0.15 %),"3,894.76","2,763.32","2,885,541,196.60","6,625,750","29,060"
21,2025-07-13,"3,534.32","3,642.26","3,531.52",(-29.62),(-0.83 %),"3,894.76","2,675.01","3,604,698,924.60","8,837,033","35,907"
22,2025-07-10,"3,563.94","3,593.03","3,556.21",(-7.92),(-0.22 %),"3,894.76","2,637.22","3,399,916,647.00","7,800,296","34,018"
23,2025-07-09,"3,571.86","3,589.50","3,547.68",(19.20),(0.54 %),"3,894.76","2,609.16","3,294,601,566.10","6,973,873","29,505"
24,2025-07-08,"3,552.65","3,562.60","3,502.52",(20.84),(0.59 %),"3,894.76","2,595.61","2,754,441,323.00","6,296,135","27,684"
25,2025-07-07,"3,531.80","3,577.63","3,525.85",(-36.53),(-1.02 %),"3,894.76","2,595.61","2,862,256,175.61","6,813,884","29,741"
26,2025-07-06,"3,568.34","3,616.26","3,562.25",(-38.22),(-1.05 %),"3,894.76","2,595.61","3,301,067,085.30","7,750,413","35,372"
27,2025-07-03,"3,606.56","3,644.27","3,600.04",(-21.49),(-0.59 %),"3,894.76","2,595.61","4,145,017,500.97","9,783,211","40,961"
28,2025-07-02,"3,628.05","3,658.05","3,613.25",(17.13),(0.47 %),"3,894.76","2,595.61","4,563,294,195.50","10,497,359","43,503"
29,2025-07-01,"3,610.92","3,616.41","3,565.20",(49.42),(1.38 %),"3,894.76","2,571.21","3,680,987,688.70","8,586,003","34,748"
