SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,115.16,114.30,-,-,122.74,97.68,"27,091,954.70","46,242",241
2,2025-08-07,114.23,114.82,113.51,(0.34),(0.30 %),122.74,97.68,"382,869,286.10","671,118","3,355"
3,2025-08-06,113.88,115.07,113.28,(0.56),(0.49 %),122.74,97.68,"471,254,171.10","504,902","3,764"
4,2025-08-05,113.32,116.48,113.17,(-2.08),(-1.80 %),122.74,97.68,"431,782,572.20","719,605","3,881"
5,2025-08-04,115.41,116.66,113.87,(0.13),(0.11 %),122.74,97.68,"485,048,599.80","807,909","4,306"
6,2025-08-03,115.28,118.13,115.14,(-2.58),(-2.19 %),122.74,97.68,"544,301,251.30","910,830","5,269"
7,2025-07-31,117.86,120.27,117.42,(-1.58),(-1.32 %),122.74,97.68,"709,807,558.10","1,214,623","5,480"
8,2025-07-30,119.44,123.34,119.22,(-2.01),(-1.65 %),122.74,97.68,"723,390,559.30","1,101,433","5,751"
9,2025-07-29,121.45,122.71,119.95,(1.13),(0.94 %),122.74,96.96,"967,777,296.10","1,413,636","6,539"
10,2025-07-28,120.31,120.98,118.12,(-0.12),(-0.10 %),122.74,96.96,"839,297,020.70","1,531,795","7,369"
11,2025-07-27,120.44,124.62,119.91,(-2.03),(-1.66 %),122.74,92.19,"1,104,266,818.30","2,062,697","8,761"
12,2025-07-24,122.47,123.49,121.57,(0.31),(0.25 %),122.74,92.19,"948,227,630.80","1,670,253","7,301"
13,2025-07-23,122.16,123.77,120.75,(1.09),(0.90 %),122.74,92.19,"1,374,352,922.00","3,020,416","10,824"
14,2025-07-22,121.06,121.33,117.21,(3.80),(3.24 %),122.74,90.17,"1,286,170,759.60","2,636,880","9,633"
15,2025-07-21,117.26,118.03,116.12,(0.43),(0.37 %),122.74,90.17,"607,003,943.20","983,726","4,641"
16,2025-07-20,116.82,119.90,116.63,(-0.19),(-0.16 %),122.74,88.23,"1,125,256,283.40","1,714,800","7,308"
17,2025-07-17,117.02,117.59,113.37,(3.60),(3.17 %),122.74,87.45,"1,112,400,716.70","1,419,567","6,396"
18,2025-07-16,113.42,114.11,112.03,(0.59),(0.52 %),122.74,86.13,"801,346,898.10","963,408","3,694"
19,2025-07-15,112.83,113.26,111.04,(1.21),(1.08 %),122.74,83.59,"581,241,231.10","629,314","2,572"
20,2025-07-14,111.61,113.21,111.50,(-1.42),(-1.25 %),122.74,82.19,"704,178,650.20","636,467","3,075"
21,2025-07-13,113.03,115.70,112.79,(-0.09),(-0.08 %),122.74,81.14,"804,305,178.20","933,901","4,057"
22,2025-07-10,113.13,113.71,111.67,(0.40),(0.35 %),122.74,80.72,"1,018,705,859.80","1,030,072","3,733"
23,2025-07-09,112.72,113.21,110.69,(1.53),(1.37 %),122.74,80.20,"830,798,520.80","882,966","4,147"
24,2025-07-08,111.19,111.61,110.48,(0.09),(0.08 %),122.74,79.91,"453,912,190.37","390,599","2,446"
25,2025-07-07,111.10,113.01,110.94,(-0.85),(-0.76 %),122.74,79.91,"499,746,124.70","507,958","2,945"
26,2025-07-06,111.95,112.92,110.96,(0.41),(0.37 %),122.74,78.69,"615,854,966.90","843,659","3,780"
27,2025-07-03,111.53,113.62,111.33,(-0.87),(-0.77 %),122.74,77.22,"494,555,887.50","517,462","3,450"
28,2025-07-02,112.40,113.03,110.98,(1.13),(1.01 %),122.74,77.08,"951,129,897.30","754,246","4,249"
