SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"13,503.96","13,380.65",-,-,"14,838.88","12,108.38","25,475,858.00","42,873",309
2,2025-08-07,"13,402.68","13,458.93","13,304.82",(101.92),(0.76 %),"14,838.88","12,108.38","234,337,784.00","408,670","5,653"
3,2025-08-06,"13,300.75","13,442.73","13,291.05",(-61.30),(-0.45 %),"14,838.88","12,108.38","253,347,696.70","438,317","5,722"
4,2025-08-05,"13,362.06","13,654.37","13,355.24",(-199.66),(-1.47 %),"14,838.88","12,108.38","273,919,386.50","484,477","6,033"
5,2025-08-04,"13,561.72","13,669.78","13,417.24",(67.90),(0.50 %),"14,838.88","12,108.38","303,312,420.80","540,105","7,571"
6,2025-08-03,"13,493.81","13,812.45","13,490.49",(-297.94),(-2.16 %),"14,838.88","12,108.38","480,722,425.20","873,736","9,543"
7,2025-07-31,"13,791.76","14,045.88","13,754.32",(-181.03),(-1.29 %),"14,838.88","12,108.38","474,261,781.70","839,630","8,517"
8,2025-07-30,"13,972.79","14,355.61","13,940.09",(-250.94),(-1.76 %),"14,838.88","12,108.38","472,663,910.10","819,111","8,050"
9,2025-07-29,"14,223.74","14,396.73","14,137.88",(112.60),(0.79 %),"14,838.88","12,108.38","652,820,407.00","1,140,992","10,705"
10,2025-07-28,"14,111.13","14,195.73","13,911.60",(-82.24),(-0.57 %),"14,838.88","12,108.38","716,626,046.90","1,288,270","10,648"
11,2025-07-27,"14,193.38","14,522.96","14,152.39",(-195.23),(-1.35 %),"14,838.88","12,108.38","875,101,737.20","1,488,611","12,092"
12,2025-07-24,"14,388.61","14,467.95","14,311.45",(-34.36),(-0.23 %),"14,838.88","12,108.38","677,913,241.50","1,181,571","9,765"
13,2025-07-23,"14,422.97","14,631.10","14,229.36",(-72.89),(-0.50 %),"14,838.88","12,108.38","768,894,811.90","1,289,273","11,457"
14,2025-07-22,"14,495.86","14,510.24","13,895.08",(606.65),(4.36 %),"14,838.88","11,651.35","1,045,873,435.50","1,776,437","15,015"
15,2025-07-21,"13,889.21","13,973.67","13,714.99",(3.37),(0.02 %),"14,838.88","11,649.72","495,142,233.20","749,302","7,897"
16,2025-07-20,"13,885.84","14,151.00","13,681.64",(192.20),(1.40 %),"14,838.88","11,475.03","970,657,684.70","1,584,944","12,462"
17,2025-07-17,"13,693.63","13,758.35","13,289.91",(417.28),(3.14 %),"14,838.88","11,328.71","595,558,782.60","1,064,537","9,264"
18,2025-07-16,"13,276.35","13,383.82","13,172.86",(87.53),(0.66 %),"14,838.88","11,086.45","496,588,654.40","885,276","5,675"
19,2025-07-15,"13,188.81","13,216.64","13,066.38",(90.01),(0.68 %),"14,838.88","10,767.60","232,814,908.80","407,902","3,527"
20,2025-07-14,"13,098.80","13,325.65","13,093.69",(-181.53),(-1.36 %),"14,838.88","10,767.60","244,607,880.00","425,058","3,481"
21,2025-07-13,"13,280.34","13,584.50","13,267.50",(3.57),(0.02 %),"14,838.88","10,727.73","339,697,467.40","623,222","5,053"
22,2025-07-10,"13,276.77","13,392.04","13,229.95",(25.64),(0.19 %),"14,838.88","10,409.03","300,471,800.00","515,477","4,602"
23,2025-07-09,"13,251.12","13,284.05","13,201.91",(32.93),(0.24 %),"14,838.88","10,329.35","532,454,864.60","515,382","3,800"
24,2025-07-08,"13,218.19","13,253.45","13,102.18",(-0.71),(0.00 %),"14,838.88","10,301.81","609,351,184.30","518,471","3,734"
25,2025-07-07,"13,218.90","13,368.25","13,183.47",(-124.58),(-0.93 %),"14,838.88","10,301.81","802,282,868.40","819,752","5,645"
26,2025-07-06,"13,343.48","13,574.57","13,327.85",(-176.71),(-1.30 %),"14,838.88","10,210.89","773,448,553.50","970,851","6,193"
27,2025-07-03,"13,520.20","13,631.50","13,136.53",(345.88),(2.62 %),"14,838.88","10,013.25","733,193,426.70","1,286,169","8,884"
28,2025-07-02,"13,174.32","13,227.09","12,813.00",(362.68),(2.83 %),"14,838.88","10,013.25","374,703,972.70","704,911","6,300"
29,2025-07-01,"12,811.64","12,826.10","12,625.37",(142.76),(1.12 %),"14,838.88","9,825.50","185,143,389.20","314,345","4,009"
30,2025-06-30,"12,668.87","12,705.26","12,569.88",(104.28),(0.82 %),"14,838.88","9,773.22","172,254,028.80","266,131","3,749"
31,2025-06-29,"12,564.59","12,588.35","12,432.81",(103.04),(0.82 %),"14,838.88","9,773.22","177,957,146.40","323,073","3,957"
32,2025-06-26,"12,461.55","12,602.56","12,449.20",(-42.95),(-0.34 %),"14,838.88","9,773.22","223,472,281.30","383,646","3,859"
33,2025-06-25,"12,504.51","12,559.46","12,483.86",(8.01),(0.06 %),"14,838.88","9,773.22","164,806,100.30","240,540","3,866"
34,2025-06-24,"12,496.50","12,620.26","12,483.59",(-15.36),(-0.12 %),"14,838.88","9,773.22","164,737,237.70","281,374","4,168"
35,2025-06-23,"12,511.86","12,625.67","12,476.16",(-49.62),(-0.39 %),"14,838.88","9,773.22","148,782,003.60","251,188","3,694"
36,2025-06-22,"12,561.49","12,698.56","12,545.65",(-135.23),(-1.06 %),"14,838.88","9,773.22","280,242,244.50","482,479","5,341"
37,2025-06-19,"12,696.72","12,785.00","12,668.15",(-52.54),(-0.41 %),"14,838.88","9,773.22","239,916,870.60","413,226","5,070"
38,2025-06-18,"12,749.27","12,789.18","12,691.30",(18.56),(0.14 %),"14,838.88","9,773.22","205,143,124.40","306,614","4,742"
39,2025-06-17,"12,730.70","12,850.84","12,719.04",(-61.30),(-0.47 %),"14,838.88","9,773.22","176,714,743.20","291,631","4,365"
40,2025-06-16,"12,792.01","12,891.98","12,733.77",(15.57),(0.12 %),"14,838.88","9,773.22","227,961,658.90","389,564","5,165"
41,2025-06-15,"12,776.43","12,874.24","12,767.00",(-70.58),(-0.54 %),"14,838.88","9,773.22","206,794,263.70","364,149","4,818"
42,2025-06-12,"12,847.02","12,948.97","12,839.96",(-65.95),(-0.51 %),"14,838.88","9,773.22","234,543,390.10","362,461","4,808"
43,2025-06-11,"12,912.97","13,067.58","12,908.65",(-110.55),(-0.84 %),"14,838.88","9,773.22","171,960,976.00","284,330","3,795"
