SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"5,478.06","5,441.35",-,-,"5,688.96","4,608.92","61,287,524.40","40,027",514
2,2025-08-07,"5,463.04","5,500.36","5,445.82",(19.94),(0.36 %),"5,688.96","4,608.92","1,094,709,469.50","883,416","10,081"
3,2025-08-06,"5,443.09","5,474.75","5,350.75",(75.85),(1.41 %),"5,688.96","4,608.92","1,078,810,183.10","847,193","10,860"
4,2025-08-05,"5,367.23","5,446.14","5,313.81",(26.82),(0.50 %),"5,688.96","4,608.92","1,106,719,125.70","923,452","10,530"
5,2025-08-04,"5,340.40","5,381.34","5,258.50",(33.13),(0.62 %),"5,688.96","4,608.92","802,095,714.50","781,259","9,064"
6,2025-08-03,"5,307.27","5,476.88","5,301.49",(-167.12),(-3.05 %),"5,688.96","4,608.92","1,126,270,743.40","1,070,409","11,005"
7,2025-07-31,"5,474.40","5,554.06","5,457.50",(-27.84),(-0.50 %),"5,688.96","4,608.92","1,244,319,186.00","1,164,617","11,373"
8,2025-07-30,"5,502.25","5,693.20","5,478.48",(-186.71),(-3.28 %),"5,688.96","4,608.92","1,591,570,739.00","1,490,533","14,694"
9,2025-07-29,"5,688.96","5,745.54","5,602.32",(94.78),(1.69 %),"5,688.96","4,608.92","2,056,997,801.40","1,896,446","16,552"
10,2025-07-28,"5,594.18","5,616.01","5,496.96",(-16.26),(-0.28 %),"5,664.10","4,608.92","1,516,038,736.60","1,425,987","13,715"
11,2025-07-27,"5,610.44","5,714.51","5,585.42",(0.37),(0.00 %),"5,664.10","4,608.92","2,302,917,384.20","2,127,958","16,692"
12,2025-07-24,"5,610.06","5,640.93","5,557.74",(-13.11),(-0.23 %),"5,664.10","4,608.92","1,796,807,923.70","1,664,915","13,672"
13,2025-07-23,"5,623.18","5,685.68","5,554.46",(-40.92),(-0.72 %),"5,664.10","4,608.92","1,907,048,468.70","1,791,017","14,318"
14,2025-07-22,"5,664.10","5,691.42","5,450.24",(221.54),(4.07 %),"5,664.10","4,608.92","2,339,441,881.20","2,193,052","19,357"
15,2025-07-21,"5,442.55","5,493.22","5,298.13",(103.10),(1.93 %),"5,571.14","4,608.92","2,024,127,381.50","2,023,225","14,752"
16,2025-07-20,"5,339.45","5,429.89","5,304.00",(-1.58),(-0.02 %),"5,571.14","4,608.92","2,094,434,897.00","2,093,124","14,744"
