SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,20.60,20.47,-,-,22.38,18.90,"1,178,602.20","117,970",84
2,2025-08-07,20.54,20.57,20.39,(0.06),(0.32 %),22.38,18.90,"93,321,405.06","8,775,213","1,282"
3,2025-08-06,20.47,20.56,20.35,(0.00),(0.00 %),22.38,18.90,"84,083,437.37","7,789,821","1,358"
4,2025-08-05,20.47,20.56,20.41,(0.03),(0.18 %),22.38,18.90,"51,215,003.14","4,791,263","1,372"
5,2025-08-04,20.44,20.55,20.36,(0.01),(0.08 %),22.38,18.90,"70,946,460.22","6,617,071","1,418"
6,2025-08-03,20.42,20.70,20.39,(-0.20),(-1.00 %),22.38,18.90,"95,673,223.44","8,906,950","1,902"
7,2025-07-31,20.62,20.79,20.57,(-0.12),(-0.60 %),22.38,18.90,"72,000,377.50","6,604,243","1,628"
8,2025-07-30,20.75,20.85,20.68,(-0.02),(-0.10 %),22.38,18.90,"76,618,800.04","7,169,074","1,634"
9,2025-07-29,20.77,20.82,20.55,(0.17),(0.86 %),22.38,18.90,"74,645,041.13","6,893,838","2,351"
10,2025-07-28,20.60,20.65,20.39,(-0.03),(-0.16 %),22.38,18.90,"64,172,602.24","6,097,027","1,406"
11,2025-07-27,20.63,20.67,20.40,(0.08),(0.39 %),22.38,18.90,"52,615,188.17","5,089,437","1,564"
12,2025-07-24,20.55,20.56,20.39,(0.04),(0.23 %),22.38,18.90,"28,473,833.44","2,753,135","1,262"
13,2025-07-23,20.50,20.51,20.33,(0.03),(0.15 %),22.38,18.90,"47,781,963.62","4,375,782","1,475"
14,2025-07-22,20.47,20.47,20.27,(0.11),(0.56 %),22.38,18.90,"49,757,211.36","4,787,031","1,599"
15,2025-07-21,20.35,20.38,20.18,(0.03),(0.19 %),22.38,18.90,"59,198,854.09","5,712,577","1,215"
16,2025-07-20,20.31,20.37,20.16,(0.05),(0.25 %),22.38,18.90,"84,306,274.62","8,270,301","1,631"
17,2025-07-17,20.26,20.33,20.10,(0.00),(0.04 %),22.38,18.90,"54,600,558.63","5,318,024","1,433"
18,2025-07-16,20.25,20.36,19.97,(0.31),(1.58 %),22.38,18.90,"149,312,885.54","14,507,127","1,758"
19,2025-07-15,19.93,20.10,19.85,(0.00),(0.00 %),22.38,18.90,"77,592,371.21","7,567,182","1,157"
20,2025-07-14,19.94,20.04,19.84,(-0.03),(-0.17 %),22.38,18.90,"37,588,465.77","3,644,386",870
21,2025-07-13,19.97,20.05,19.69,(0.21),(1.08 %),22.38,18.90,"77,944,705.30","7,608,113","1,309"
22,2025-07-10,19.76,19.78,19.53,(0.16),(0.85 %),22.38,18.90,"60,532,924.53","5,813,417",978
23,2025-07-09,19.59,19.60,19.46,(0.00),(-0.01 %),22.38,18.90,"22,135,474.60","2,165,995",683
24,2025-07-08,19.59,19.62,19.40,(-0.01),(-0.09 %),22.38,18.90,"13,834,951.86","1,346,003",715
25,2025-07-07,19.61,19.71,19.56,(0.01),(0.07 %),22.38,18.90,"47,785,113.27","4,462,299",891
26,2025-07-06,19.60,19.67,19.48,(0.02),(0.14 %),22.38,18.90,"67,840,565.76","6,335,682",877
27,2025-07-03,19.57,19.59,19.36,(0.22),(1.14 %),22.38,18.90,"47,854,766.40","4,602,532","1,097"
28,2025-07-02,19.35,19.36,19.20,(0.01),(0.06 %),22.38,18.90,"90,944,688.86","8,780,954",774
29,2025-07-01,19.33,19.36,19.16,(0.06),(0.33 %),22.38,18.90,"12,658,488.31","1,254,819",643
