SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"2,871.93","2,852.54",-,-,"3,002.07","2,464.40","680,807,284.21","1,284,479","6,116"
2,2025-08-07,"2,850.37","2,861.34","2,831.27",(18.30),(0.64 %),"3,002.07","2,464.40","8,339,945,019.50","16,242,396","93,978"
3,2025-08-06,"2,832.06","2,856.63","2,826.86",(-1.94),(-0.06 %),"3,002.07","2,464.40","7,466,995,431.42","13,538,132","91,172"
4,2025-08-05,"2,834.00","2,906.24","2,831.63",(-41.35),(-1.43 %),"3,002.07","2,464.40","9,153,117,524.00","16,828,741","128,827"
5,2025-08-04,"2,875.36","2,890.05","2,832.60",(16.46),(0.57 %),"3,002.07","2,464.40","10,636,098,691.00","20,028,734","146,973"
6,2025-08-03,"2,858.90","2,923.88","2,856.95",(-63.73),(-2.18 %),"3,002.07","2,464.40","12,846,372,470.40","22,783,759","149,633"
7,2025-07-31,"2,922.63","2,967.03","2,915.47",(-31.50),(-1.06 %),"3,002.07","2,464.40","15,365,337,571.50","26,855,521","165,126"
8,2025-07-30,"2,954.14","3,020.17","2,947.71",(-47.93),(-1.59 %),"3,002.07","2,464.40","16,182,438,963.58","28,528,560","138,793"
9,2025-07-29,"3,002.07","3,028.79","2,976.00",(30.76),(1.03 %),"3,002.07","2,464.40","18,243,440,505.10","34,109,134","153,738"
10,2025-07-28,"2,971.31","2,976.92","2,917.51",(7.10),(0.23 %),"3,000.81","2,464.40","18,750,130,986.65","35,700,395","167,067"
11,2025-07-27,"2,964.20","3,013.17","2,958.34",(-18.44),(-0.61 %),"3,000.81","2,464.40","25,960,977,778.94","49,755,874","200,176"
12,2025-07-24,"2,982.64","2,990.45","2,963.79",(3.76),(0.12 %),"3,000.81","2,464.40","18,134,209,303.15","34,824,472","151,290"
13,2025-07-23,"2,978.88","2,992.26","2,947.86",(5.17),(0.17 %),"3,000.81","2,464.40","19,107,990,430.85","38,661,196","166,700"
14,2025-07-22,"2,973.70","2,975.77","2,894.48",(80.97),(2.79 %),"3,000.81","2,464.40","19,828,082,730.70","37,910,679","174,288"
15,2025-07-21,"2,892.72","2,902.94","2,856.88",(21.76),(0.75 %),"3,000.81","2,464.40","16,103,444,184.40","29,239,998","136,811"
16,2025-07-20,"2,870.95","2,922.84","2,861.06",(0.32),(0.01 %),"3,000.81","2,424.32","20,960,747,612.70","40,896,792","175,081"
17,2025-07-17,"2,870.63","2,878.77","2,796.58",(75.84),(2.71 %),"3,000.81","2,364.63","16,308,096,218.10","32,114,421","138,888"
18,2025-07-16,"2,794.78","2,803.78","2,759.11",(34.61),(1.25 %),"3,000.81","2,310.59","13,579,663,848.05","27,202,862","96,678"
19,2025-07-15,"2,760.17","2,763.27","2,724.90",(34.46),(1.26 %),"3,000.81","2,240.41","8,683,161,091.63","17,711,811","72,129"
20,2025-07-14,"2,725.71","2,765.91","2,723.82",(-35.09),(-1.27 %),"3,000.81","2,240.41","7,926,695,604.40","16,663,358","71,072"
