SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"12,804.22","12,741.73",-,-,"14,430.52","11,881.64","1,642,033.70","2,243",43
2,2025-08-07,"12,749.00","12,806.11","12,682.96",(54.04),(0.42 %),"14,430.52","11,881.64","119,197,817.30","161,670","1,915"
3,2025-08-06,"12,694.96","12,798.90","12,665.00",(-46.12),(-0.36 %),"14,430.52","11,881.64","131,720,055.00","163,624","1,860"
4,2025-08-05,"12,741.08","12,983.67","12,713.98",(-164.74),(-1.27 %),"14,430.52","11,881.64","166,204,930.80","218,508","2,404"
5,2025-08-04,"12,905.83","13,034.30","12,824.18",(-66.34),(-0.51 %),"14,430.52","11,881.64","188,394,059.10","245,985","2,617"
6,2025-08-03,"12,972.18","13,198.30","12,955.07",(-229.53),(-1.73 %),"14,430.52","11,881.64","218,627,602.80","276,852","3,041"
7,2025-07-31,"13,201.72","13,349.85","13,129.36",(-94.24),(-0.70 %),"14,430.52","11,881.64","259,592,400.20","314,336","3,069"
8,2025-07-30,"13,295.96","13,571.22","13,263.91",(-208.68),(-1.54 %),"14,430.52","11,881.64","264,170,999.58","331,214","3,194"
9,2025-07-29,"13,504.64","13,581.05","13,404.21",(150.18),(1.12 %),"14,430.52","11,881.64","364,803,223.00","443,617","3,831"
10,2025-07-28,"13,354.46","13,484.46","13,262.14",(-96.26),(-0.71 %),"14,430.52","11,881.64","297,748,112.10","375,225","3,658"
11,2025-07-27,"13,450.72","13,676.57","13,432.55",(-91.92),(-0.67 %),"14,430.52","11,881.64","495,146,945.20","618,292","4,757"
12,2025-07-24,"13,542.65","13,707.43","13,515.97",(-78.22),(-0.57 %),"14,430.52","11,881.64","378,325,074.30","455,798","3,817"
13,2025-07-23,"13,620.87","13,746.88","13,553.49",(-84.20),(-0.61 %),"14,430.52","11,881.64","424,977,484.70","518,754","3,938"
14,2025-07-22,"13,705.07","13,726.46","13,368.66",(342.40),(2.56 %),"14,430.52","11,881.64","545,674,367.70","664,863","5,277"
15,2025-07-21,"13,362.67","13,419.00","13,121.67",(168.16),(1.27 %),"14,430.52","11,881.64","509,519,753.90","612,054","4,815"
16,2025-07-20,"13,194.51","13,358.34","12,996.18",(179.55),(1.37 %),"14,430.52","11,881.64","595,232,936.80","729,868","5,718"
17,2025-07-17,"13,014.95","13,079.74","12,736.14",(278.80),(2.18 %),"14,430.52","11,800.44","425,569,962.80","520,307","4,541"
18,2025-07-16,"12,736.14","12,864.36","12,474.86",(231.48),(1.85 %),"14,430.52","11,418.02","301,741,990.80","399,891","2,992"
19,2025-07-15,"12,504.65","12,541.81","12,388.11",(95.54),(0.76 %),"14,430.52","11,179.96","379,427,991.60","499,542","2,287"
20,2025-07-14,"12,409.11","12,645.78","12,403.21",(-132.32),(-1.05 %),"14,430.52","11,179.96","224,646,097.30","289,232","2,073"
21,2025-07-13,"12,541.43","12,847.50","12,532.80",(-43.04),(-0.34 %),"14,430.52","11,142.21","289,620,209.80","372,642","2,704"
22,2025-07-10,"12,584.47","12,733.28","12,537.98",(34.97),(0.27 %),"14,430.52","11,030.31","278,178,871.50","353,952","2,449"
23,2025-07-09,"12,549.50","12,593.72","12,491.51",(31.23),(0.24 %),"14,430.52","10,889.15","233,164,790.30","288,689","2,137"
24,2025-07-08,"12,518.26","12,591.35","12,469.04",(-47.44),(-0.37 %),"14,430.52","10,840.46","215,329,257.70","278,369","1,725"
25,2025-07-07,"12,565.71","12,739.53","12,533.01",(-84.29),(-0.66 %),"14,430.52","10,840.46","259,653,048.00","331,036","2,562"
26,2025-07-06,"12,650.01","12,771.62","12,560.54",(-65.37),(-0.51 %),"14,430.52","10,734.66","390,534,733.90","501,952","3,138"
27,2025-07-03,"12,715.38","12,766.77","12,471.71",(279.19),(2.24 %),"14,430.52","10,672.46","552,719,342.40","770,441","4,767"
28,2025-07-02,"12,436.19","12,455.90","12,129.57",(304.94),(2.51 %),"14,430.52","10,672.46","385,709,740.80","559,215","3,956"
29,2025-07-01,"12,131.24","12,148.79","12,005.13",(126.11),(1.05 %),"14,430.52","10,443.77","132,140,061.70","181,896","1,851"
30,2025-06-30,"12,005.13","12,039.38","11,920.04",(73.44),(0.61 %),"14,430.52","10,391.84","185,072,886.30","230,540","1,700"
31,2025-06-29,"11,931.68","11,950.97","11,855.10",(50.03),(0.42 %),"14,430.52","10,391.84","120,862,392.20","167,223","1,843"
32,2025-06-26,"11,881.64","11,981.69","11,864.14",(-49.07),(-0.41 %),"14,430.52","10,391.84","128,648,111.50","185,027","1,714"
33,2025-06-25,"11,930.71","11,961.60","11,902.39",(12.45),(0.10 %),"14,430.52","10,391.84","108,119,290.50","123,172","1,870"
34,2025-06-24,"11,918.26","12,086.02","11,908.37",(-37.88),(-0.31 %),"14,430.52","10,391.84","123,455,446.00","165,111","1,769"
35,2025-06-23,"11,956.14","12,066.03","11,941.35",(-27.59),(-0.23 %),"14,430.52","10,391.84","145,244,226.90","184,064","2,259"
36,2025-06-22,"11,983.74","12,060.89","11,978.11",(-58.34),(-0.48 %),"14,430.52","10,391.84","150,944,933.90","167,270","2,553"
37,2025-06-19,"12,042.08","12,145.13","12,033.11",(-41.55),(-0.34 %),"14,430.52","10,391.84","178,256,660.00","246,764","2,466"
38,2025-06-18,"12,083.64","12,180.29","12,077.85",(-75.89),(-0.62 %),"14,430.52","10,391.84","117,188,792.60","147,900","1,842"
39,2025-06-17,"12,159.53","12,211.41","12,121.04",(-30.51),(-0.25 %),"14,430.52","10,391.84","102,912,646.90","130,071","1,637"
40,2025-06-16,"12,190.04","12,250.79","12,120.29",(31.18),(0.25 %),"14,430.52","10,391.84","173,458,686.20","234,038","2,184"
41,2025-06-15,"12,158.86","12,304.87","12,124.59",(8.59),(0.07 %),"14,430.52","10,391.84","208,962,228.80","252,912","2,794"
42,2025-06-12,"12,150.27","12,253.06","12,129.73",(-59.55),(-0.48 %),"14,430.52","10,391.84","196,985,812.40","236,310","2,589"
43,2025-06-11,"12,209.82","12,347.26","12,205.30",(-87.52),(-0.71 %),"14,430.52","10,391.84","183,103,198.60","207,812","2,141"
44,2025-06-10,"12,297.35","12,348.53","12,170.84",(153.32),(1.26 %),"14,430.52","10,391.84","172,210,923.60","187,442","2,067"
45,2025-06-09,"12,144.03","12,164.30","12,089.23",(54.02),(0.44 %),"14,430.52","10,391.84","188,507,512.80","208,365","2,985"
46,2025-06-08,"12,090.01","12,230.70","12,087.62",(-116.33),(-0.95 %),"14,430.52","10,391.84","206,110,889.30","212,794","3,496"
47,2025-06-05,"12,206.35","12,302.02","12,162.66",(-15.04),(-0.12 %),"14,430.52","10,391.84","198,837,434.10","233,056","2,600"
48,2025-06-04,"12,221.39","12,350.77","12,214.00",(-83.97),(-0.68 %),"14,430.52","10,391.84","145,213,779.40","173,268","2,198"
49,2025-06-03,"12,305.36","12,435.07","12,281.44",(-85.09),(-0.68 %),"14,430.52","10,391.84","169,882,204.10","197,665","2,657"
50,2025-06-02,"12,390.45","12,584.48","12,383.29",(-20.87),(-0.16 %),"14,430.52","10,391.84","218,155,826.10","199,917","3,617"
51,2025-05-28,"12,411.32","12,446.66","12,346.73",(-32.74),(-0.26 %),"14,430.52","10,391.84","178,834,070.70","194,197","2,864"
52,2025-05-27,"12,444.07","12,518.10","12,434.06",(-69.98),(-0.55 %),"14,430.52","10,391.84","125,654,565.00","128,222","2,258"
53,2025-05-26,"12,514.05","12,872.91","12,493.73",(-41.37),(-0.32 %),"14,430.52","10,391.84","202,224,653.10","245,057","2,620"
54,2025-05-25,"12,555.43","12,621.02","12,505.06",(-12.95),(-0.10 %),"14,430.52","10,391.84","251,916,969.50","279,512","2,824"
55,2025-05-22,"12,568.39","12,665.95","12,547.20",(0.48),(0.00 %),"14,430.52","10,391.84","326,866,460.30","313,204","4,530"
56,2025-05-21,"12,567.90","13,010.32","12,567.90",(-2.26),(-0.01 %),"14,430.52","10,391.84","251,432,970.10","293,942","3,403"
57,2025-05-20,"12,570.16","12,596.69","12,294.98",(215.54),(1.74 %),"14,430.52","10,391.84","251,365,642.10","287,850","4,529"
58,2025-05-19,"12,354.62","12,398.78","12,206.48",(137.29),(1.12 %),"14,430.52","10,391.84","275,243,855.30","289,172","4,489"
59,2025-05-18,"12,217.33","12,373.49","12,205.24",(-109.08),(-0.88 %),"14,430.52","10,391.84","190,759,698.40","172,404","4,364"
60,2025-05-15,"12,326.41","12,452.58","12,320.29",(-49.95),(-0.40 %),"14,430.52","10,391.84","213,329,086.40","185,164","6,659"
61,2025-05-14,"12,376.37","12,569.76","12,371.03",(-174.83),(-1.39 %),"14,430.52","10,391.84","401,932,084.10","280,418","15,723"
62,2025-05-13,"12,551.20","12,829.35","12,533.86",(-75.26),(-0.59 %),"14,430.52","10,391.84","615,502,204.40","366,736","20,631"
63,2025-05-11,"12,626.46","12,839.02","12,608.20",(-18.66),(-0.14 %),"14,430.52","10,289.18","209,093,990.70","220,943","4,334"
