SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"2,640.53","2,619.56",-,-,"2,774.99","1,871.52","66,553,137.00","59,922",850
2,2025-08-07,"2,621.30","2,644.53","2,561.80",(26.80),(1.03 %),"2,774.99","1,871.52","647,908,923.70","562,275","11,032"
3,2025-08-06,"2,594.50","2,629.84","2,565.43",(11.42),(0.44 %),"2,774.99","1,871.52","641,073,143.40","578,373","14,930"
4,2025-08-05,"2,583.08","2,677.64","2,580.39",(-75.23),(-2.83 %),"2,774.99","1,871.52","1,058,090,095.20","1,010,715","44,348"
5,2025-08-04,"2,658.32","2,703.29","2,608.34",(-12.02),(-0.45 %),"2,774.99","1,871.52","1,270,571,024.00","1,129,820","34,050"
6,2025-08-03,"2,670.34","2,773.72","2,656.67",(-96.28),(-3.48 %),"2,774.99","1,871.52","1,656,924,858.00","1,338,478","13,761"
7,2025-07-31,"2,766.63","2,823.67","2,756.21",(-8.36),(-0.30 %),"2,774.99","1,871.52","2,242,277,565.90","1,807,574","15,101"
8,2025-07-30,"2,774.99","2,829.29","2,753.55",(23.42),(0.85 %),"2,774.99","1,871.52","2,087,684,054.90","1,763,440","13,718"
9,2025-07-29,"2,751.57","2,775.35","2,665.95",(69.44),(2.58 %),"2,751.57","1,871.52","1,377,931,216.00","1,184,007","10,140"
10,2025-07-28,"2,682.12","2,715.07","2,668.17",(-18.85),(-0.69 %),"2,727.06","1,871.52","1,021,920,286.70","888,979","7,589"
11,2025-07-27,"2,700.97","2,748.26","2,697.75",(-23.62),(-0.86 %),"2,727.06","1,871.50","1,712,682,200.30","1,413,330","8,971"
12,2025-07-24,"2,724.60","2,741.96","2,704.37",(-2.45),(-0.09 %),"2,727.06","1,871.50","1,096,355,891.70","916,431","7,336"
13,2025-07-23,"2,727.06","2,730.66","2,671.53",(38.92),(1.44 %),"2,727.06","1,871.50","1,474,613,650.00","1,267,978","9,218"
