SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,169.30,167.93,-,-,177.64,145.59,"375,432,076.21","694,944","2,403"
2,2025-08-07,167.62,168.23,166.65,(0.89),(0.53 %),177.64,145.59,"3,525,431,496.70","6,649,248","30,810"
3,2025-08-06,166.73,168.03,166.51,(-0.28),(-0.16 %),177.64,145.59,"3,393,123,606.22","6,183,737","29,599"
4,2025-08-05,167.01,170.96,166.73,(-2.21),(-1.31 %),177.64,145.59,"4,506,682,071.90","8,717,032","35,947"
5,2025-08-04,169.22,170.21,166.31,(1.55),(0.92 %),177.64,145.59,"5,178,218,765.90","10,140,022","43,158"
6,2025-08-03,167.67,171.52,167.63,(-3.52),(-2.05 %),177.64,145.59,"6,049,374,277.20","11,305,275","51,523"
7,2025-07-31,171.19,174.03,170.81,(-2.36),(-1.36 %),177.64,145.59,"6,939,038,762.80","12,941,170","53,392"
8,2025-07-30,173.56,178.37,173.22,(-3.74),(-2.10 %),177.64,145.59,"7,619,760,453.58","13,951,841","57,838"
9,2025-07-29,177.30,178.88,176.61,(1.12),(0.63 %),177.64,145.59,"8,860,780,533.70","16,600,681","62,450"
10,2025-07-28,176.18,176.52,173.21,(0.35),(0.20 %),177.64,145.59,"10,740,889,707.65","20,719,140","81,163"
11,2025-07-27,175.83,178.76,175.43,(-1.06),(-0.60 %),177.64,145.59,"14,040,815,594.80","26,833,911","90,190"
12,2025-07-24,176.90,177.25,175.36,(0.38),(0.22 %),177.64,145.59,"9,651,628,279.85","18,760,367","65,685"
13,2025-07-23,176.51,177.72,174.80,(-0.22),(-0.12 %),177.64,145.59,"9,713,591,226.25","19,813,492","69,896"
14,2025-07-22,176.73,176.92,172.25,(4.66),(2.71 %),177.64,145.59,"10,308,987,353.90","20,610,664","76,076"
15,2025-07-21,172.06,172.84,169.29,(1.68),(0.99 %),177.64,145.59,"7,867,665,510.80","15,205,718","54,678"
16,2025-07-20,170.37,174.14,169.99,(-1.05),(-0.61 %),177.64,144.74,"10,024,921,124.20","20,214,653","70,194"
17,2025-07-17,171.43,172.11,168.13,(3.79),(2.26 %),177.64,139.23,"8,060,858,736.60","16,636,595","59,660"
18,2025-07-16,167.64,168.25,164.75,(2.82),(1.71 %),177.64,135.68,"7,829,774,926.80","16,417,435","45,430"
19,2025-07-15,164.81,165.08,161.94,(2.57),(1.58 %),177.64,131.34,"4,993,360,418.20","10,322,076","32,716"
20,2025-07-14,162.23,165.12,162.12,(-2.52),(-1.53 %),177.64,131.34,"4,314,197,582.70","9,265,539","31,151"
21,2025-07-13,164.76,166.77,163.60,(3.23),(1.99 %),177.64,129.54,"5,997,895,522.10","13,561,102","47,568"
22,2025-07-10,161.53,162.17,158.79,(2.67),(1.68 %),177.64,127.46,"4,938,163,902.90","11,112,848","37,674"
23,2025-07-09,158.86,159.04,156.92,(1.81),(1.15 %),177.64,125.78,"3,427,810,549.90","6,802,793","25,188"
24,2025-07-08,157.04,157.48,156.01,(0.05),(0.03 %),177.64,124.46,"2,604,371,813.60","5,211,447","20,776"
25,2025-07-07,156.99,159.25,156.88,(-1.39),(-0.88 %),177.64,124.46,"2,966,046,351.41","6,359,588","24,023"
26,2025-07-06,158.39,159.56,157.83,(-0.33),(-0.21 %),177.64,123.73,"3,531,452,342.60","7,322,976","30,377"
27,2025-07-03,158.72,159.55,157.21,(0.85),(0.53 %),177.64,122.71,"4,086,693,599.67","8,460,945","35,492"
28,2025-07-02,157.87,157.95,155.96,(2.09),(1.34 %),177.64,121.66,"4,067,779,241.70","7,823,869","31,683"
29,2025-07-01,155.78,155.88,153.57,(2.27),(1.48 %),177.64,118.48,"3,376,896,886.90","6,572,279","26,965"
30,2025-06-30,153.50,153.77,152.82,(0.81),(0.53 %),177.64,117.09,"2,755,852,848.40","5,821,072","22,036"
31,2025-06-29,152.69,152.99,150.67,(1.75),(1.16 %),177.64,117.09,"2,766,006,630.70","5,998,687","24,445"
32,2025-06-26,150.94,152.11,150.90,(-0.46),(-0.30 %),177.64,117.09,"3,512,774,047.10","7,112,114","26,027"
33,2025-06-25,151.40,151.89,151.14,(0.00),(0.00 %),177.64,117.09,"2,678,013,011.40","4,930,059","19,667"
34,2025-06-24,151.40,153.06,151.38,(0.18),(0.12 %),177.64,117.09,"2,568,805,016.30","5,353,232","22,098"
35,2025-06-23,151.22,151.58,150.45,(0.28),(0.19 %),177.64,117.09,"3,052,535,580.60","6,150,356","24,410"
36,2025-06-22,150.93,153.10,150.81,(-1.85),(-1.21 %),177.64,117.09,"4,230,882,750.70","8,585,575","33,088"
37,2025-06-19,152.78,154.31,152.76,(-1.01),(-0.66 %),177.64,117.09,"4,940,709,976.70","10,572,952","35,170"
38,2025-06-18,153.80,154.57,153.68,(-0.06),(-0.04 %),177.64,117.09,"4,084,869,351.50","8,435,209","28,937"
39,2025-06-17,153.86,154.63,153.50,(-0.20),(-0.13 %),177.64,117.09,"4,324,804,407.10","8,605,702","30,888"
40,2025-06-16,154.07,155.16,153.98,(-0.06),(-0.04 %),177.64,117.09,"6,891,032,685.50","14,853,677","44,581"
41,2025-06-15,154.14,155.22,154.10,(-0.30),(-0.19 %),177.64,117.09,"6,600,988,289.90","13,897,087","43,809"
42,2025-06-12,154.45,155.82,154.28,(-0.74),(-0.48 %),177.64,117.09,"6,797,035,094.78","14,505,120","45,874"
43,2025-06-11,155.20,156.31,154.79,(-0.12),(-0.07 %),177.64,117.09,"5,913,903,423.80","12,937,440","39,489"
44,2025-06-10,155.32,155.72,153.74,(1.52),(0.99 %),177.64,117.09,"5,570,108,579.62","12,085,354","36,317"
45,2025-06-09,153.79,153.99,152.70,(1.14),(0.75 %),177.64,117.09,"4,690,484,860.40","9,591,842","31,120"
