SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,495.08,490.60,-,-,535.51,434.97,"335,441,920.71","614,153","2,099"
2,2025-08-07,490.16,491.92,487.14,(2.61),(0.53 %),535.51,434.97,"3,525,431,496.70","6,649,248","30,810"
3,2025-08-06,487.55,491.17,487.14,(-0.89),(-0.18 %),535.51,434.97,"3,393,123,606.22","6,183,737","29,599"
4,2025-08-05,488.45,500.00,487.77,(-6.46),(-1.30 %),535.51,434.97,"4,506,682,071.90","8,717,032","35,947"
5,2025-08-04,494.91,498.14,486.36,(4.16),(0.84 %),535.51,434.97,"5,178,218,765.90","10,140,022","43,158"
6,2025-08-03,490.75,501.73,490.60,(-10.37),(-2.07 %),535.51,434.97,"6,049,374,277.20","11,305,275","51,523"
7,2025-07-31,501.12,508.92,500.07,(-6.71),(-1.32 %),535.51,434.97,"6,939,038,762.80","12,941,170","53,392"
8,2025-07-30,507.84,521.69,506.88,(-10.75),(-2.07 %),535.51,434.97,"7,619,760,453.58","13,951,841","57,838"
9,2025-07-29,518.59,522.82,515.31,(3.66),(0.71 %),535.51,434.97,"8,860,780,533.70","16,600,681","62,450"
10,2025-07-28,514.93,515.86,506.12,(1.05),(0.20 %),535.51,434.97,"10,740,889,707.65","20,719,140","81,163"
11,2025-07-27,513.87,522.43,512.71,(-3.26),(-0.63 %),535.51,434.97,"14,040,815,594.80","26,833,911","90,190"
12,2025-07-24,517.13,519.16,512.80,(0.31),(0.06 %),535.51,434.97,"9,651,628,279.85","18,760,367","65,685"
13,2025-07-23,516.82,520.50,511.60,(-0.15),(-0.03 %),535.51,434.97,"9,713,591,226.25","19,813,492","69,896"
14,2025-07-22,516.98,517.44,502.99,(14.48),(2.88 %),535.51,434.97,"10,308,987,353.90","20,610,664","76,076"
15,2025-07-21,502.49,504.68,494.62,(4.46),(0.89 %),535.51,434.97,"7,867,665,510.80","15,205,718","54,678"
16,2025-07-20,498.03,508.90,496.93,(-2.46),(-0.49 %),535.51,434.97,"10,024,921,124.20","20,214,653","70,194"
17,2025-07-17,500.49,502.44,490.33,(11.22),(2.29 %),535.51,419.77,"8,060,858,736.60","16,636,595","59,660"
18,2025-07-16,489.27,490.88,481.12,(7.86),(1.63 %),535.51,409.51,"7,829,774,926.80","16,417,435","45,430"
19,2025-07-15,481.40,482.12,473.83,(7.04),(1.48 %),535.51,397.18,"4,993,360,418.20","10,322,076","32,716"
