SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
1,2025-08-11,-,"4,369.81","4,297.17",-,-,"5,362.34","3,381.58","269,121.00",50,5
2,2025-08-07,"4,297.17","4,552.56","4,254.63",(42.53),(0.99 %),"5,362.34","3,381.58","16,844,006.50","3,125",88
3,2025-08-06,"4,254.63","4,337.71","4,236.39",(-28.40),(-0.66 %),"5,362.34","3,381.58","4,895,718.40",887,61
4,2025-08-05,"4,283.03","4,691.53","4,273.30",(-70.82),(-1.62 %),"5,362.34","3,381.58","15,255,202.40","2,765",121
5,2025-08-04,"4,353.86","4,619.51","4,225.67",(122.38),(2.89 %),"5,362.34","3,381.58","13,472,858.40","2,420",140
6,2025-08-03,"4,231.47","4,370.61","4,213.83",(-61.72),(-1.43 %),"5,362.34","3,381.58","31,966,806.00","5,825",143
7,2025-07-31,"4,293.20","4,454.83","4,253.12",(-107.37),(-2.44 %),"5,362.34","3,381.58","16,878,696.30","3,046",144
8,2025-07-30,"4,400.57","4,513.84","4,313.41",(-77.35),(-1.72 %),"5,362.34","3,381.58","30,715,405.00","5,507",180
9,2025-07-29,"4,477.93","4,533.50","4,388.84",(-11.36),(-0.25 %),"5,362.34","3,381.58","16,274,055.00","2,890",140
10,2025-07-28,"4,489.29","4,681.71","4,250.26",(141.11),(3.24 %),"5,362.34","3,381.58","27,320,108.00","4,847",258
11,2025-07-27,"4,348.17","4,630.27","4,182.75",(61.74),(1.44 %),"5,362.34","3,381.58","41,927,023.00","7,520",300
12,2025-07-24,"4,286.43","4,321.00","4,253.74",(12.06),(0.28 %),"5,362.34","3,381.58","19,957,979.50","3,611",137
13,2025-07-23,"4,274.36","4,284.69","4,212.31",(13.23),(0.31 %),"5,362.34","3,381.58","23,619,330.00","4,272",187
14,2025-07-22,"4,261.13","4,271.57","4,121.68",(42.92),(1.01 %),"5,362.34","3,381.58","31,981,795.40","5,763",214
15,2025-07-21,"4,218.20","4,264.47","4,169.90",(18.22),(0.43 %),"5,362.34","3,381.58","33,223,540.90","6,027",191
16,2025-07-20,"4,199.98","4,299.54","4,073.82",(-21.42),(-0.50 %),"5,362.34","3,381.49","55,169,340.10","10,023",259
17,2025-07-17,"4,221.40","4,228.82","4,148.25",(73.15),(1.76 %),"5,362.34","3,365.71","31,067,709.10","5,733",208
18,2025-07-16,"4,148.25","4,232.40","4,085.23",(-7.55),(-0.18 %),"5,362.34","3,136.63","9,598,186.60","1,807",92
19,2025-07-15,"4,155.81","4,188.43","4,088.74",(35.20),(0.85 %),"5,362.34","3,048.79","9,460,345.00","1,802",72
20,2025-07-14,"4,120.61","4,229.17","4,100.68",(-26.64),(-0.64 %),"5,362.34","3,048.79","14,509,150.50","2,762",99
21,2025-07-13,"4,147.26","4,233.97","4,134.54",(-10.99),(-0.26 %),"5,362.34","2,998.64","8,461,226.10","1,589",91
22,2025-07-10,"4,158.26","4,219.43","4,103.80",(-22.48),(-0.53 %),"5,362.34","2,998.64","20,609,661.90","3,878",161
23,2025-07-09,"4,180.74","4,199.49","4,115.01",(14.41),(0.34 %),"5,362.34","2,998.64","21,723,058.70","4,119",156
24,2025-07-08,"4,166.32","4,222.35","4,078.78",(16.11),(0.38 %),"5,362.34","2,998.64","4,604,594.00",878,61
25,2025-07-07,"4,150.21","4,280.36","4,097.54",(-52.64),(-1.25 %),"5,362.34","2,998.64","8,653,751.00","1,650",84
26,2025-07-06,"4,202.86","4,238.77","4,130.74",(36.72),(0.88 %),"5,362.34","2,998.64","11,691,919.00","2,235",95
27,2025-07-03,"4,166.13","4,334.84","4,149.97",(-54.46),(-1.29 %),"5,362.34","2,998.64","13,854,988.60","2,606",112
28,2025-07-02,"4,220.59","4,236.84","4,100.97",(73.02),(1.76 %),"5,362.34","2,918.37","13,679,466.10","2,644",86
29,2025-07-01,"4,147.57","4,199.83","4,105.56",(-25.58),(-0.61 %),"5,362.34","2,829.81","9,979,778.90","1,960",69
30,2025-06-30,"4,173.16","4,218.90","4,137.83",(29.88),(0.72 %),"5,362.34","2,825.32","18,381,853.20","3,629",126
31,2025-06-29,"4,143.27","4,206.98","4,079.11",(11.35),(0.27 %),"5,362.34","2,825.32","10,375,085.30","2,065",56
32,2025-06-26,"4,131.92","4,210.07","4,085.78",(-8.51),(-0.20 %),"5,362.34","2,825.32","9,022,887.00","1,746",82
33,2025-06-25,"4,140.44","4,220.12","4,109.33",(-45.11),(-1.07 %),"5,362.34","2,825.32","11,777,324.00","2,346",54
34,2025-06-24,"4,185.55","4,252.55","4,113.63",(-4.06),(-0.09 %),"5,362.34","2,825.32","6,350,590.70","1,250",66
35,2025-06-23,"4,189.61","4,390.91","4,035.91",(90.51),(2.20 %),"5,362.34","2,825.32","15,153,080.10","2,944",140
36,2025-06-22,"4,099.10","4,207.41","4,060.68",(-29.47),(-0.71 %),"5,362.34","2,825.32","17,938,314.00","3,542",112
37,2025-06-19,"4,128.57","4,250.47","4,079.12",(-104.94),(-2.47 %),"5,362.34","2,825.32","20,646,076.60","3,937",168
38,2025-06-18,"4,233.52","4,281.27","4,176.05",(-6.53),(-0.15 %),"5,362.34","2,825.32","6,027,030.80","1,179",52
39,2025-06-17,"4,240.05","4,296.41","4,217.12",(5.04),(0.11 %),"5,362.34","2,825.32","5,110,496.00","1,012",48
40,2025-06-16,"4,235.01","4,570.14","4,166.55",(3.91),(0.09 %),"5,362.34","2,825.32","10,738,078.90","2,040",103
