Unnamed: 0,Unnamed: 1,Unnamed: 2,                Nepal Stock Exchang Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,Sectorwise Market Capitalization,,,,,,(Rs.in mill.)
,,,,,,17July 2003 to 16th July 2004 (Fiscal Year 2060/061),,,,,,
,,,Date/Month,Commercial,Development,  Manufacturing &,           Hotel,   Trading, Insurance,Finance,Others,     Total
,,,"Srawan, 60",Bank,Banking,Processing,,,,,,
,,,2003-07-17 00:00:00,21376.03,1002.37,4731.3,2550.61,488.02,2388.54,2558.56,67.26,35162.7
,,,2003-07-18 00:00:00,21360.54,1002.37,4731.3,2550.61,488.02,2391.54,2554.01,67.26,35145.65
,,,2003-07-21 00:00:00,21274.3,998.05,4731.3,2550.61,486.66,2394.64,2536.29,67.26,35309.11
,,,2003-07-22 00:00:00,21266.15,998.05,4731.3,2550.61,486.66,2392.14,2524.84,67.26,35017.01
,,,2003-07-23 00:00:00,21258.6,998.05,4731.3,2550.61,486.66,2394.64,2525.04,68.15,35013.05
,,,2003-07-24 00:00:00,21236.15,990.05,4731.3,2540.61,486.66,2396.82,2520.04,68.15,34969.77
,,,2003-07-25 00:00:00,21207.84,998.05,4731.3,2540.61,493.48,2394.62,2518.39,68.15,34952.44
,,,2003-07-28 00:00:00,21244.02,1006.05,4723.5,2540.61,512.87,2373.95,2514.19,68.15,34983.33
,,,2003-07-29 00:00:00,21167.59,999.97,4723.5,2540.61,512.87,2373.33,2530.99,68.15,34917
,,,2003-07-30 00:00:00,21147.86,999.97,4723.5,2540.61,512.87,2356.83,2530.99,68.15,34880.78
,,,2003-07-31 00:00:00,21183.01,999.65,4723.5,2540.61,503.04,2365.53,2528.7,68.15,34912.19
,,,2003-08-01 00:00:00,21113.94,1001.09,4723.5,2540.61,507.13,2384.72,2527.4,68.15,34866.54
,,,2003-08-04 00:00:00,21130.1,1002.85,4723.5,2530.61,507.13,2380.29,2525.69,68.15,34868.33
,,,2003-08-05 00:00:00,21116.67,1002.85,4723.5,2525.61,507.13,2416.91,2529.51,69.04,34891.22
,,,2003-08-06 00:00:00,21806.48,1002.85,4723.5,2525.61,507.13,2416.13,2546.87,489.04,36017.62
,,,2003-08-07 00:00:00,21970.41,999.65,4723.5,2525.61,507.13,2406.93,2541.45,489.04,36163.73
,,,2003-08-08 00:00:00,21238.86,999.65,4723.5,2525.61,507.13,2396.93,2538.29,489.04,36319.02
,,,2003-08-11 00:00:00,22353.62,1004.45,4723.5,2525.61,494.85,2399.43,2539.26,489.94,36530.66
,,,2003-08-13 00:00:00,22458.56,1009.25,4723.5,2525.61,489.94,2393.33,2538.53,489.94,36633.57
,,,2003-08-14 00:00:00,22539.77,1010.69,4702.85,2525.61,489.94,2395.83,2536.97,489.94,36696.51
,,,2003-08-15 00:00:00,22728.3,1006.05,4754.41,2525.61,489.94,2397.83,2539.96,489.94,36936.95
,,,,,,,,,,,,
,,,Date/Month,Commercial,Development,  Manufacturing &,           Hotel,   Trading, Insurance,Finance,Others,     Total
,,,Bhadra 060,Bank,Banking,Processing,,,,,,
,,,2003-08-18 00:00:00,22833.26,1012.29,4754.41,2520.61,494.85,2394.73,2541.16,491.73,37043.02
,,,2003-08-20 00:00:00,22961.18,1012.29,4754.41,2520.61,494.85,2394.73,2543.96,491.73,37173.76
,,,2003-08-21 00:00:00,23057.47,1010.85,4806.89,2520.61,494.85,2392.23,2550.7,491.73,37325.32
,,,2003-08-22 00:00:00,23046.12,1010.85,4867.81,2520.61,494.85,2395.23,2578.15,491.73,37405.34
,,,2003-08-25 00:00:00,23201.34,1009.25,4927.66,2505.71,494.85,2395.23,2577.35,491.73,37603.11
,,,2003-08-26 00:00:00,23134.75,1015.49,4927.66,2510.71,494.85,2398.33,2572.54,491.73,37546.05
,,,2003-08-27 00:00:00,22922.87,1015.49,4927.66,2474.62,494.85,2398.33,2569.92,491.73,37295.46
,,,2003-08-28 00:00:00,22331.86,1006.05,4955.28,2469.62,494.85,2393.13,2569.52,491.73,36712.02
,,,2003-08-29 00:00:00,22131.91,998.05,4955.28,2469.62,494.85,2388.13,2568.52,491.73,36498.3
,,,2003-09-01 00:00:00,21815.84,993.25,4955.28,2459.62,494.85,2361.14,2546.37,491.73,36118.08
,,,2003-09-02 00:00:00,21702.8,987.17,4955.28,2459.62,494.85,2357.54,2532.07,491.73,35981.06
,,,2003-09-03 00:00:00,21569.77,984.29,4955.28,2459.62,494.85,2360.84,2528.47,491.73,35844.84
,,,2003-09-04 00:00:00,21701.19,984.29,4955.28,2459.62,494.85,2360.54,2539.72,491.73,35987.21
,,,2003-09-05 00:00:00,22020.21,1002.85,4955.28,2459.62,494.85,2373.84,2543.62,491.73,36341.99
,,,2003-09-08 00:00:00,22058.93,1002.85,4905.11,2459.62,494.85,2373.84,2539.72,491.73,36326.65
,,,2003-09-10 00:00:00,22181.12,1002.85,4905.11,2459.62,494.85,2373.84,2536.92,489.94,36444.25
,,,2003-09-11 00:00:00,22376.76,997.09,4905.11,2459.62,494.85,2367.94,2547.23,489.94,36638.53
,,,2003-09-12 00:00:00,22637.2,1003.49,4905.11,2449.72,486.66,2369.94,2550.98,489.94,36893.03
,,,2003-09-15 00:00:00,22700.17,1003.49,4905.11,2449.72,486.66,2377.44,2561.38,489.94,36973.9
,,,2003-09-16 00:00:00,22751.17,1002.99,4905.11,2449.72,486.66,2382.94,2562.83,489.94,37031.35
,,,2003-09-17 00:00:00,22778.75,1002.99,4905.11,2449.72,486.66,2376.94,2566.95,489.94,37057.06
,,,,,,,,,,,,
,,,Date/Month,Commercial,  Manufacturing &,           Hotel,Others,   Trading, Insurance,Finance,Development,     Total
,,,Aswin 060,Bank,Processing,,,,,,Banking,
,,,2003-09-18 00:00:00,22708.17,4905.11,2449.72,489.94,486.66,2376.94,2563.35,1007.79,36987.68
,,,2003-09-19 00:00:00,22605.16,4905.11,2449.72,489.94,486.66,2376.94,2578.6,1007.79,36899.92
,,,2003-09-22 00:00:00,22578.79,4905.11,2449.72,489.94,486.66,2381.94,2573.2,1007.79,36873.15
,,,2003-09-23 00:00:00,22581.68,4905.11,2449.72,489.94,486.66,2379.44,2569.8,1006.35,36868.69
,,,2003-09-24 00:00:00,22527.78,4845.27,2436.02,489.49,486.66,2364.54,2573.6,998.35,36721.7
,,,2003-09-25 00:00:00,22538.26,4845.27,2436.02,489.49,486.66,2359.04,2573.6,995.47,36723.81
,,,2003-09-26 00:00:00,22626.21,4845.27,2436.02,489.49,486.66,2356.54,2576.05,995.47,36811.71
,,,2003-09-29 00:00:00,22578.63,4845.27,2436.02,487.7,486.66,2364.34,2574.9,995.47,36768.99
