Unnamed: 0,  Total Listed Companies and Paidup value,Unnamed: 2,Unnamed: 3
,,Nepse,paid up
,Commercial Banks.,Code,Value
1.0,Nabil Bank Ltd.,NABIL,100
2.0,Nepal Investment Bank Ltd.,NIB,100
3.0,Standard Chartered Bank Ltd.,SCB,100
4.0,Himalayan Bank Ltd.,HBL,100
5.0,Nepal SBI Bank Limited,SBI,100
6.0,Nepal Bangladesh Bank Ltd.,NBB,100
7.0,Everest Bank Ltd,EBL,100
8.0,Bank of Kathmandu,BOK,100
9.0,Nepal Industrial & Co.Bank,NICB,100
10.0,Machhachachapuchhre Bank Lt,MBL,100
11.0,Laxmi Bank Limited,LBT,100
,,,
,,,
,Manufacturing and Processing,,
12.0,Nepal Battery Co. Ltd.,NBC,100
13.0,Nepal Plywood & Bobin Co.Ltd.,NPB,16
14.0,The Juddha Match Fact.(Birat)Lt,JMF,40
15.0,Morang Sugar Mills Ltd.,MSM,100
16.0,Himal Cement Co.Ltd.,HCC,100
17.0,Bottlers Nepal Ltd.(Balaju),BNL,100
18.0,Biratnagar Jute Mills Ltd.,BJM,160
19.0,Nepal Lube Oil Ltd.,NLO,100
20.0,Nepal Vanaspati Ghee Udhyog L,NVG,100
21.0,Raghupati Jute Mills Ltd.,RJM,100
22.0,Butwal Spinning Mills Ltd.,BSM,100
23.0,Gorakhakali Rubber Udhyog Ltd.,GRU,75
24.0,Jyoti Spinning Mills Ltd (ord.),JSM,100
25.0,Arun Vanaspati Udhyog Ltd.,AVU,100
26.0,Bottlers Nepal (Terai)Ltd.,BNT,100
27.0,Sayapatri Colour Lab.,SCL,100
28.0,Harisiddhi Brick and Tile Fac.Ltd,HBT,10
29.0,Birat Shoe Ltd.(Ord.),BSL,100
30.0,Nepal Lever Ltd.,NLL,100
31.0,Nepal Khadya Udhyog Ltd.,NKU,100
32.0,Nepal Med Ltd.,NML,100
33.0,Ace Laboratories (Nepal) Limited,ALL,100
34.0,Himgiri Textile Industries Limited,HTL,100
35.0,Shree Bhrikuti Pulp& Paper Ltd,SBPP,100
36.0,Fluer Himalayan Limited,FHL,75
37.0,Bansbari Leatherage& Tannery,BLT,100
38.0,Shree Ram Sugar Mills Ltd,SRS,100
39.0,Nepal Bitumin and Barrel Udyog ,NBBU,100
40.0,Himalayan Distillery Ltd.,HDL,100
,,,
,,,
,,,
,,,
,,,
,Hotels,,
41.0,Yak and Yeti Hotel Ltd.(Ord.),YHL,100
42.0,Soaltee Hotel Ltd.,SHL,10
43.0,Taragaon Regency Hotel,TRH,100
44.0,Oriental Hotel Ltd.,OHL,100
,,,
,,,
,Others.,,
45.0,National Pro.& Eco.Dev.Centre L,ESC,100
46.0,Necon Air Ltd.(Ord.),NAL,100
47.0,Nepal Film Dev.Co. Ltd.,NFD,100
48.0,National Hydro Power Co.,NHPC,100
,TOTAL,,
,,,
,Tradings.,,
49.0,Salt Trading Corporation,STC,100
50.0,Bishal Bazar Co. Ltd.,BBC,100
51.0,Nepal United Co Ltd.,NUC,100
52.0,Plastic Trading Co. Ltd.,PTC,100
53.0,Nepal Byapar Bikash Co.(Koshi),NBCK,100
54.0,Nepal Byapar Bikash Co.Ltd.,NBBC,75
55.0,Nepal Trading Ltd.,NTL,50
56.0,Nepal Welfare Company Ltd.,NWC,50
,,,
,,,
,Insurance,,
57.0,Nepal Insurance Co.Ltd.,NICL,100
58.0,Rastriya Beema Sansthan,RBS,100
59.0,National Life &Gen.Insu.Co.Ltd.,NLG,100
60.0,Himalayan Gen.Insu. Co.Ltd.,HGI,100
61.0,United Insurance Co.(Nepal)Ltd.,UIC,100
62.0,Everest Insurance Co. Ltd.,EIC,100
63.0,Premier Insurance co. Ltd.,PIC,100
64.0,Neco Insurance Co.,NIL,100
65.0,Alliance Insurance Co. Ltd.,AIC,100
66.0,Sagarmatha Insurance Co.Ltd,SIC,100
67.0,NB Insurance Co. Ltd.,NBIL,100
68.0,Nepal Life Insurance Co. Ltd.,NLIC,100
69.0,Life Insurance Co. Nepal,LICN,100
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,Finance,,
70.0,Nepal Finance and Saving Co.Lt,NFS,100
71.0,NIDC Capital Markets Ltd.,NCM,100
72.0,National Finance Co. Ltd.,NFC,100
