Nepal Stock Exchange Limited,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Company wise Transactions,,,,,,,,,,,
Fiscal Year 2062/2063,,,,,,,,,,,
(16 July 2005 to 16 July 2006),,,,,,,,,,,
,Commercial Bank,,,,,,,,,,
,,,,,Traded,,,,,,
,Name of the Companies,Outstanding,Paid up,Total,Share,Traded,No.of tran-,High,Low,Closing,Market
,,Equity,Value,Paid up,Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,86.11,165.21,1126,2300,1500,2240,10998.29
2,Nepal Investment Bank Ltd.,5905860,100,590.59,235.9,234.44,1886,1265,762,1260,7441.38
3,Standard Chartered Bank Nepal,3746404,100,374.64,73.09,218.26,1169,3775,2200,3775,14142.68
4,Himalayan Bank Limited,7722000,100,772.2,103.4,109.08,1574,1200,900,1100,8494.2
5,Nepal SBI Bank Limited,6478032,100,647.8,307.7,147.76,1941,689,335,612,3964.56
6,Nepal Bangladesh Bank Limited,7199260,100,719.93,274.8,63.12,1820,300,152,199,1432.65
7,Everest Bank Limited,3780000,100,378,117.1,129.13,2138,1410,800,1379,5212.62
8,Bank of Kathmandu Limited,4635809,100,463.58,928.7,562.21,3705,881,422,850,3940.44
9,Nepal Ind. & Commercial Bank Ltd.,6000000,100,600,651,275.81,2556,550,365,496,2976
10,Macha Puchchhre Bank Ltd,5500000,100,550,431.5,144.9,1941,425,258,320,1760
11,Laxmi Bank Limited,6100000,100,610,307.9,99.41,1480,405,275,368,2244.8
12,Kumari Bank Limited,6250000,100,625,557.3,220.51,5014,476,300,443,2768.75
13,Lumbini Bank Limited,5000000,100,500,701.8,122.43,7660,207,154,172,860
14,NCC Bank Limited,7000000,100,700,203.1,22.27,1405,135,88,94,658
15,Siddhartha Bank Ltd.,5000000,100,500,552.5,181.44,10451,387,275,360,1800
16,Everest Bank Limited (Pre),1440000,100,144,3,0.3,20,105,100,102,146.88
,,86667315,,8666.73,5534.9,2696.28,45886,,,,68841.24
,,,,,,,,,,,
,Finance,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total Paid,Traded,Traded,No.of trans,High,Low,Closing,Market
,,Equity,Value,up value,Share, Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Finance & Saving Co. Ltd.,200000,100,20,5.8,0.85,51,165,134,134,26.8
2,NIDC Capital Markets,600000,100,60,36.37,6.72,166,208,145,208,124.8
3,National Finance Co. Ltd.,950400,100,95.04,158.8,44.69,177,309,250,263,249.96
4,Nepal Share Market & Finance Ltd.,1200000,100,120,140.5,19.92,89,145,114,145,174
5,Annupurna Finance Co. Ltd.,800000,100,80,9.45,4.57,85,627,400,500,400
6,Kathmandu Finance Ltd,330000,100,33,5.82,0.82,54,147,135,140,46.2
7,Peoples Finance Ltd,400000,100,40,27.73,2.86,109,126,96,111,44.4
8,Union Finance Ltd,725153,100,72.52,32.91,3.52,470,132,100,105,76.14
9,Citizen Investment Trust,400000,100,40,3.17,0.8,88,292,200,266,106.4
10,Nepal Aawas Bikas Beeta Co. Ltd.,580242,100,58.02,63.92,11.96,178,205,165,190,110.25
