Nepal Stock Exchange Limited.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
NEPSE Index during Fiscal Year 2062/063,,,,,,,,,
(16 July 2005 to 16 July 2006),,,,,,,,,
NEPSE Index during Ashadh 2063,,,,,,,,,
(16 June 2006 to 16 July 2006),,,,,,,,,
Date,Commercial,   Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.,Total
,       Bank, uring & Pro,,,,,,Bank,
Ashadh 20,,,,,,,,,
2006-06-15 00:00:00,419.11,297.46,178.84,392.08,148.11,365.37,258.46,275.25,372.21
2006-06-18 00:00:00,421.07,297.46,178.84,398.43,148.11,367.38,258.57,275.25,374.05
2006-06-19 00:00:00,422.92,299.94,179.23,398.43,148.11,367.38,258.86,277.55,375.49
2006-06-20 00:00:00,424.66,299.94,179.23,405.15,148.11,367.53,257.91,277.55,377.04
2006-06-21 00:00:00,425.95,299.95,179.23,414.49,148.11,369.06,258,278.01,378.68
2006-06-22 00:00:00,426.05,299.94,180,415.23,148.11,369.17,258.77,276.33,378.87
2006-06-25 00:00:00,425.1,299.94,180,417.47,148.11,369.17,258.82,276.33,378.45
2006-06-26 00:00:00,424.27,299.94,180.77,412.25,148.11,368.94,258.89,276.33,377.55
2006-06-27 00:00:00,422.02,299.94,180.77,402.91,148.11,369.74,258.76,277.55,375.47
2006-06-28 00:00:00,423.12,299.94,180.77,384.21,148.11,370.33,258.99,277.55,374.74
2006-06-29 00:00:00,422.81,297.41,180.77,393.76,148.11,370.33,259.27,278.16,375.14
2006-07-02 00:00:00,424.87,297.41,180.77,396.37,148.11,373.08,259.16,278.16,376.77
2006-07-03 00:00:00,427.48,297.41,180.77,397.12,148.11,375.52,258.92,281.84,378.66
2006-07-04 00:00:00,429.17,299.94,180.77,402.35,148.11,375.54,259.15,286.43,380.43
2006-07-05 00:00:00,431.22,299.94,180.19,404.96,148.11,377.75,260.37,289.92,382.04
2006-07-06 00:00:00,433.89,299.94,180.19,404.21,148.11,380.25,261.05,290.22,383.85
2006-07-09 00:00:00,434.3,299.94,180.77,410,148.11,380.25,261.05,291.11,384.6
2006-07-10 00:00:00,435.04,302.48,180.77,410.38,148.11,381.79,260.66,290.22,385.31
2006-07-12 00:00:00,437.14,302.48,180.77,410,148.11,381.79,260.72,291.11,386.63
2006-07-13 00:00:00,436.73,302.48,180.77,410.38,148.11,381.79,261.1,292.31,386.45
2006-07-16 00:00:00,437.49,301.11,180.77,410,148.11,381.25,261.37,294.4,386.83
,,,,,,,,,
,,,,,,,,,
NEPSE Index during Jesta 2063,,,,,,,,,
(15 May 2006 to 15 June 2006),,,,,,,,,
Date,Commercial,   Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.,       Total
,       Bank, uring & Pro,,,,,,Bank,
Jesta 063,,,,,,,,,
2006-05-15 00:00:00,449.79,289.81,178.84,363.49,147.27,348.69,253.08,286.67,388.49
2006-05-16 00:00:00,448.71,289.81,178.84,363.49,147.27,349.68,253.33,286.67,387.86
2006-05-17 00:00:00,443.14,292.34,178.84,363.49,147.27,351.64,253.54,286.67,384.58
2006-05-18 00:00:00,442.37,292.34,178.84,363.49,147.27,352.27,253.73,285.75,384.11
2006-05-21 00:00:00,440.24,292.34,178.84,363.49,147.27,351.94,253.59,282.99,382.65
2006-05-22 00:00:00,433.33,292.6,178.84,363.49,147.27,351.3,254.18,282.99,378.23
2006-05-23 00:00:00,424.31,292.6,178.84,363.49,147.27,352.29,254.47,282.99,372.48
2006-05-24 00:00:00,421.81,292.34,178.84,363.49,147.27,352.29,254.93,282.99,370.89
2006-05-25 00:00:00,418.91,292.34,179.42,363.49,148.11,351.37,254.36,278.86,368.89
2006-05-28 00:00:00,429.27,292.34,180.57,363.49,148.11,352.55,253.66,278.86,375.64
2006-05-29 00:00:00,436.38,292.34,180.57,363.49,147.11,352.74,253.94,276.56,380.2
2006-05-30 00:00:00,424.62,292.34,180.57,363.49,148.11,354.8,254.09,272.02,372.64
2006-05-31 00:00:00,423.04,292.34,181.14,363.49,148.11,356.37,254.7,269.83,371.74
2006-06-01 00:00:00,423.09,292.34,181.14,363.49,148.11,360.1,255.27,267.99,371.97
2006-06-04 00:00:00,422.95,292.34,181.14,363.49,148.11,364.02,254.25,270.75,372.06
2006-06-05 00:00:00,421.99,292.34,180.57,363.49,148.11,363.84,254.07,274.42,371.47
2006-06-06 00:00:00,420.93,292.34,179.23,363.49,148.11,364.65,254.08,274.88,370.77
2006-06-07 00:00:00,419.08,292.34,179.23,363.49,148.11,364.65,254.46,275.49,369.62
2006-06-08 00:00:00,420.89,292.34,179.23,363.49,148.11,365.75,254.53,275.49,370.84
2006-06-11 00:00:00,421.38,297.41,179.23,363.49,148.11,365.55,254.53,279.85,371.62
2006-06-12 00:00:00,421.51,297.41,179.23,363.49,148.11,365.55,254.93,279.85,371.72
2006-06-13 00:00:00,420.08,297.41,178.45,365.56,148.11,364.61,255.95,279.85,370.79
2006-06-14 00:00:00,419.41,297.46,178.45,386.1,148.11,365.37,258.46,279.85,372.01
,,,,,,,,,
NEPSE Index during Baishakh 2063,,,,,,,,,
(15 APRIL 2006 to 15 May 2006),,,,,,,,,
Date,Commercial,   Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.,       Total
,       Bank, uring & Pro,,,,,,Bank,
Baishakh 0,,,,,,,,,
2006-04-16 00:00:00,370.04,289.81,181.34,338.79,141.29,345.98,246.17,271.84,334.27
2006-04-17 00:00:00,366.41,289.81,181.34,338.79,147.27,344.01,245.6,269.55,331.88
2006-04-18 00:00:00,**,,,,,,,,
2006-04-19 00:00:00,**,,,,,,,,
2006-04-20 00:00:00,**,,,,,,,,
2006-04-23 00:00:00,**,,,,,,,,
2006-04-24 00:00:00,**,,,,,,,,
2006-04-25 00:00:00,376.61,289.81,181.34,338.79,147.27,346.17,245.83,269.55,338.54
2006-04-26 00:00:00,383.29,289.81,181.34,344.78,147.27,346.17,246.01,274.14,343.28
2006-04-30 00:00:00,410.17,289.81,179.23,359.76,147.27,346.41,245.03,292.53,361.58
2006-05-01 00:00:00,431.85,284.75,178.84,357.87,147.27,342.87,245.23,298.05,374.87
2006-05-02 00:00:00,428.07,284.75,178.84,355.99,147.27,346.21,245.46,294.37,372.45
2006-05-03 00:00:00,420.27,284.75,178.84,364.97,147.27,346.21,245.46,294.37,367.99
2006-05-04 00:00:00,419.26,279.68,178.84,364.97,147.27,346.21,246.04,291.61,366.94
2006-05-07 00:00:00,422.11,279.68,178.84,364.97,147.27,346.21,246.08,287.94,368.68
2006-05-08 00:00:00,425.16,284.85,178.84,363.49,147.27,346.41,246.01,287.94,370.95
2006-05-09 00:00:00,431.92,284.85,178.84,363.49,147.27,346.41,246.97,283.34,375.15
2006-05-10 00:00:00,433.46,284.85,178.84,363.49,147.27,347.71,250.88,285.75,377.47
2006-05-11 00:00:00,439.42,289.81,178.84,363.49,147.27,347.71,252.65,285.75,381.7
2006-05-14 00:00:00,445.8,289.81,178.84,363.49,147.27,348.69,252.94,285.75,385.89
**NEPSE NoTrading due to curfew and political situation.,,,,,,,,,
,,,,,,,,,
NEPSE Index during CHAITRA 2062,,,,,,,,,
(15 MARCH 2006 TO 15 APRIL 2006),,,,,,,,,
Date,Commercial,   Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.,       Total
,       Bank, uring & Pro,,,,,,Bank,
CHAITRA0,,,,,,,,,
2006-03-15 00:00:00,378.32,289.73,183.55,333.41,141.72,344.43,250.51,275.17,339.68
2006-03-16 00:00:00,378.41,290.23,181.54,333.41,141.72,340.85,250.36,269.65,339.34
2006-03-19 00:00:00,378.75,290.23,181.54,333.41,141.72,341.48,250.47,269.49,339.6
2006-03-20 00:00:00,379.36,290.23,181.54,333.41,141.72,340.77,250.26,271.79,339.98
2006-03-21 00:00:00,378.34,290.23,181.54,326.81,141.72,341.48,250.76,272.25,339.03
2006-03-22 00:00:00,377.98,291.5,181.54,326.81,141.72,341.05,250.59,272.41,338.86
2006-03-23 00:00:00,377.42,291.5,181.54,326.81,147.54,341.05,251.4,272.87,338.7
2006-03-26 00:00:00,376.92,291.5,181.54,326.81,147.54,341.49,245.59,273.48,337.99
2006-03-27 00:00:00,375.9,291.08,182.88,326.81,147.54,342.27,246.02,273.33,337.45
