Unnamed: 0,Unnamed: 1,Nepal Stock Exchange Ltd.,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Summary Sheet of Transactions,,,,,,,,,,
,,Fiscal Year 2062/2063,,,,,,,,,,
,,(16 July 2005 to 16 July 2006),,,,,,,,,,
,,,,     2060/61,,,     2061/62 ,,,     2062/63 ,,
,,,,Share units,Rs. in,,Share units,Rs. in,,Share units,Rs. in,
,,,Particulars,( '000 ),Million,%,( '000 ),Million,%,( '000 ),Million,%
,,1,Turnover,6468.18,2144.27,100,18433.55,4507.68,100,12221.93,3451.43,100
,,A,Commercial Banks,2737.52,863.41,40.27,6416.57,4021.83,89.22,5534.72,2696.28,78.12
,,B,Development Banking,212.8,32.33,1.51,135.62,22.01,0.49,386.44,82.76,2.4
,,C,Insurance,256.37,36.86,1.72,328.13,67.62,1.5,574.93,129.9,3.76
,,D,Finance,1202.27,165.09,7.7,1443.34,216.37,4.8,1957.49,305.85,8.86
,,E,Manufacturing & Processing,1977.82,1031.62,48.11,7602.89,114.9,2.55,59.8,17.19,0.5
,,F,Hotel,61.04,2.84,0.13,98.17,4.48,0.1,392.18,19.77,0.57
,,G,Trading,8.64,11.83,0.55,10.41,7.99,0.18,15.22,15.8,0.46
,,H,Other,11.72,0.29,0.01,2398.42,52.48,1.16,3301.15,183.88,5.33
,,2,Market days,243,,,236,,,228,,
,,3,Average daily turnover,26.62,8.82,,78.11,19.1,,53.6,15.14,
,,4,Number of transactions,85533,,,106246,,,97374,,
,,5,Number of Company Traded,92,,,102,,,110,,
,,6,Number of Share Traded,6468.18,,,18433.55,,,12221.93,,
,,7,Number of Companies Listed,114,,,125,,,135,,
,,8,Number of Scripts Listed,118,,,132,,,137,,
,,9,Total Amount of Listed Share,,12016,,,16771,,,19958,
,,10,Market Capitali. of Listed Com.,,41424.77,,,61365.89,,,96763.74,
,,11,NEPSE Index at the end of Year,,,,,,,,,
,,A,High,,227.83,,,298.78,,,388.49,
