Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchang Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,Sectorwise Market Capitalization,,,,,,,,,
,,,Fiscal Year 2062/063,,,,,,,,,
,,,(16 July 2005 to 16 July 2006),,,,,,,,,
,,,,,,,,,,,,
,,, Sectorwise market capitalization during Ashadh 2063 (15 June 2006 to 15 July 2006),,,,,,,,,
,,,Date,Commercial,  Manufacturing &,           Hotel,Others,   Trading, Insurance,Finance,Dev.,     Total
,,,Ashadh 063,Bank,Processing,,,,,,Bank,Rs. Million
,,,2006-06-15 00:00:00,65809.1,5405.74,2319.21,7658.73,764.44,4649.73,4852.58,1438.65,92898.19
,,,2006-06-18 00:00:00,66116.28,5405.74,2319.21,7782.76,764.44,4675.29,4854.58,1438.65,93356.96
,,,2006-06-19 00:00:00,66407.95,5450.86,2324.21,7782.76,764.44,4675.29,4859.98,1450.65,93716.15
,,,2006-06-20 00:00:00,66680.45,5450.86,2324.21,7914.09,764.44,4677.29,4842.23,1450.65,94104.22
,,,2006-06-21 00:00:00,66882.65,5450.86,2324.21,8096.49,764.44,4696.73,4843.93,1453.05,94512.36
,,,2006-06-22 00:00:00,66898.01,5450.86,2334.21,8111.08,764.44,4698.18,4858.41,1444.25,94559.44
,,,2006-06-25 00:00:00,66750.04,5450.86,2334.21,8154.86,764.44,4698.18,4859.33,1444.25,94456.17
,,,2006-06-26 00:00:00,66619.42,5450.86,2344.21,8052.72,764.44,4695.18,4860.54,1444.25,94231.61
,,,2006-06-27 00:00:00,66266.44,5450.86,2344.21,7870.32,764.44,4705.38,4858.14,1450.65,93710.44
,,,2006-06-28 00:00:00,66439,5450.86,2344.21,7505.15,764.44,4712.88,4862.44,1450.65,93529.63
,,,2006-06-29 00:00:00,66389.35,5404.82,2344.21,7691.56,764.44,4712.88,4867.74,1453.85,93628.85
,,,2006-07-02 00:00:00,66713.01,5404.82,2344.21,7742.63,764.44,4747.88,4865.74,1453.85,94036.59
,,,2006-07-03 00:00:00,67122.96,5404.82,2344.21,7757.23,764.44,4778.88,4861.21,1473.05,94506.81
,,,2006-07-04 00:00:00,67389.28,5450.86,2344.21,7859.37,764.44,4779.19,4865.43,1497.05,94949.83
,,,2006-07-05 00:00:00,67710.51,5450.86,2336.76,7910.44,764.44,4906.69,4931.16,1553.45,95564.31
,,,2006-07-06 00:00:00,68130.16,5450.86,2336.76,7895.85,764.44,4939.19,4944.08,1555.05,96016.39
,,,2006-07-09 00:00:00,68193.95,5450.86,2344.21,8008.94,764.44,4939.19,4944.08,1559.85,96205.51
,,,2006-07-10 00:00:00,68310.06,5496.89,2344.21,8016.24,764.44,4959.19,4936.58,1555.05,96382.66
,,,2006-07-12 00:00:00,68640.44,5496.89,2344.21,8008.94,764.44,4959.19,4937.78,1559.85,96711.74
,,,2006-07-13 00:00:00,68575.99,5496.89,2344.21,8016.24,764.44,4959.19,4945.08,1566.25,96668.29
,,,2006-07-16 00:00:00,68694.36,5472.11,2344.21,8008.94,764.44,4952.19,4950.03,1577.45,96763.74
,,,,,,,,,,,,
,,,,,,,,,,,,
