Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Nepal Stock Exchange Limited,,,,,,,,,,,
Transactions of Government Bond,,,,,,,,,,,
Fiscal Year 2063/64,,,,,,,,,,,
(16 July 2006 to 16 July 2007),,,,,,,,,,,
,,,,,,,,,,,
,,,,,Traded,,,,,,
SN,Name of the Bond,Outstanding,Paid up,Total,Share ,Traded ,No.of tran-,High,Low,Closing,Interest 
,,Equity,Value,Paid up,Quantity,Amount Rs.,sactions,,,,Rate
,,,,(in million),( in '000),( in million),,,,,%
1,Bikas Rinpatra 2067,5000000,100,500,4,4.06,2,101.54,102,102,5.5
2,Bikas Rinpatra 2067 'ka',10000000,100,1000,0,0,0,100,100,100,5.5
3,Bikas Rinpatra 2067 'kha',7500000,100,750,0,0,0,100,100,100,5.5
4,Bikas Rinpatra 2067 'ga',7500000,100,750,0,0,0,100,100,100,5.5
5,Bikas Rinpatra 2072,7500000,100,750,0,0,0,100,100,100,6
6,Bikas Rinpatra 2075,12000000,100,1200,10,11.32,2,113.25,113.25,113.25,6.5
7,Bikas Rinpatra 2075 'ka',21000000,100,2100,304,351.39,3,115.7,115.52,115.7,6.5
,,70500000,,7050,318,366.77,7,,,,
,,,,,,,,,,,
Transactions of Corporate Bond,,,,,,,,,,,
Fiscal Year 2063/64,,,,,,,,,,,
(16 July 2006 to 16 July 2007),,,,,,,,,,,
,,,,,,,,,,,
,,,,,Traded,,,,,,
SN,Name of the Bond,Outstanding,Paid up,Total,Share ,Traded ,No.of tran-,High,Low,Closing,Interest 
,,Equity,Value,Paid up,Quantity,Amount Rs.,sactions,,,,Rate
,,,,(in million),( in '000),( in million),,,,,%
1,Himalayan Bank Rinpatra 2066,360000,1000,360,1.1,1.1,7,1000,1000,1000,8.5
2,Nepal Investment Bank Ltd. Bond 2067,300000,1000,300,2.14,2.14,3,1000,1000,1000,7.5
3,Everest Bank Rinpatra 2061,300000,1000,300,0,0,0,1000,1000,1000,6
4,Bank of Kathmandu Rinpatra 2069,200000,1000,200,0,0,0,1000,1000,1000,6
5,Nepal Investment Bank Bond 2070,250000,1000,250,0.03,0.03,1,1000,1000,1000,6
6,NIC-BOND 2070,200000,1000,200,0,0,0,1000,1000,1000,6
7,6 % Nepal SBI Bank Rinpatra 2070,200000,1000,200,0,0,0,1000,1000,1000,6
,,1810000,,1810,3.27,3.27,11,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Transactions of Preference Share,,,,,,,,,,,
Fiscal Year 2063/64,,,,,,,,,,,
(16 July 2006 to 16 July 2007),,,,,,,,,,,
,,,,,,,,,,,
SN,Name Companies,Outstanding,Paid up,Total,Traded,Traded ,No.of tran-,High,Low,Closing,Interest 
,,Equity,Value,Paid up,Quantity,Amount Rs.,sactions,,,,Rate
,,,,(in million),( in '000),( in million),,,,,%
1,Everest Bank Ltd. (Pref.,1400000,100,140,33,3.3,6,101,100,101,9
,,1400000,,140,33,3.3,6,,,,
