Nepal Stock Exchange Ltd.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Classification of the Listed Companies Under the Listing Bye-Law (2053),,,,,,,,,
"List of ""A"" Group Company for the F/Y 063/64",,,,,,,,,
,,,,,,Profit of Three F/Y,,,
,Name of listed company,Paid Up,Paid Up,Book,No. of ,060/61,061/62,062/63,
,,Value,Value(Rs.),Value( Rs.),Share,2003/2004,2004/2005,2005/2006,Remarks
,,Per Share,in Million,Per Share,holder,Rs. In million,Rs. In million,Rs. In million,
1,NABIL Bank Limited,100,491.65,381.36,6424,      455.31,      518.64,      631.80,
2,Nepal Investment Bank,100,590.58,239.66,4982,      152.26,      232.15,      350.53,
3,Standard Chartered Bank Nepal Ltd.,100,374.64,468.21,6302,      537.80,      539.20,      658.75,
4,Himalayan Bank Ltd.,100,772.2,228.71,6408,      263.05,      308.28,      457.45,
5,Nepal SBI Bank Limited,100,640,153.43,16520,        60.08,        57.39,      117.00,*
6,Everest Bank Limited,100,518,185.87,16733,      143.56,      170.81,      237.29,
7,Bank of Kathmandu Limited,100,463.58,181.14,21720,      127.47,      139.53,      202.44,
8,Nepal Industrial & Commercial Bank Ltd.,100,600,127.74,30120,        68.26,      113.76,        96.58,
9,Machhachapuchhre Bank Limited,100,715,130.22,12037,        46.69,        84.87,      133.99,
10,Laxmi Bank Limited,100,609.91,111.33,24507,        10.45,        26.46,        35.38,
11,Kumari Bank Limited,100,625,138.21,26501,        48.69,        87.88,      103.66,
12,Sidhartha Bank Ltd.,100,500,120.62,19550,        17.48,        70.28,        65.25,A
13,Development Credit Bank Ltd.,100,268.8,113.12,14502,        30.00,        35.64,        32.83,
14,Paschimanchal Dev. Bank Ltd.,100,50,130.45,3250,         1.13,          2.74,          5.84,A
15,Nirdhan Utthan Bank,100,27.44,377.87,1260,        48.98,        10.16,          8.39,A
16,Siddhartha Vikas Bank,100,50,106.7,2945,         1.64,          1.09,          1.24,A
17,National Life  Insurance Co.,100,30,561,2448,        12.54,        12.89,          9.50,
18,Everest insurance Co. Ltd.,100,90,145.92,3615,        19.58,        10.12,        12.54,
19,Himalayan Gen.Insu. Co.Ltd.,100,30,200,1368,        11.95,        11.01,        33.32,
20,United Insurance Co.(Nepal)Ltd.,100,56.61,168.02,3898,         7.00,          9.55,          7.00,
21,Premier Insurance co. Ltd.,100,30,262.2,6520,         7.53,        14.01,        15.02,
22,Alliance Insurance Company Limited,100,49.96,135.84,2346,         1.90,          0.44,          3.31,
23,Neco Insurance limited,100,186.62,160.32,2450,         4.09,          1.50,          5.07,
24,Sagarmatha Insurance,100,56.1,260.64,6338,        15.79,        16.95,        16.90,
25,Nepal Life Insurance Co.,100,250,122.68,9715,        10.50,        11.61,        51.39,
26,Life Insurance Com.(Nepal) Ltd.,100,250,113.75,7589,         7.19,          9.70,        17.56, * 
27,Prudential Insurance Co,100,100,107.67,4320,         2.01,          3.57,          8.58,A
28,Nepal Finance & Saving Co. Ltd.,100,20,297.02,1334,         0.80,        13.45,        12.85,
