Nepal Stock Exchange Limited,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Company- wise Yearly Transactions,,,,,,,,,,,
Fiscal Year 2063/64,,,,,,,,,,,
(16 July 2006 to 16 July 2007),,,,,,,,,,,
,Commercial Bank,,,,,,,,,,
,,,,,Traded,,,,,,
,Name of the Companies,Outstanding,Paid up,Total,Share ,Traded ,No.of tran-,High,Low,Closing,Market
,,Equity,Value,Paid up,Quantity,Amount Rs.,sactions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nabil Bank Limited,4909950,100,491,125.6,390.75,1436,5050,2025,5050,24795.25
2,Nepal Investment Bank Ltd.,8013526,100,801.35,331.7,429.16,2010,1729,1000,1729,13855.39
3,Standard Chartered Bank Nepal ,4132548,100,413.25,61.6,265.01,971,5900,3058,5900,24382.03
4,Himalayan Bank Limited,8108100,100,810.81,158,190.71,1304,1760,950,1760,14270.26
5,Nepal SBI Bank Limited,6478032,100,647.8,459.8,365.01,2129,1176,505,1176,7618.17
6,Nepal Bangladesh Bank Limited,7199260,100,719.93,976.1,339.74,3257,550,198,550,3959.59
7,Everest Bank Limited,3780000,100,378,203.4,343.33,2440,2430,1100,2430,9185.4
8,Bank of Kathmandu Limited,6031413,100,603.14,803,798.8,4005,1375,691,1375,8293.19
9,Nepal Ind. & Commercial Bank Ltd.,6600000,100,660,423.1,272,2607,950,450,950,6270
10,Macha Puchchhre Bank Ltd,8216513,100,821.65,776.1,348.59,3031,620,300,620,5094.24
11,Laxmi Bank Limited,7320000,100,732,298.1,144.47,1257,690,325,664,4860.48
12,Kumari Bank Limited,7500000,100,750,1023,644.92,3758,865,400,830,6225
13,Lumbini Bank Limited,6000000,100,600,1318,374.5,3182,505,157,505,3030
14,NCC Bank Limited,7000000,100,700,878.9,188.18,2766,336,94,316,2212
15,Siddhartha Bank Ltd.,5000000,100,500,860.3,467.99,8689,778,305,778,3890
16,Everest Bank Limited (Pre),1440000,100,144,3.3,0.33,6,101,100,101,145.44
,,97729342,,9772.93,8700,5563.49,42848,,,,138086.43
,,,,,,,,,,,
,Finance,,,,,,,,,,
,Name of the Companies,    Outstanding,Paid up,Total,Traded,Traded ,No.of trans,High,Low,Closing,Market
,,Equity,Value,Paid up,Share , Amount Rs.,actions,,,,Cap.
,,,,(in million),( in '000),( in million),,,,,(in million)
1,Nepal Finance & Saving Co. Ltd.,200000,100,20,11.29,2.91,79,314,134,265,53
2,NIDC Capital Markets,750000,100,75,52.45,17.56,189,475,205,455,341.25
3,National Finance Co. Ltd.,1045767,100,104.58,31.52,10.47,119,460,263,460,481.05
4,Nepal Share Market & Finance Ltd.,1600000,100,160,174.55,33.35,201,330,145,300,480
5,Annupurna Finance Co. Ltd.,1680000,100,168,108.69,54.68,153,555,490,500,840
6,Kathmandu Finance Ltd,330000,100,33,60.76,10.65,100,204,140,203,66.99
7,Peoples Finance Ltd,623941,100,62.39,27.38,3.52,60,139,115,125,77.99
8,Union Finance Ltd,725153,100,72.52,57.98,10.4,575,282,105,175,126.9
9,Citizen Investment Trust,400000,100,40,1.2,0.35,65,352,266,352,140.8
10,Nepal Aawas Bikas Beeta Co. Ltd.,638207,100,63.82,38,6.85,130,257,171,257,164.02
11,Narayani Finance Ltd,501109,100,50.11,7.72,1.99,35,275,224,275,137.8
12,ACE Finance Co. Ltd.,3200000,100,320,287.98,112.48,358,525,320,459,1468.8
13,Yeti Finance Ltd.,250000,100,25,4.74,1.04,30,231,210,225,56.25
14,Gorkha Finance Co. Ltd,300000,100,30,17.24,2.35,138,180,105,180,54
15,Samjhana Finance Co. Ltd,225000,100,22.5,65.34,6.53,12,100,100,100,22.5
16,Universal Finance Ltd,375000,100,37.5,22,4.42,91,240,175,200,75
17,Nepal Housing & Merchant Fin. Ltd,653400,100,65.34,10,2.6,49,280,210,280,182.95
18,General Fiance Ltd,220000,100,22,7.66,1.11,16,152,140,140,30.8
19,Mahalaxmi Finance Ltd,660000,100,66,6.03,1.65,49,372,250,372,245.52
20,Lalitpur Finance Co. Ltd,506250,100,50.63,8.6,2.25,49,315,345,315,159.47
21,Goodwill Finance Co. Ltd.,500000,95,47.5,14.35,2.69,93,220,160,220,110
22,Paschimanchal Finance Co. Ltd.,506000,100,50.6,1.36,0.35,18,273,245,273,138.14
23,Pokhara Finance Ltd.,600000,100,60,31.04,12.42,80,402,400,400,240
24,Lumbini Fin. & Leasing Com. Ltd.,600000,85,51,31.22,4.14,338,164,115,163,97.8
25,Nepal Merchant Bank & Fin. Ltd.,2000000,80,160,90.52,70.82,1461,1101,278,840,1680
26,Siddhartha Finance Ltd,520000,100,52,12.71,2.23,83,242,150,242,125.84
27,Alpic Everest Finance Ltd,780000,100,78,22.1,3.42,98,183,145,183,142.74
28,Nepal Bangladesh Fin. & Leasing Co.,500480,100,50.05,1.54,0.17,33,115,110,115,57.56
29,United Finance Limited,600000,100,60,12.08,3.96,457,416,156,416,249.6
