Nepal Stock Exchange Limited.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
NEPSE Index during Fiscal Year 2063/064,,,,,,,,,,
(16 July 2006 to 16 July 2007),,,,,,,,,,
NEPSE Index during Sharwan 2063,,,,,,,,,,
(17 July 2006 to 16 Aug 2006),,,,,,,,,,
,,,,,,,,,,
Date,Commercial,Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.,Total,
Sharwan 063,Bank,uring & Pro,,,,,,Bank,,
2006-07-17 00:00:00,439.67,301.62,180.77,408.14,148.11,382.42,261.46,294.4,388.16,
2006-07-18 00:00:00,442.15,301.77,180.77,409.15,148.11,381.46,261.64,292.61,389.74,
2006-07-19 00:00:00,448.5,301.77,180.77,407.28,148.11,383.77,261.49,292.61,393.68,
2006-07-20 00:00:00,451.84,301.77,180.77,408.3,148.11,383.96,261.74,292.61,395.89,
2006-07-23 00:00:00,454.69,302.13,180.77,409.65,148.11,386.08,261.77,294.1,397.95,
2006-07-24 00:00:00,455.07,302.13,180.77,409.65,148.11,386.45,262.6,294.55,398.21,
2006-07-25 00:00:00,453.76,302.13,180.77,408.39,148.11,386.45,263,295.89,397.35,
2006-07-26 00:00:00,450.23,302.13,180.77,405.4,148.11,387.03,263,292.46,394.86,
2006-07-27 00:00:00,438.38,303.65,180.77,402.65,148.11,387.84,263.31,290.22,387.34,
2006-07-30 00:00:00,437.01,303.65,180.77,402.88,148.11,387.84,263.31,290.22,386.5,
2006-07-31 00:00:00,424.28,303.65,180.77,406.47,148.11,387.84,263.8,287.08,378.76,
2006-08-01 00:00:00,405.01,303.65,180.77,407.97,148.11,387.65,262.99,287.98,366.73,
2006-08-02 00:00:00,391.98,303.65,180.77,409.46,148.11,387.68,263.04,287.98,358.69,
2006-08-03 00:00:00,387.37,303.65,180.77,407.03,148.11,387.68,263.35,287.98,355.6,
2006-08-06 00:00:00,399.99,303.65,180.77,407.03,148.11,388.65,263.23,287.98,363.56,
2006-08-07 00:00:00,428.41,303.65,180.77,427.85,148.11,390.96,262.77,290.07,383.14,
2006-08-08 00:00:00,440.82,303.65,180.77,427.85,148.11,389.8,262.77,290.07,390.86,
2006-08-13 00:00:00,442.29,303.65,180.77,427.85,148.11,389.11,262.55,290.07,391.73,
2006-08-14 00:00:00,439.84,303.65,180.77,427.85,148.11,390.84,262.88,290.07,390.29,
2006-08-15 00:00:00,437.89,310.08,180.77,424.48,148.11,391.15,262.89,287.83,389.23,
,,,,,,,,,,
,,,,,,,,,,
NEPSE Index during Bhadra  2063,,,,,,,,,,
(17 Aug 2006 to 14 Sept 2006),,,,,,,,,,
Date,Com.,Manufact-,Hotel,Other,Trading,Insurance,Finance,Dev.,Total,
Bhadra 063,       Bank,uring & Pro,,,,,,Bank,,
2006-08-17 00:00:00,435.14,316.82,179.62,424.11,148.11,391.5,263.08,287.83,387.94,
