Unnamed: 0,Nepal Stock Exchange Limited,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Name and Address of Listed Companies,,,,,
,,,,,,
SN,Name of Companies,Phone,Fax,Address,E-Mail,Website
,,,,,,
,Commercial Banks,,,,,
1,Nabil Bank Ltd.,4429546-7,4429548,"POB 3729, KAMALADI KTM",nabil@nabilbank.com.np,
2,Nepal Investment Bank Ltd.,4228229-4242530,4226349,DURBARMARGA KTM,,www.nibl.com.np
3,Standard Chartered Bank Ltd.,4782333,4780762,GPO 3990 NEW BANESHOR KTM,,
4,Himalayan Bank Ltd.,4250201-4227749,4222800,POB 20590 THAMEL KTM,hbl@hbl.com.np,
5,Nepal SBI Bank Limited,4435516-4435613,4435612,HATTISAR KTM,nsblco@nsbl.com.np,
6,Nepal Bangladesh Bank Ltd.,4783972-4783975,4780106,BIJULIBAZAR KTM,,
7,Everest Bank Ltd,4443377,4443160,POB 13384 LAJIMPAT,ebl@mos.com.np,www.everestbankltd.com
8,Bank of Kathmandu,4414541,4418990,POB 9044 KAMALADI KTM,info@bok.com.np,www.bokltd.com
9,Nepal Industrial & Co.Bank,4262277,4241865,POB 7367 KAMALADI KTM,kamaladi@nicbank.com.np,
10,Machhachapuchhre Bank Ltd,4443681,4425356,POB 12427 PUTALISADAK KTM,machbank@mbl.com.np,www.machbank.com
11,Laxmi Bank Limited,4444685,4444640,HATTISAR KTM,,
12,Kumari Bank Ltd,4232112-13,4231960,POB 21128 PUTALISADK KTM,info@kbl.com.np,www.kumaribank.com
13,Lumbini Bank Ltd.,4243165-4243158,4227590,DURBARMARGA KTM,lumbiniktm@mos.com.np,www.lumbinibankltd.com
14,Nepal Credit & Com. Bank,4246991,4244610,BAGBAJAR KTM,corporate@nccbank.com.np,
15,Siddhartha Bank Limited,4442919-20,4422330,KAMALADI KTM,,
,,,,,,
,Manufacturing and Processing,,,,,
1,Morang Sugar Mills Ltd.,4282165,,KALIMATI KTM,,
2,Bottlers Nepal Ltd.(Balaju),4350602-4351871,4350227,POB 2253,,
3,Biratnagar Jute Mills Ltd.,4423246,21530242,BIRATNAGAR NEPAL,,
4,Nepal Lube Oil Ltd.,5545891-95,5546223,PULCHOK LALITPUR,amnc8@nct.net.np,
5,Nepal Vanaspati Ghee Udhyog Ltd,4271270-4271418,4271704,KALIMATI KTM,santihtd@wlink.com.np,
6,Raghupati Jute Mills Ltd.,4250001,4249723,POB 363 BIRATNAGAR NEPAL,ktm@golchha.com,
7,Butwal Spinning Mills Ltd.,4251295-4252537,4251293,POB 3550 BABARMAHAL KTM,,
8,Gorakhakali Rubber Udhyog Ltd.,4271102-4274537,4270367,KALIMATI KTM,grul@wlink.com.np,
9,Jyoti Spinning Mills Ltd (ord.),4227517-4225490,4224720,POB 133 KANTIPATH KTM,jsml@mos.com.np,
10,Arun Vanaspati Udhyog Ltd.,4250001,4224823,GANABAHAL KTM,ovul@ccl.com.np,
11,Bottlers Nepal (Terai)Ltd.,56520316,56521819,"BHARATPUR, CHITAWAN",,
12,Harisiddhi Brick and Tile Fac.Ltd.,4241344-4248337,4240665,LALITPUR NEPAL,nbgroup@mos.com.np,
13,Birat Shoe Ltd.(Ord.),4418429,4414859,POB 1887 DILLIBAZAR KTM,,
14,Uniliver Nepal Ltd.,4253351-4269218,4253462,GPO 7765 HERITAGE PLAZA KTM,,
15,Nepal Khadya Udhyog Ltd.,4271395-4271270,4271407,KALIMATI KTM,noon_kath@mos.com.np,
16,Himgiri Textile Industries Limited,4250015-4230429,4225406,CHOVAR KTM,,
17,Shree Bhrikuti Pulp & Paper Ltd,4471030-4474640,4472443,NEW BANESOR KTM POB 3259,bhrikuti@mos.com.np,
18,Fluer Himalayan Limited,5529436-5529059,5529434,POB 21097 LALITPUR,,
19,Shree Ram Sugar Mills Ltd,4250001-4,4249723,GANABAHAL KTM,sriram@golchha.com.np,
20,Nepal Bitumin and Barrel Udyog ,5536311-5520343,5536815,POB 4508 LALITPUR,,
21,Himalayan Distillery Ltd.,5522010,5538236,POB 423 SATDOBATO KTM,hd@ecomail.com.np,
,,,,,,
,Hotels,,,,,
1,Yak and Yeti Hotel Ltd.(Ord.),4248999-4240520,4227782,DURBARMARGA KTM pob 1016,corporate@yakandyeti.com.n,
2,Soaltee Hotel Ltd.,4273999,4272206,KALIMATI KTM 3800,shl@shicp.com.np,
3,Taragaon Regency Hotel,4491234,4470409,BOUDDHA POB 9609 KTM,kathmfro@hyattintl.com,
4,Oriental Hotel Ltd.,4411818-4423888,4422330,POB 2269 LAZIMPAT KTM,,
,,,,,,
,Others,,,,,
1,National Pro.& Eco.Dev.Centre Ltd.,4350522-66,4350530,BALAJU KTM,npoedc@wlink.com.np,
2,Nepal Film Dev.Co. Ltd.,4350947-4350113,4350511,POB 549 BALAJU KTM,nfd@mos.com.np,
3,National Hydro Power Co.,4771600-4771700,4771900,POB 6518 ANAMNAGAR KTM,nhpc@inforclub.com.np,
4,Butwal Power Co. Ltd.,4781776-784026,4780994,POB 11728,service@bpc.com.np,www.bpc.com.np
5,Chilime Hydro power Co.,4417434,4443076,POB 25210 KTM,chpcl@wlink.com.np,
,,,,,,
,Tradings,,,,,
1,Salt Trading Corporation,4270315-4271208,4271704,POB 483 KALIMATI KTM,salt@stcnepal.com,
2,Bishal Bazar Co. Ltd.,4222423-4242185,4248893,POB 4565 NEW ROAD KTM,,
3,Nepal Byapar Bikash Co.(Koshi)Ltd.,21525119,,POB 135 BIRATNAGAR,,
4,Nepal Trading Ltd.,5522941,5535730,POB 7146 SANEPA LALITPUR,ntl@ccsl.com.np,
5,Nepal Welfare Company Ltd.,4429406,,POB 9478 MAITIDEVI KTM,,
,,,,,,
,Insurance,,,,,
1,Nepal Insurance Co.Ltd.,4221353-4228690,4225446,GPO 3623 KAMALADI KTM,nic@wlink.com.np,www.nepalinsurance.com
2,Rastriya Beema Sansthan,4262520,4262610,POB 527  RAMSAHAPATH KTM,beema@wlink.com.np,
3,National Life &Gen.Insu.Co.Ltd.,4412625-4416556,4416427,POB 4332 KANTIPATH KTM,nlgilife@mail.com.np,
4,Himalayan Gen.Insu. Co.Ltd.,4231788,4241517,GPO 148 BABARMAHAL KTM,km@hgi.com.np,
5,United Insurance Co.(Nepal)Ltd.,4246686,4246687,POB 9075 IJ PLAZA KTM,uic@mail.com.np,www.unitedinsurance.com.n
6,Everest Insurance Co. Ltd.,4425758-4444717,4444366,POB 10675 HATTISAR KTM,eveinsco@mos.com.np,www.everestinsurance.com
7,Premier Insurance co. Ltd.,4252872-4249956,4249708,POB 9183 TRIPURESOR KTM,premier@picl.com.np,
8,Neco Insurance Co.,4427355,4418761,POB 12271 HATTISAR KTM,info@necoins.com.np,
9,Alliance Insurance Co. Ltd.,422836-4253166,4241411,POB 10811 DURBARMARGA KTM,aic@wlink.com.np,
10,Sagarmatha Insurance Co.Ltd,4240896-4241245,4247947,POB 12211 KAMALADI KTM,sagarmatha@insurance.wlink.,
11,NB Insurance Co. Ltd.,4418862-4442457,4425398,POB 21746 LAL DURBAR KTM,nbic@mos.com.np,
12,Nepal Life Insurance Co. Ltd.,4223440-4241212,4240143,POB 11030 KAMALADI KTM,nlic@mos.com.np,www.nlic.com
13,Life Insurance Co. Nepal,4229688-4243352,4229689,POB 21905 KAMALADI KTM,lic@mos.com.np,
14,Prudential Insurance Co.,4212940-4212942,4219527,POB 15123 TRIVENI COM. KTM,prudential@wlink.com.np,
15,Lumbini General Insurance,4411707,4411692,POB 23100 THAMEL KTM,lgic@mos.com.np,
16,Shikhar Insurance Co. Ltd.,4784515-14,4784513,POB 11133 NEW BANESHOR KTM,shikharins@mos.com.np,
,,,,,,
,Finance,,,,,
1,Nepal Finance and Saving Co.Ltd.,4220031,4241237,KAMALADI KTM POB 6867,nefinco@info.com.np,
2,NIDC Capital Markets Ltd.,4423219-4425343,4423401,POB 7423 KAMALPOKHARI KTM,ncml@wlink.com.np,www.ncml.com.np
3,National Finance Co. Ltd.,428380-424134,4222920,POB 6942 PAKO NEW ROAD,,
4,Nepal Share Markets Ltd.,4252332-4267597,4248845,POB 9909 PUTALISADAK KTM,,
5,Annapurna Finance Co.Ltd.,4229569,,POB 288 POKHARA,annapurna@fewamail.com.np,
6,Kathmandu Finance Limited.,4430527-4437401,4437403,POB 5090 DILLIBAZAR KTM,kafl@enet.com.np,www.kathmandufinance.com
