Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchang Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,Sectorwise Market Capitalization,,,,,,,,,,
,,,Fiscal Year 2063/064,,,,,,,,,,
,,,(16 July 2006 to 16 July 2007),,,,,,,,,,
,,,,,,,,,,,,,
,,, Sectorwise market capitalization during Sharwan 2063 ,,,,,,,,,,
,,,(17 July 2006 to 15 Aug 2006),,,,,,,,,,
,,,Date,Commercial,  Manufacturing &,Hotel,Others,   Trading , Insurance,Finance,Dev.,Total,
,,,Sharwan 2063,Bank,Processing,,,,,,Bank,Rs. Millions,
,,,2006-07-17 00:00:00,69037.47,5481.32,2344.21,7972.46,764.44,4967.39,4951.83,1577.45,97096.57,
,,,2006-07-18 00:00:00,69426.98,5484.08,2344.21,7992.28,764.44,4954.89,4955.16,1567.85,97489.89,
,,,2006-07-19 00:00:00,70423.69,5484.08,2344.21,7955.8,764.44,4984.89,4952.43,1567.85,98477.4,
,,,2006-07-20 00:00:00,70948.87,5484.08,2344.21,7975.62,764.44,4987.39,4957.03,1567.85,99029.49,
,,,2006-07-23 00:00:00,71396.11,5490.53,2344.21,8002.05,764.44,5014.89,4957.63,1575.85,99545.7,
,,,2006-07-24 00:00:00,71455.73,5490.53,2344.21,8002.05,764.44,5019.75,5007.29,1578.25,99662.25,
,,,2006-07-25 00:00:00,71249.54,5490.53,2344.21,7977.4,764.44,5019.75,5015.09,1585.45,99446.42,
,,,2006-07-26 00:00:00,70695.32,5490.53,2344.21,7919.03,764.44,5027.25,5015.09,1567.05,98822.92,
,,,2006-07-27 00:00:00,68834.93,5518.15,2344.21,7865.2,764.44,5037.75,5020.94,1555.05,96940.68,
,,,2006-07-30 00:00:00,68619.72,5518.15,2344.21,7869.74,764.44,5037.75,5020.94,1555.05,96730.01,
,,,2006-07-31 00:00:00,66619.99,5518.15,2344.21,7939.94,764.44,5037.75,5030.34,1538.25,94793.08,
,,,2006-08-01 00:00:00,63594.69,5518.15,2344.21,7969.13,764.44,5035.25,5014.74,1543.05,91783.66,
,,,2006-08-02 00:00:00,61549.46,5518.15,2344.21,7998.31,764.44,5035.75,5015.74,1543.05,89769.12,
