Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,NEPSE Sensitive-INDEX during Sharwan  2063,,,,,,,
,(16 July 2006 to 16 Aug 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Sharwan 063,Bank,& Processing,,,Bank,INDEX,
,2006-07-17 00:00:00,100,100,100,100,100,100,Base Index
,,,,,,,,
,NEPSE Sensitive-INDEX during Bhadra  2063,,,,,,,
,(16 Aug 2006 to 16 Sept 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Bhadra 063,Bank,& Processing,,,Bank,INDEX,
,2006-09-12 00:00:00,97.79,100,102.29,100.03,113.78,98.34,
,2006-09-13 00:00:00,97.74,100,102.46,99.87,115.14,98.32,
,2006-09-14 00:00:00,97.6,100,102.56,100.03,114.86,98.21,
,,,,,,,,
,NEPSE Sensitive-INDEX during Aswin 2063,,,,,,,
,(16 Sept 2006 to 16 Oct),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Aswin 063,Bank,& Processing,,,Bank,INDEX,
,2006-09-17 00:00:00,*,*No Trading due,,,,,
,2006-09-18 00:00:00,99.67,97.86,102.56,100.17,115.41,99.93,
,2006-09-19 00:00:00,101.83,97.86,102.56,99.97,115.41,101.8,
,2006-09-20 00:00:00,101.97,97.86,102.39,100.11,115.68,101.92,
,2006-09-21 00:00:00,101.59,97.86,102.23,101.27,115.14,101.63,
,2006-09-24 00:00:00,101.47,97.86,102.23,101.39,115.14,101.53,
,2006-09-25 00:00:00,101.73,97.86,102.23,101.45,115.14,101.76,
,2006-09-26 00:00:00,101.99,97.86,102.23,101.32,114.05,101.96,
,2006-09-28 00:00:00,102.5,97.86,102.23,101.2,115.41,102.42,
,2006-10-08 00:00:00,103.72,97.86,102.23,101.22,115.41,103.47,
,2006-10-09 00:00:00,104.07,97.86,102.23,101.42,113.78,103.77,
,2006-10-10 00:00:00,104.08,97.86,102.02,101.39,115.41,103.78,
,2006-10-11 00:00:00,103.5,97.86,101.92,101.49,115.41,103.28,
,2006-10-12 00:00:00,103.65,101.42,101.92,101.63,115.41,103.55,
,2006-10-15 00:00:00,103.73,101.42,102.01,101.86,118.92,103.68,
,2006-10-16 00:00:00,103.26,101.42,101.93,102.39,118.92,103.29,
,2006-10-17 00:00:00,103.35,101.42,101.63,102.37,117.84,103.34,
,,,,,,,,
,NEPSE Sensitive-INDEX during Kartik 2063,,,,,,,
,(18 Oct 2006 to 16 Nov 2006 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Kartik 063,Bank,& Processing,,,Bank,INDEX,
,2006-10-18 00:00:00,103.28,99.64,101.63,102.36,117.84,103.22,
,2006-10-19 00:00:00,103.89,97.15,101.63,102.46,117.84,103.66,
,2006-10-26 00:00:00,104.37,97.15,101.63,102.46,117.84,104.07,
,2006-10-29 00:00:00,105.07,97.15,101.63,102.32,118.11,104.68,
,2006-10-30 00:00:00,105.8,97.15,101.63,102.34,118.38,105.31,
,2006-10-31 00:00:00,106.73,97.15,101.63,102.38,118.92,106.13,
,2006-11-01 00:00:00,103.7,97.15,101.63,102.38,120.27,103.52,
,2006-11-02 00:00:00,107.6,97.15,101.63,102.5,121.62,106.92,
,2006-11-05 00:00:00,108.28,97.15,99.7,102.42,121.89,107.43,
,2006-11-06 00:00:00,109.74,97.15,99.69,102.4,122.7,108.7,
,2006-11-07 00:00:00,111.38,97.15,100.53,102.46,122.97,110.16,
,2006-11-08 00:00:00,115.73,97.86,98.68,102.36,124.32,113.88,
,2006-11-09 00:00:00,118.9,97.86,100.45,102.22,130.54,116.76,
,2006-11-12 00:00:00,120.44,97.86,100.53,102.36,133.24,118.13,
,2006-11-13 00:00:00,116.8,97.86,100.63,102.51,135.68,115.03,
,2006-11-14 00:00:00,117.18,87.86,102.39,102.67,135.68,115.44,
,2006-11-15 00:00:00,116.87,97.86,103.23,102.84,147.03,115.35,
,2006-11-16 00:00:00,116.61,97.86,103.15,103.03,154.32,115.21,
,,,,,,,,
,NEPSE Sensitive-INDEX during Magsir 2063,,,,,,,
,(18 Oct 2006 to 16 Nov 2006 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,SENSITIVE,
,Mangsir 063,Bank,& Processing,,,Bank,INDEX,
,2006-11-19 00:00:00,116.76,97.86,103.25,102.99,154.32,115.34,
,2006-11-20 00:00:00,115.82,97.86,103.26,102.94,162.16,114.62,
,2006-11-21 00:00:00,115.96,97.86,103.26,102.97,170.27,114.85,
,2006-11-23 00:00:00,118.15,97.86,103.42,103.03,175.95,116.82,
,2006-11-26 00:00:00,121.1,97.86,103.42,103.03,193.24,119.57,
,2006-11-27 00:00:00,122.67,97.86,103.68,102.98,202.7,121.05,
,2006-11-28 00:00:00,124.98,97.86,104.6,103.3,202.7,123.11,
,2006-11-29 00:00:00,129.44,97.86,104.6,103.3,217.57,127.14,
,2006-11-30 00:00:00,127.27,97.86,104.6,103.28,216.22,125.24,
,2006-12-03 00:00:00,125.24,97.86,104.6,103.28,209.46,123.41,
,2006-12-04 00:00:00,124.18,97.86,104.6,103.85,211.89,122.55,
,2006-12-05 00:00:00,123.52,97.86,104.6,103.91,213.51,122,
,2006-12-06 00:00:00,122.9,97.86,106.43,103.39,217.57,121.56,
,2006-12-07 00:00:00,123.66,98.04,107.69,104.27,218.92,122.23,
,2006-12-10 00:00:00,125.17,98.04,107.69,104.78,218.92,123.66,
,2006-12-11 00:00:00,126.66,98.04,109.97,104.94,218.92,125.02,
,2006-12-12 00:00:00,129.02,98.04,110.23,104.94,218.92,127.1,
,2006-12-13 00:00:00,130.96,98.04,112.74,105.09,218.92,128.89,
,2006-12-14 00:00:00,132.36,99.64,112.91,106,202.7,130.01,
,,,,,,,,
,NEPSE Sensitive-INDEX during Poush 2063,,,,,,,
,(16 Dec 2006 to 16 Jan 2007 ),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,,Dev.,SENSITIVE
,Poush 063,Bank,& Processing,,,,Bank,INDEX
,2006-12-17 00:00:00,133.92,99.64,112.91,106.05,,206.49,131.41
,2006-12-18 00:00:00,134.06,99.64,118.7,107.23,,203.51,131.78
,2006-12-19 00:00:00,132.4,112,124.48,109.38,,193.08,131.14
,2006-12-20 00:00:00,130.13,112,125.29,110.9,,207.69,129.45
,2006-12-21 00:00:00,130.77,112,126.26,110.9,,205.38,130.02
,2006-12-24 00:00:00,131.56,112,127.4,115.62,,208.97,131.02
,2006-12-25 00:00:00,131.89,112,127.4,116.66,,206.41,131.33
,2006-12-26 00:00:00,131.57,112,127.7,116.66,,206.41,131.06
,2006-12-27 00:00:00,130.13,114,138.86,120.21,,210,130.51
,2006-12-28 00:00:00,130.13,114,138.86,120.21,,210,130.51
,2006-12-31 00:00:00,129.28,114,139.14,120.5,,210,129.79
,2007-01-01 00:00:00,128.78,114,142.22,121.72,,211.79,129.56
,2007-01-02 00:00:00,127.25,114,145.3,125.16,,222.31,128.64
,2007-01-03 00:00:00,125.44,114,154.65,126.36,,232.31,127.61
