Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,Sectorwise Classified Companies - Market Capitalization,,,,,,,
, Sectorwise Market Capitalization during Bhadra 2063 (16 Aug 2006 to 16 Sept 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,Total,
,Bhadra 063,Bank,& Processing,,,Bank,Rs. Millions,
,2006-09-12 00:00:00,62435.69,2587.17,3047.11,3541.79,1010.4,72622.16,
,2006-09-13 00:00:00,62320.58,2587.17,3055.11,3541.66,1020,72524.52,
,,,,,,,,
,Sectorwise Classified Companies - Market Capitalization,,,,,,,
, Sectorwise Market Capitalization during Aswin 2063 (17 Sept 2006 to 17 Oct 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,Total,
,Aswin 063,Bank,& Processing,,,Bank,Rs. Millions,
,2006-09-17 00:00:00,*,,,,,,
,2006-09-18 00:00:00,63635.95,2531.93,3055.11,3546.5,1024.8,73794.29,
,2006-09-19 00:00:00,65020.36,2531.93,3055.11,3539.48,1024.8,75171.68,
,2006-09-20 00:00:00,65106.34,2531.93,3050.11,3544.32,1027.2,75259.9,
,2006-09-21 00:00:00,64863.92,2531.93,3045.11,3585.67,1022.4,75049.03,
,2006-09-24 00:00:00,64785.42,2531.93,3045.11,3589.67,1022.4,74974.53,
,2006-09-25 00:00:00,64952.34,2531.93,3045.11,3591.78,1022.4,75143.56,
,2006-09-26 00:00:00,65118.27,2531.93,3045.11,3587.28,1012.8,75295.39,
,2006-09-28 00:00:00,65447.52,2531.93,3045.11,3583.21,1024.8,75632.57,
,2006-10-08 00:00:00,66221.96,2531.93,3045.11,3583.96,1024.8,76407.76,
,2006-10-09 00:00:00,66448.53,2531.93,3045.11,3590.77,1010.4,76626.73,
,2006-10-10 00:00:00,66451.75,2531.93,3039.11,3589.77,1024.8,76637.35,
,2006-10-11 00:00:00,66081.61,2531.93,3036.11,3593.47,1024.8,76267.91,
,2006-10-12 00:00:00,66179.12,2624,3036.11,3598.47,1024.8,76462.49,
,2006-10-15 00:00:00,66233.22,2624,3038.61,3606.63,1056,76558.45,
,2006-10-16 00:00:00,65934.1,2624,3036.41,3625.34,1056,76275.84,
,2006-10-17 00:00:00,65988.27,2624,3027.41,3624.66,1046.4,76310.74,
,,*No Trading due to strike of member Brokers of NEPSE,,,,,,
,,,,,,,,
,Sectorwise Classified Companies - Market Capitalization,,,,,,,
, Sectorwise Market Capitalization during Kartik 2063 (18 Oct 2006 to 16 Nov 2006),,,,,,,
,Date,Com.,  Manufacturing,Insurance,Finance,Dev.,Total,
,Kartik 063,Bank,& Processing,,,Bank,Rs. Millions,
,2006-10-18 00:00:00,65945.27,2577.96,3027.41,3624.06,1046.4,76221.1,
,2006-10-19 00:00:00,66333.35,2513.51,3027.41,3627.66,1046.4,76548.34,
,2006-10-26 00:00:00,66637.47,2513.51,3027.41,3627.66,1046.4,76852.46,
,2006-10-29 00:00:00,67084.19,2513.51,3027.41,3622.74,1048.8,77296.65,
