.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Sector Index Report (2022-7-17 to 2023-7-16),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
S.N.,BUSINESS_DATE,Banking SubIndex,Hotels And Tourism Index,Others Index,HydroPower Index,Development Bank Index,Manufacturing And Processing,Microfinance Index,Life Insurance,Mutual Fund,Investment Index,Non Life Insurance,Finance Index,Trading Index,Float Index,Sensitive Float Index,Sensitive Index,NEPSE Index
1,2022-07-17,1371.7860,2618.5583,1457.6159,2317.2898,3501.1292,5134.5757,4434.6053,9703.3924,14.9739,65.1135,7979.3540,1575.6954,2036.2631,139.3054,126.3986,385.9311,2011.3998
2,2022-07-18,1373.7813,2751.0916,1487.9238,2344.1176,3533.1625,5172.2909,4466.7577,9820.4529,14.9329,66.2054,8087.8418,1598.2157,2044.9587,140.4641,127.5471,388.7605,2029.4345
3,2022-07-19,1380.3395,2778.5058,1491.1028,2360.0635,3574.7430,5236.4808,4548.3807,9900.6699,14.9465,66.5552,8160.4443,1642.4129,2077.4244,141.8107,129.1158,391.5318,2045.6997
4,2022-07-20,1380.1998,2768.7595,1513.7376,2347.3924,3580.0949,5299.8977,4556.3662,9872.0741,14.9643,67.0317,8216.6358,1674.5837,2065.2554,141.8742,129.1261,392.5006,2050.5946
5,2022-07-21,1382.4888,2748.1330,1530.2874,2333.1171,3545.1776,5286.6367,4534.3875,9721.7297,14.8991,66.3229,8152.3132,1659.5412,2032.6515,141.4225,128.6298,391.6445,2044.7270
6,2022-07-22,1367.3148,2697.0239,1497.4640,2297.3409,3474.8225,5173.7425,4485.5335,9612.0561,14.7252,65.3913,8119.6641,1631.7389,1981.8854,139.5291,126.7352,386.2466,2017.4645
7,2022-07-24,1390.1931,2771.2199,1601.2869,2381.8370,3652.1377,5274.1364,4660.7004,9819.8254,14.8953,67.4916,8237.6572,1749.5723,2069.8981,143.6122,131.0283,398.3342,2078.5139
8,2022-07-25,1411.7053,2846.8897,1615.6753,2488.9664,3865.5195,5444.2223,4846.6757,10034.3417,14.9968,69.2363,8363.4238,1887.7631,2120.2764,147.8090,135.0556,407.3834,2132.9625
9,2022-07-26,1386.4227,2768.0163,1558.1817,2440.6544,3751.1119,5350.0634,4736.1905,9900.6318,14.8172,67.4617,8261.8266,1835.4194,2073.6253,144.5954,131.7347,398.3936,2088.1622
10,2022-07-27,1387.3439,2791.8846,1597.1532,2513.0071,3807.1155,5369.7185,4843.9179,9935.4196,14.8493,68.1525,8305.6306,1911.1587,2069.8606,146.1102,133.1735,402.9263,2111.9903
