S.N. ,Name,Listed Unit,Listed Date,Type of Listing
1.0,Adarsha Laghubitta Bittiya Sanstha Limited,207000.0,2079-04-02 00:00:00,IPO
2.0,Naya Sarathi Laghubitta Bittiya Sanstha Limited,484412.6,2079-04-01 00:00:00,Bonus
3.0,Hydroelectricity Investment and Development Company Limited,14960000.0,2079-04-04 00:00:00,Bonus
4.0,IME General Insurance Limited,810310.2,2079-04-04 00:00:00,Bonus
5.0,Nepal Insurance Company Limited,1366572.42,2079-04-08 00:00:00,Bonus
6.0,NIC Asia Flexi CAP Fund (NICFC),102000000.0,2079-04-04 00:00:00,IPO
7.0,Kumari Dhanabriddhi Yojana,122507259.0,2079-04-04 00:00:00,IPO
8.0,Kalika Power Company Limited,900000.0,2079-04-11 00:00:00,Bonus
9.0,Development Bond 2084 Chha,15000000.0,2079-04-10 00:00:00,IPO
10.0,Development Bond 2084 Ja,15000000.0,2079-04-10 00:00:00,IPO
11.0,Development Bond 2085 Cha,5000000.0,2079-04-10 00:00:00,IPO
12.0,Bindhyabasini Hydropower Development Company Limited,10000000.0,2079-04-10 00:00:00,IPO
13.0,Garima Bikas Bank Limited,6317092.9681,2079-04-15 00:00:00,Bonus
14.0,Nepal Finance Limited,2319758.088,2079-04-15 00:00:00,Right
15.0,NMB Microfinance Bittiya Sanstha Limited,1160580.3738,2079-04-17 00:00:00,Bonus
16.0,Sagarmatha Insurance Company Limited,2222715.0,2079-04-17 00:00:00,Bonus
17.0,Himalayan Hydropower Limited,10950000.0,2079-04-19 00:00:00,IPO
18.0,Nepal Doorsanchar Company Limited,30000000.0,2079-04-24 00:00:00,Bonus
19.0,Himalayan Bank Limited,22843248.97,2079-04-25 00:00:00,Bonus
20.0,Upper Hewakhola Hydropower Company Limited,5000000.0,2079-04-24 00:00:00,IPO
21.0,10% Prime Debenture 2088 (PBD88) ,1741884.0,2079-04-24 00:00:00,IPO
22.0,Mandakini Hydropower Limited,5880369.0,2079-04-29 00:00:00,IPO
23.0,Swet–Ganga Hydropower & Construction Limited,15930000.0,2079-04-30 00:00:00,IPO
24.0,10.75% SBL Debenture 2089 (SBLD89),4000000.0,2079-04-30 00:00:00,IPO
25.0,Upper Solu Hydro Electric Company Limited,13500000.0,2079-04-29 00:00:00,IPO
26.0,4% Agricultural Bond (ADBLB87),2573025.0,2079-05-02 00:00:00,Additional Bond
27.0,Hydroelectricity Invstment & Developemt Company Limited,9795505.0,2079-05-09 00:00:00,Right 
28.0,10.25% Sanima Debenture 2089 (SBD89),5000000.0,2079-05-06 00:00:00,IPO
29.0,Global IME Balanced Fund – 1 (GIBF1),102576360.0,2079-05-02 00:00:00,IPO
30.0,Rapti Hydro And General Construction Limited,6127938.0,2079-05-08 00:00:00,IPO
31.0,10.25% Nepal SBI Bank Debenture 2083 - SBID83,2401482.0,2079-05-12 00:00:00,IPO
32.0,Lumbini General Insurance Company Limited,1138945.5,2079-05-20 00:00:00,Bonus
33.0,10.15% Prime Debenture 2084- PBD84,5000000.0,2079-05-19 00:00:00,IPO
34.0,NMB Energy Bond 4%- 2093/94 (NMBUR93/94),2727437.0,2079-05-02 00:00:00,IPO
35.0,Mirmire Laghubitta Bittiya Sanstha Limited,870142.31,2079-05-30 00:00:00,Bonus
36.0,Aviyan Laghubitta Bittiya Sanstha Limited,2500000.0,2079-05-26 00:00:00,IPO
37.0,10.50% Everest Bank Limited Debenture 2085 - EBLD85,2000000.0,2079-05-26 00:00:00,IPO
38.0,Citizen Investment Trust,9810000.0,2079-06-26 00:00:00,Bonus
39.0,Sayapatri Hydropower Limited,3000000.0,2079-06-26 00:00:00,IPO
40.0,People's Power Limited,6326000.0,2079-06-26 00:00:00,IPO
41.0,Dhaulagiri Laghubitta Bittiya Sanstha Limited,1031000.0,2079-06-30 00:00:00,IPO
42.0,Hydroelectricity Investment & Development Company Limited,1007170.0,2079-07-17 00:00:00,Right 
43.0,Garima Bikas Bank Limited,109811.0,2079-07-20 00:00:00,Right 
44.0,NMB Sulav Investment Fund - 2 (NSIF2),122100000.0,2079-07-17 00:00:00,IPO
45.0,Ngadi Group Power Limited,10603986.0,2079-07-25 00:00:00,Right
46.0,Sikles Hydropower Limited (SIKLES),8500000.0,2079-07-24 00:00:00,IPO
47.0,Khaptad Laghubitta Bittiya Sanstha Limited (KLBS),400000.0,2079-04-25 00:00:00,IPO
48.0,11% KBL Debenture  2089 (KBLD89) ,3000000.0,2079-07-25 00:00:00,IPO
49.0,Asian Life Insurance Company Limited ,3682761.0,2079-08-12 00:00:00,Bonus
50.0,Sanima Life Insurance Limited,840000.0,2079-08-13 00:00:00,Bonus
51.0,Barun Hydropower Company Limited ,2679075.0,2079-08-18 00:00:00,Right
52.0,Shrijanshil Laghubitta Bittiya Sanstha Limited (SHLB),1093750.0,2079-08-26 00:00:00,IPO
53.0,Peoples Hydropower Company Limited (PHCL),32000000.0,2079-08-26 00:00:00,IPO
54.0,Eastern Hydropower Limited (EHPL) ,6200000.0,2079-08-26 00:00:00,IPO
55.0,Radhi Bidyut Company Limited,9535760.99,2079-08-28 00:00:00,Right
56.0,Nepal Credit & Commerce Bank Limited,3750000.0,2079-09-06 00:00:00,Bonus
57.0,Barahi Hydropower Public Limited – BHPL,2500000.0,2079-09-14 00:00:00,IPO
58.0,Samriddhi Finance Company Limited,772666.0,2079-09-18 00:00:00,Right
59.0,Deprosc Laghubitta Bittiya Sanstha Limited,2312497.2214,2079-09-20 00:00:00,Bonus
60.0,Everest Bank Ltd.,400000.0,2079-09-21 00:00:00,Converted from Preference Share
61.0,Bank of Kathmandu Limited,6374396.0,2079-09-22 00:00:00,Bonus
62.0,Development Bond 2081 chha,8000000.0,2079-09-25 00:00:00,IPO
63.0,Development Bond 2082 chha,2000000.0,2079-09-25 00:00:00,IPO
64.0,Development Bond 2083 ja,5000000.0,2079-09-25 00:00:00,IPO
65.0,Adhikhola Laghubitta Bittiya Sanstha Limited,190000.0,2079-09-29 00:00:00,Bonus
66.0,Ru Ru Jalbidhyut Pariyojana Limited (RURU),448476.05,2079-10-04 00:00:00,Bonus
67.0,Gurans Life Insurance Company Ltd. (GLICL),1551200.0,2079-10-04 00:00:00,Bonus
68.0,Mega Bank Nepal Ltd. (MEGA),6448184.58,2079-10-04 00:00:00,Bonus
69.0,Excel Development Bank Ltd. (EDBL),979023.3182,2079-10-09 00:00:00,Bonus
70.0,Civil Bank Ltd (CBL),4537921.95,2079-10-16 00:00:00,Bonus
71.0,Kisan Lagubitta Bittiya Sanstha Limited (KLBSL),785617.75,2079-10-16 00:00:00,Bonus
72.0,Nepal Investment Bank Limited (NIB),7323016.53,2079-10-17 00:00:00,Bonus
73.0,"Himalayan Bank Limited Bond, 2086 (HBLD86)",2500000.0,2079-10-09 00:00:00,IPO
74.0,Sanima Growth Fund (SAGF),67253260.0,2079-10-20 00:00:00,IPO
75.0,NIBL Growth Fund (NIBLGF),132000000.0,10/242079,IPO
76.0,National Life Insurance Co. Ltd. (NLICL),6052737.23,2079-10-29 00:00:00,Bonus
77.0,Global IME Bank Limited (GBIME),7138726.0,2079-10-29 00:00:00,Bonus
78.0,Himalayan Distillery Limited,9110874.93,2079-11-04 00:00:00,Bonus
79.0,Himalayan Bank Limited (HBL),10374980.58,2079-11-05 00:00:00,Bonus
80.0,Radhi Bidyut Company Ltd (RADHI),759990.842,2079-11-05 00:00:00,Bonus
81.0,Development Bond 2084 jha,8000000.0,2079-11-08 00:00:00,IPO
82.0,Development Bond 2084 yan ,7000000.0,2079-11-08 00:00:00,IPO
83.0,Everest Bank Limited (EBL),12307542.27,2079-11-10 00:00:00,Bonus
84.0,NIFRA Urja Rinpatra 7% - 2085/86 (NIFRAUR85/86),2289813.0,2079-10-29 00:00:00,IPO
85.0,"BOK Debenture 2086 ""KA"" (BOKD86KA)",1100000.0,2079-09-21 00:00:00,IPO
86.0,Siddhartha Insurance Ltd. (SIL),1159200.0,2079-11-14 00:00:00,Bonus
87.0,Premier Insurance Company (Nepal) Limited (PIC),1749451.0,2079-11-15 00:00:00,Bonus
88.0,Nepal Insurance Co. Ltd. (NICL),1157696.0,2079-11-15 00:00:00,Bonus
89.0,Mero Microfinance Bittiya Sanstha Ltd. (MERO),1200000.0,2079-11-15 00:00:00,Bonus
90.0,Soaltee Hotel Limited (SHL),4213533.0,2079-11-15 00:00:00,Bonus
91.0,CYC Nepal Laghubitta Bittiya Sanstha Limited (CYCL),364925.51,2079-11-17 00:00:00,Bonus
92.0,Sanima Bank Limited (SANIMA),11327377.33,2079-11-17 00:00:00,Bonus
93.0,Shuvam Power Limited (SPL),2000000.0,2079-11-17 00:00:00,IPO
