Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Market Capitalization by Sector (2022-7-17 to 2023-7-16) ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
S.N,BUSINESS DATE,COMMERCIAL BANKS,,,MANUFACTURING AND PROCESSING,,,HOTELS AND TOURISM,OTHERS,HYDRO POWER,TRADINGS,NON LIFE INSURANCE,,DEVELOPMENT BANKS,,FINANCE,MICROFINANCE,LIFE INSURANCE,,INVESTMENT,TOTAL
1,2022-07-17,1060442.85,,,124559.77,,,45334.67,242777.2,310698,11852.52,,152818.6,128366.68,,50464.8,331191.12,213948.32,199649.2,,2872103.73
2,2022-07-18,1061985.36,,,125474.7,,,47629.2,247825.2,314566.02,11903.13,,154896.33,129541.16,,51186.06,333592.37,216529.37,202997.14,,2898126.04
3,2022-07-19,1067055.09,,,127031.89,,,48103.81,248354.7,316705.87,12092.11,,156286.8,131065.68,,52601.56,339688.26,218298.06,204069.67,,2921353.5
4,2022-07-20,1066947.09,,,128570.32,,,47935.08,252124.7,315005.49,12021.27,,157362.96,131261.9,,53631.9,340284.64,217667.56,205530.73,,2928343.64
5,2022-07-21,1068716.55,,,128248.62,,,47577.98,254881.2,313089.83,11831.5,,156444.62,129981.68,,53150.13,338643.19,214352.64,202823.28,,2919741.22
6,2022-07-22,1056986.51,,,125509.92,,,46693.13,249414.2,308288.89,11536,,155818.08,127402.16,,52259.71,335047.77,211934.47,199974.37,,2880865.21
7,2022-07-24,1074672.3,,,127945.38,,,47977.68,266706.7,319627.73,12048.3,,158082.39,133903.3,,56033.56,348076.66,216515.53,206397.32,,2967986.85
8,2022-07-25,1091302.03,,,132071.49,,,49287.73,269103.2,334003.84,12341.54,,160495.88,141726.81,,60459.4,361965.92,221245.36,211732.8,,3045736
9,2022-07-26,1071757.63,,,129787.29,,,47922.21,259527.2,327520.67,12069.99,,158546.2,137532.13,,58782.99,353714.51,218297.22,206305.87,,2981763.91
10,2022-07-27,1072469.74,,,130264.1,,,48335.44,266018.2,337229.95,12048.08,,159386.81,139585.47,,61208.69,361759.96,219064.25,208418.32,,3015789.01
11,2022-07-28,1073752.85,,,129664.55,,,49460.05,265477.7,342171.25,12075.6,,159376.35,142717.46,,63123.02,367042.44,219397.51,214560.25,,3038819.03
