.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 By Market Capitalisation (2022-7-17 to 2023-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,Market Capitalization(Rs. in million)
1,Nepal Doorsanchar Company Limited,NTC,163242.00
2,Nabil Bank Limited,NABIL,162125.53
3,Citizen Investment Trust,CIT,111004.25
4,Nepal Reinsurance Company Limited,NRIC,94820.22
5,NIC Asia Bank Ltd.,NICA,91795.08
6,Global IME Bank Limited,GBIME,66534.17
7,Nepal Life Insurance Co. Ltd.,NLIC,61067.27
8,Everest Bank Limited,EBL,60230.27
9,Nepal Investment Mega Bank Limited,NIMB,59315.50
10,Himalayan Distillery Limited,HDL,54616.66
