.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Shares Traded (2022-7-17 to 2023-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,NO OF SHARES (in thousand)
1,SHIVAM CEMENTS LTD,SHIVM,35280
2,Api Power Company Ltd.,API,33338
3,Himal Dolakha Hydropower Company Limited,HDHPC,28307
4,Hydorelectricity Investment and Development Company Ltd,HIDCL,24358
5,Nepal Infrastructure Bank Limited,NIFRA,22874
6,National Hydro Power Company Limited,NHPC,21620
7,UNIVERSAL POWER COMPANY LTD,UPCL,21220
8,Ngadi Group Power Ltd.,NGPL,19764
9,Soaltee Hotel Limited,SHL,19053
10,Arun Valley Hydropower Development Co. Ltd.,AHPC,18340
