.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Number of Trades (2022-7-17 to 2023-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,NO_OF_TRADES
1,SHIVAM CEMENTS LTD,SHIVM,225591
2,Nabil Bank Limited,NABIL,187879
3,Nepal Infrastructure Bank Limited,NIFRA,174719
4,Api Power Company Ltd.,API,157726
5,Himalayan Distillery Limited,HDL,155994
6,Peoples Hydropower Company Limited,PHCL,147804
7,Hydorelectricity Investment and Development Company Ltd,HIDCL,134719
8,Nepal Life Insurance Co. Ltd.,NLIC,110961
9,Nepal Doorsanchar Company Limited,NTC,102078
10,NIC Asia Bank Ltd.,NICA,100591
