.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Amount Traded (2022-7-17 to 2023-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,TRADED_AMOUNT(Rs. in million)
1,SHIVAM CEMENTS LTD,SHIVM,20441.970059
2,Himalayan Distillery Limited,HDL,15153.216136
3,Nabil Bank Limited,NABIL,10643.211470
4,NIC Asia Bank Ltd.,NICA,10037.597575
5,Nepal Doorsanchar Company Limited,NTC,9470.945739
6,Api Power Company Ltd.,API,8549.452373
7,Ridi Power Company Limited,RIDI,8414.104698
8,Nepal Life Insurance Co. Ltd.,NLIC,7958.140571
9,Soaltee Hotel Limited,SHL,6769.685917
10,Citizen Investment Trust,CIT,6706.365818
