Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Trade by Sector Report (2022-7-17 to 2023-7-16) ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Commercial Banks,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million)
1,Agricultural Development Bank Limited,,,,,,ADBL,134516742,,100,13451.67,6494615,1890.04,,49637,355.8,224,233.9,291.016686,236,31463.47
2,Bank of Kathmandu Ltd.,,,,,,BOKL,0,,100,0,524952,109.45,,3266,227.1,195.2,100,208.497067,21,0
3,Century Commercial Bank Ltd.,,,,,,CCBL,0,,100,0,1905765,360.68,,8692,207.9,175,100,189.257758,42,0
4,Citizens Bank International Limited,,,,,,CZBIL,142009741,,100,14200.97,8474451,1600.93,,39655,224,165,173.1,188.912853,236,24581.89
5,Civil Bank Ltd,,,,,,CBL,0,,100,0,4010854,916.16,,14284,251.3,208,100,228.421068,58,0
6,Everest Bank Limited,,,,,,EBL,106980945,,100,10698.09,8735735,4508.51,,47142,596.7,421.5,563,516.100192,236,60230.27
7,Global IME Bank Limited,,,,,,GBIME,357710597,,100,35771.06,10092382,1915.55,,60948,251.4,176,186,189.801637,117,66534.17
8,Himalayan Bank Limited,,,,,,HBL,216566158,,100,21656.62,4982438,1238.52,,30779,369.3,206,212.8,248.577413,236,46085.28
9,Kumari Bank Limited,,,,,,KBL,262258613,,100,26225.86,17487684,3177.69,,68374,219.8,155,165,181.710091,194,43272.67
10,Laxmi Bank Limited,,,,,,LBL,115513451,,100,11551.35,10493786,2009.97,,24051,220,167.5,173,191.539155,235,19983.83
11,Machhapuchhre Bank Limited,,,,,,MBL,102571556,,100,10257.16,6615770,1537.25,,28627,268,199,231.8,232.3617,236,23776.09
12,Mega  Bank Nepal Ltd.,,,,,,MEGA,0,,100,0,2937034,612.19,,9482,230.5,183.5,100,208.438645,34,0
