.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Closing Price Movement (2023-7-17 to 2024-7-15),,,,
,,,,,
S.N.,SECTOR_NAME,SECURITY_NAME,Previous Closing Price,Current Closing Price,Difference
1,Commercial Banks,Agricultural Development Bank Limited,233.90,294.00,60.10
2,Commercial Banks,Citizens Bank International Limited,173.10,193.50,20.40
3,Commercial Banks,Everest Bank Limited,563.00,560.00,-3.00
4,Commercial Banks,Global IME Bank Limited,186.00,194.20,8.20
5,Commercial Banks,Himalayan Bank Limited,212.80,204.20,-8.60
6,Commercial Banks,Kumari Bank Limited,165.00,153.70,-11.30
7,Commercial Banks,Laxmi Sunrise Bank Limited,173.00,175.00,2.00
8,Commercial Banks,Machhapuchhre Bank Limited,231.80,200.00,-31.80
9,Commercial Banks,Nabil Bank Limited,599.20,524.00,-75.20
10,Commercial Banks,Nepal Bank Limited,249.00,229.50,-19.50
11,Commercial Banks,Nepal Investment Mega Bank Limited,173.80,175.10,1.30
12,Commercial Banks,Nepal SBI Bank Limited,341.00,328.00,-13.00
13,Commercial Banks,NIC Asia Bank Ltd.,793.80,443.20,-350.60
14,Commercial Banks,NMB Bank Limited,226.00,218.00,-8.00
15,Commercial Banks,Prabhu  Bank Limited,162.60,163.70,1.10
16,Commercial Banks,Prime Commercial Bank Ltd.,195.00,221.80,26.80
17,Commercial Banks,Sanima Bank Limited,260.50,279.00,18.50
18,Commercial Banks,Siddhartha Bank Limited,253.00,283.00,30.00
19,Commercial Banks,Standard Chartered Bank Limited,530.10,602.00,71.90
20,Development Banks,Corporate Development Bank Limited,350.00,586.90,236.90
21,Development Banks,Excel Development Bank Ltd.,325.40,453.00,127.60
22,Development Banks,Garima Bikas Bank Limited,405.00,385.10,-19.90
23,Development Banks,Green Development Bank Ltd.,306.00,491.00,185.00
24,Development Banks,Jyoti Bikas Bank Limited,298.00,314.00,16.00
25,Development Banks,Kamana Sewa Bikas Bank Limited,327.00,416.00,89.00
26,Development Banks,Karnali Development Bank Limited,282.00,483.90,201.90
27,Development Banks,Lumbini Bikas Bank Ltd.,413.00,416.60,3.60
28,Development Banks,Mahalaxmi Bikas Bank Ltd.,325.50,352.00,26.50
29,Development Banks,Miteri Development Bank Limited,404.10,540.00,135.90
30,Development Banks,Muktinath Bikas Bank Ltd.,407.00,367.00,-40.00
31,Development Banks,Narayani Development Bank Limited,414.00,565.00,151.00
32,Development Banks,Saptakoshi Development Bank Ltd,258.00,430.00,172.00
33,Development Banks,Shangrila Development Bank Ltd.,322.00,349.00,27.00
34,Development Banks,Shine Resunga Development Bank Ltd.,384.00,405.10,21.10
35,Development Banks,Sindhu Bikash Bank Ltd,279.00,454.00,175.00
36,Finance,Best Finance Company Ltd.,353.00,500.00,147.00
37,Finance,Capital Merchant Bank & Finance Co. Ltd.,140.00,140.00,0.00
38,Finance,Central Finance Co. Ltd.,393.00,532.00,139.00
