S.N. ,Name of the Company,Symbol,Listing Date ,Unit Listed,Type of Listing
1,Arun Kabeli Power Limited ,AKPL,2080.04.03,1855211,Bonus
2,Himalayan Laghubitta Bittiya Sanstha Limited ,HLBSL,2080.04.04,316936.88,Bonus
3,National Life Insurance Company Limited ,NLICL,2080.04.08,3712345.5,Bonus
4,Manakamana Smart Laghubitta Bittiya Sanstha Limited ,MKLB,2080.04.09,67329.11,Bonus
5,NMB Laghubitta Bittiya Sanstha Limited ,NMBMF,2080.04.10,655862.86,Bonus
6,Suryodaya Womi Laghubitta Bittiya Sanstha Limited ,SWMF,2080.04.24,1187977.18,Bonus
7,Prabhu Life Insurance Limited ,PLI,2080.04.32,1960000,Bonus
8,Samudayik Laghubitta Bittiya Sanstha Limited ,SLBSL,2080.04.32,132000,Bonus
9,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited ,JALPA,2080.05.07,228000,Bonus
10,Citizens Investment Trust ,CIT,2080.06.07,10627500,Bonus
11,Nepal Reinsurance Company Limited ,NRIC,2080.06.17,5810437.5,Bonus
12,Reliance Finance Limited ,RLFL,2080.06.26,684454.11,Bonus
13,Machhapuchchhre Bank Limited ,MBL,2080.08.05,13642017,Bonus
14,Nadep Laghubitta Bittiya Sanstha Limited ,NADEP,2080.08.15,809600,Bonus
15,Everest Bank Limited ,EBL,2080.09.16,10698094.44,Bonus
16,NIC ASIA Bank Limited ,NICA,2080.09.20,33535615.56,Bonus
17,Sanima Bank Limited ,SANIMA,2080.09.25,11214103.55,Bonus
18,Swabalamban Laghubitta Bittiya Sanstha Limited ,SWBBL,2080.10.26,1595045,Bonus
19,Shangrila Development Bank Limited ,SADBL,2080.10.26,1633795.86,Bonus
20,Himalayan Distillery Limited ,HDL,2080.10.26,2429566.65,Bonus
21,Garima Bikas Bank Limited ,GBBL,2080.10.29,4928302.71,Bonus
22,Chilime Jalvidhyut Company Limited ,CHCL,2080.11.02,7258180,Bonus
23,Sanima Mai Hydropower Limited ,SHPC,2080.11.02,3089251,Bonus
24,Miteri Development Bank Limited ,MDB,2080.11.10,964251.365,Bonus
25,Nepal Insurance Company Limited ,NICL,2080.11.13,1494766,Bonus
26,Shine Resunga Development Bank Limited ,SHINE,2080.11.13,4498077.37,Bonus
27,Shivam Cements Limited ,SHIVM,2080.11.23,6270000,Bonus
28,Radhi Vidhyut Company Limited ,RADHI,2080.11.14,796090.41,Bonus
29,Hathway Investment Nepal Limited,HATHY,2080.11.16,2340000,Bonus
