.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 By Market Capitalisation (2024-7-15 to 2024-7-15),,
,,,
S.N.,SECURITY_NAME,SYMBOL,Market Capitalization(Rs. in million)
1,Nepal Doorsanchar Company Limited,NTC,152100.00
2,Nabil Bank Limited,NABIL,141778.67
3,Citizen Investment Trust,CIT,117821.79
4,Nepal Reinsurance Company Limited,NRIC,93686.87
5,Global IME Bank Limited,GBIME,70162.07
6,NIC Asia Bank Ltd.,NICA,66114.66
7,Everest Bank Limited,EBL,65900.26
8,Himalayan Reinsurance Limited,HRL,60320.00
9,Nepal Investment Mega Bank Limited,NIMB,59759.17
10,Standard Chartered Bank Limited,SCB,56765.31
