.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Brokerwise Trading Amount, Fiscal Year 2081/82",,,,,,,,,,,,,,,,,,
MEMBER NAME,Buy,Sell,MEMBER_NAME,Buy,MEMBER_NAME,Buy,Sell,MEMBER_NAME,Buy,TotalBuyOwnedCommission,TotalBuyNEPSECommission,TotalBuyNetCommission,TotalTransactions,TotalTradedQuantity,TotalOwnedCommission,TotalNEPSECommission,TotalGrossCommission,NetCommissionTDS,TotalCommissionEarned
Aakashbhairab Securities Ltd.,16189556941.9,14627504908.55,Aakashbhairab Securities Ltd.,16189556941.9,Aakashbhairab Securities Ltd.,16189556941.9,14627504908.55,Aakashbhairab Securities Ltd.,16189556941.9,71833692.87,14366738.52,48846911.22,557753,101073407,146195572.51,29239114.36,116956458.15,17543468.74,99412989.43
ABC Securities Private Limited,47505447011.81,51038615770.29,ABC Securities Private Limited,47505447011.81,ABC Securities Private Limited,47505447011.81,51038615770.29,ABC Securities Private Limited,47505447011.81,37464551.48,7492910.26,25475895.14,268720,52485461,77195435.92,15439087.09,61756348.79,9263452.41,52492896.56
Agrawal Securities (PVT) Ltd.,43550427025.82,39260398704.17,Agrawal Securities (PVT) Ltd.,43550427025.82,Agrawal Securities (PVT) Ltd.,43550427025.82,39260398704.17,Agrawal Securities (PVT) Ltd.,43550427025.82,88072625.69,17614525.05,59889385.53,617057,164402757,185582695.60,37116538.98,148466156.76,22269923.56,126196233.20
APPLE SECURITIES PRIVATE LIMITED,952917923.2,610000032.8,APPLE SECURITIES PRIVATE LIMITED,952917923.2,APPLE SECURITIES PRIVATE LIMITED,952917923.2,610000032.8,APPLE SECURITIES PRIVATE LIMITED,952917923.2,38941868.29,7788373.63,26480470.50,314974,70977017,80612845.40,16122568.98,64490276.32,9673541.51,54816734.92
Arun Securities (PVT) Ltd.,11483622806.9,12191675005.22,Arun Securities (PVT) Ltd.,11483622806.9,Arun Securities (PVT) Ltd.,11483622806.9,12191675005.22,Arun Securities (PVT) Ltd.,11483622806.9,137019048.32,27403809.51,93172953.06,872461,174854743,262036051.85,52407210.06,209628841.71,31444326.30,178184515.38
Aryatara Investment & Securities,60618798972.98,60874035107.57,Aryatara Investment & Securities,60618798972.98,Aryatara Investment & Securities,60618798972.98,60874035107.57,Aryatara Investment & Securities,60618798972.98,61258745.59,12251749.06,41655947.07,494692,86328590,125639556.70,25127911.19,100511645.52,15076746.73,85434898.75
