.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Float Index (2024-7-16 to 2025-7-16),,,,
,,,,,
S.N.,Date,Float Market Capitalization (In Million),Float Index,Sen. Float Market Capitalization (In Million),Sensitive Float Index
1,2024-07-16,1256100.040000,157.6853,443915.860000,135.6800
2,2024-07-17,1286258.750000,161.4634,455544.140000,139.2338
3,2024-07-18,1323178.820000,166.1294,473531.980000,144.7491
4,2024-07-21,1357571.090000,170.4597,487677.860000,149.0869
5,2024-07-22,1355025.860000,170.1329,485355.110000,148.3598
6,2024-07-23,1396173.100000,175.2767,497727.590000,152.1477
7,2024-07-24,1383435.930000,173.6909,491283.790000,150.1755
8,2024-07-25,1403238.590000,176.1929,500553.260000,153.0207
9,2024-07-28,1473697.110000,185.0628,533372.580000,163.0736
10,2024-07-29,1461433.760000,183.5149,527102.220000,161.1561
11,2024-07-30,1478546.070000,185.6657,531157.590000,162.3911
12,2024-07-31,1512437.430000,189.9161,542059.790000,165.7266
13,2024-08-01,1510393.220000,189.6766,537212.280000,164.2441
14,2024-08-05,1524742.910000,191.4458,532067.060000,162.5883
15,2024-08-06,1440834.290000,180.9119,499618.650000,152.6715
16,2024-08-07,1496983.210000,187.9657,519255.790000,158.6699
17,2024-08-08,1500262.380000,188.3109,518815.480000,158.5351
18,2024-08-11,1576924.160000,194.9630,544723.830000,164.1792
19,2024-08-12,1623178.970000,200.7232,558264.610000,168.2405
20,2024-08-13,1624635.150000,200.2845,556600.600000,167.6673
21,2024-08-14,1645538.950000,202.8567,565396.960000,170.2905
22,2024-08-15,1680161.970000,206.8859,586777.000000,176.7318
23,2024-08-18,1661800.720000,204.6283,581696.180000,175.2220
24,2024-08-21,1663119.040000,204.8134,584389.330000,176.0355
25,2024-08-22,1669920.060000,205.6627,589699.810000,177.6471
26,2024-08-25,1624909.650000,200.1174,890084.910000,172.8509
27,2024-08-27,1560225.330000,192.1404,850429.470000,165.1486
28,2024-08-28,1561879.640000,192.3522,852942.160000,165.1084
29,2024-08-29,1540046.670000,189.6671,838630.600000,162.0151
30,2024-09-01,1508392.220000,185.7624,822761.950000,158.3280
31,2024-09-02,1581701.270000,194.7910,861552.600000,166.5090
32,2024-09-03,1586180.930000,195.3549,864691.000000,165.8247
33,2024-09-04,1534933.630000,189.0434,837295.740000,160.5051
34,2024-09-05,1527293.700000,188.1046,832315.560000,159.8114
35,2024-09-08,1511104.930000,186.0991,820688.090000,157.5572
36,2024-09-09,1477193.070000,181.9154,802125.070000,154.2501
37,2024-09-10,1469732.410000,180.9981,798558.790000,153.6219
38,2024-09-11,1457013.700000,179.4279,791706.180000,152.4867
39,2024-09-12,1500713.210000,184.8173,814748.640000,157.3201
40,2024-09-15,1472793.380000,181.3830,801483.050000,154.4859
41,2024-09-16,1441169.900000,177.4822,787403.660000,151.4313
42,2024-09-18,1440359.220000,177.3946,788284.400000,151.8047
