S.N. ,Name of the Company,Symbol,Listing Date ,Number of Unit,Type of Listing
1,Prabhu Insurance Limited,PRIN,2081.04.23,653658.07,Bonus
2, IME Life Insurance Company Limited,ILI,2081.04.27,10000000,Bonus
3,Sun Nepal Life Insurance Company Limited,SNLI,2081.04.29,7616000,Bonus
4,Mailung Khola Jal Vidhyut Company Limited ,MKJC,2081.05.11,81768.24,Bonus
5,CEDB Hydropower Development Company Limited,CHDC,2081.05.11,923351,Bonus
6,Nepal Reinsurance Company Limited,NRIC,2081.05.17,6086433.28,Bonus
7,Citizen Investment Trust,CIT,2081.06.09,7439250,Bonus
8,Green Development Bank Limited,GRDBL,2081.06.10,197220,Bonus
9,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,2081.06.16,1282108.5372,Bonus
10,National Life Insurance Co. Ltd.,NLICL,2081.07.02,2004666.57,Bonus
11,Corporate Development Bank Limited,CORBL,2081.07.26,250000,Bonus
12,Samaj Laghubitta Bittiya Sanstha Limited,SAMAJ,2081.07.26,28500,Bonus
13,Nepal Lube Oil Limited,NLO,2081.07.29,122040,Bonus
14,Everest Bank Limited,EBL,2081.08.19,11767903.88,Bonus
15,Api Power Company Ltd.,API,2081.08.19,2893298.956,Bonus
16,CEDB Holdings Limited,CHDC,2081.08.19,1024919.61,Bonus
17,Kamana Sewa Bikas Bank Limited,KSBBL,2081.08.19,2296815.27,Bonus
18,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,2081.08.26,144495,Bonus
19,Arun Valley Hydropower Development Co. Ltd.,AHPC,2081.08.26,1120778,Bonus
20,Swabalamban Laghubitta Bittiya Sanstha Limited,SWBBL,2081.08.26,2066250,Bonus
21,Prabhu Mahalaxmi Life Insurance Limited,PMLI,2081.09.01,4296000,Bonus
22,Bhagawati Hydropower Development Company Limited,BGWT,2081.09.01,228826,Bonus
23,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,2081.09.12,914302.8,Bonus
24,Hathway Investment Nepal Limited,HATHY,2081.09.17,2574000,Bonus
25,Citizens Bank International Limited,CZBIL,2081.09.17,5680389,Bonus
26,Super Madi Hydropower Limited,SMHL,2081.10.03,1050000,Bonus
27,Sanima Reliance Life Insurance Limited,SRLI,2081.10.06,7690652,Bonus
28,Sahas Urja Limited,SAHAS,2081.10.09,2800000,Bonus
29,Sagarmatha Jalabidhyut Company Limited,SMJC,2081.10.09,532000,Bonus
30,Oriental Hotels Limited ,OHL,2081.10.11,564045.22,Bonus
31,Ru Ru Jalbidhyut Pariyojana Limited,RURU,2081.10.13,739985.48,Bonus
32, National Laghubitta Bittiya Sanstha Limited,NMFBS,2081.10.13,1660868.4,Bonus
33,Soaltee Hotel Limited,SHL,2081.10.28,9290899,Bonus
34,NRN Infrastructure and Development Limited,NRN,2081.10.28,611605.85,Bonus
35,Mandakini Hydropower Limited,MHL,2081.10.28,307984.33,Bonus
36,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,2081.11.04,2381737.68,Bonus
37,Global IME Bank Limited,GBIME,2081.11.04,19870823.63,Bonus
38,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,2081.11.08,1110444.21,Bonus
39,Agricultural Development Bank Limited,ADBL,2081.11.08,4035502.2234,Bonus
40,SHIVAM CEMENTS LTD,SHIVM,2081.11.08,4298085,Bonus
41,Himalayan Distillery Limited,HDL,2081.11.11,4008784.97,Bonus
