.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Amount Traded (2024-7-16 to 2025-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,TRADED_AMOUNT(Rs. in million)
1,Himalayan Reinsurance Limited,HRL,64209.955350
2,NRN Infrastructure and Development Limited,NRN,52716.237823
3,Ngadi Group Power Ltd.,NGPL,49254.343886
4,Radhi Bidyut Company Ltd,RADHI,40567.192529
5,Sanima Mai Hydropower Ltd.,SHPC,39915.018629
6,Nepal Reinsurance Company Limited,NRIC,37820.166929
7,CEDB Holdings Limited,CHDC,37784.404923
8,UNIVERSAL POWER COMPANY LTD,UPCL,29021.380799
9,Nepal Finance Ltd.,NFS,27545.619747
10,Api Power Company Ltd.,API,26546.602462
