.,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",Unnamed: 2,Unnamed: 3
,,,
,,,
,,,
,,,
,,,
,Top 10 by Shares Traded (2024-7-16 to 2025-7-16),,
,,,
S.N.,SECURITY_NAME,SYMBOL,NO OF SHARES (in thousand)
1,Ngadi Group Power Ltd.,NGPL,126956
2,Kumari Bank Limited,KBL,100764
3,Api Power Company Ltd.,API,88948
4,Arun Valley Hydropower Development Co. Ltd.,AHPC,87830
5,Hydorelectricity Investment and Development Company Ltd,HIDCL,86894
6,Singati Hydro Energy Limited,SHEL,81986
7,Nepal Infrastructure Bank Limited,NIFRA,81690
8,UNIVERSAL POWER COMPANY LTD,UPCL,79548
9,Upper Tamakoshi Hydropower Ltd,UPPER,72095
10,Sanima Mai Hydropower Ltd.,SHPC,70674
