Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Nepal Stock Exchange Limited
Singhadurbar Plaza, Kathmandu, Nepal
Phone: 977-1-4250758, 4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Trade by Sector Report (2024-7-16 to 2025-7-16) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,
S.N.,SECURITY NAME,,,,,,SYMBOL,LISTED UNITS,,FACE VALUE,PAID UP CAPITAL     (Rs. in million),TOTAL TRADED QUANTITY,TOTAL TRADED VALUE (Rs. in million),,TOTAL TRADES,HIGH PRICE,LOW PRICE,CLOSE PRICE,AVERAGE PRICE,NO. OF TRADING DAYS,MARKET CAPITALIZATION          (Rs. in million),,
1,Agricultural Development Bank Limited,,,,,,ADBL,138552244,,100,13855.22,18516480,6507.15,,92585,428.4,272.3,327.13,351.424866,231,45324.6,,
2,Citizens Bank International Limited,,,,,,CZBIL,147690131,,100,14769.01,25186791,5870.64,,76842,296,190.2,228.28,233.084063,231,33714.7,,
3,Everest Bank Limited,,,,,,EBL,129446943,,100,12944.69,17395051,11494.49,,79431,790,556,701.56,660.791047,231,90814.8,,
4,Global IME Bank Limited,,,,,,GBIME,381158528,,100,38115.85,55303145,13446.02,,199243,302,193.6,259.57,243.132955,231,98937.32,,
5,Himalayan Bank Limited,,,,,,HBL,216566158,,100,21656.62,22499654,5617.98,,82567,312.1,203,237.3,249.691737,231,51391.15,,
6,Kumari Bank Limited,,,,,,KBL,262258613,,100,26225.86,100764714,21968.09,,274804,272.9,150.7,219.77,218.013672,231,57636.58,,
7,Laxmi Sunrise Bank Limited,,,,,,LSL,243465123,,100,24346.51,46839596,10985.5,,101996,300,172.2,238.74,234.534404,231,58124.86,,
8,Machhapuchhre Bank Limited,,,,,,MBL,116213573,,100,11621.36,30319327,7356.03,,77538,295,196,259.41,242.618642,231,30146.96,,
9,Nabil Bank Limited,,,,,,NABIL,270569984,,100,27057,20891380,11701.28,,180407,700,474.1,541.37,560.100819,231,146478.47,,
10,Nepal Bank Limited,,,,,,NBL,146940230,,100,14694.02,30289863,8343.09,,103176,337.5,226.2,291.44,275.441643,231,42824.26,,
