Unnamed: 0,Unnamed: 1,Unnamed: 2,Nepal Stock Exchange Limited,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,,,
,,,Cumulative Summary Report,,,,,,,,,,,,,,,,
,,,,,,( 17-Jul-2018 To 16-Jul-2019 ),,,( 17-Jul-2019 To 15-Jul-2020 ),,,,( 16-Jul-2020 To 15-Jul-2021 ),,,,,,
S.N. ,Particulars,,,,,Share Units ('000),           Amount            (Rs. in millions),,Share Units ('000),           Amount            (Rs. in millions),"Change
in
%",,Share Units ('000),,,           Amount            (Rs. in millions),,,"Change
in
%"
1,Turnover,,,,,387506.92,110074.97,,428522.04,150039.45,36.31,,3404513.52,,,1454444.24,,,869.37
2,Commercial Banks,,,,,187236.9,53938.57,,176309.07,54517.63,1.07,,950120.72,,,378012.13,,,593.38
3,Development Banks,,,,,30488.09,5651.63,,31004.34,6706.33,18.66,,238213.52,,,85981.59,,,1182.1
4,Finance,,,,,10173.14,1011.65,,11940.39,1981.19,95.84,,150394.65,,,55840.64,,,2718.54
5,Hotels And Tourism,,,,,3750.74,1243.88,,4850.4,1351.66,8.66,,34125.64,,,11830.38,,,775.25
6,Hydro Power,,,,,29686.37,6787.15,,41833.15,7015.46,3.36,,696786.75,,,222066.06,,,3065.38
7,Investment,,,,,0,0,,0,0,0,,85437.53,,,51677.69,,,0
8,Life Insurance,,,,,8843.01,6837.44,,24725.43,18137.1,165.26,,107405.95,,,126115.72,,,595.35
9,Manufacturing And Processing,,,,,6570.67,4320.98,,12368.55,9925.03,129.69,,24980.72,,,50220.47,,,406
10,Microfinance,,,,,10923.7,8465.03,,31675.14,23756.09,180.64,,121515.13,,,165743.41,,,597.69
11,Non Life Insurance,,,,,12772.06,8514.02,,27318.03,14543.04,70.81,,167100.98,,,163046.72,,,1021.13
12,Others,,,,,6001.61,3264.76,,7884.42,5266.68,61.32,,105786.06,,,112408.54,,,2034.33
13,Tradings,,,,,100.61,76.35,,423.39,782.07,924.32,,836.73,,,6234.68,,,697.2
14,Debentures,,,,,0.04,0.04,,167.05,163.94,409750,,408.28,,,437.17,,,166.66
15,Mutual Fund,,,,,38488.26,387.72,,29016.34,268.75,-30.68,,666021.54,,,8458.55,,,3047.37
16,Preference Shares,,,,,1.52,0.93,,3.05,2.03,118.28,,34.72,,,22.74,,,1020.2
17,Promotor Shares,,,,,42429.13,9566.98,,29003.07,5622.34,-41.23,,55343.64,,,16347.41,,,190.76
18,OddLot + Manual Trade,,,,,20440.633,3381.89,,5992.261,1096.39,-67.58,,18668.931,,,3142.7,,,186.64
19,Market Days,,,,,0,246,,0,182,-26.02,,0,,,246,,,35.16
20,Average Daily Turnover,,,,,0,435.05,,0,824.39,89.49,,0,,,5912.37,,,617.18
21,Number of Transactions,,,,,0,1422791,,0,1848773,29.94,,0,,,15417668,,,733.94
22,Number of Scripts Traded,,,,,0,278,,0,268,-3.6,,0,,,332,,,23.88
23,Number of Companies Listed,,,,,0,215,,0,212,-1.4,,0,,,219,,,3.3
24,Total Paid up value of Listed Shares,,,,,0,412280.73,,0,473389.58,14.82,,0,,,573236.17,,,21.09
25,Total Number of Listed Securities,,,,,4206601.98,0,,4827581.58,0,0,,5826048.26,,,0,,,0
26,Market Capitalization,,,,,0,1567499.39,,0,1792762.67,14.37,,0,,,4010957.81,,,123.73
27,Market Capitalization of Sensitive,,,,,0,795129.75,,0,849170.01,6.8,,0,,,1627686.26,,,91.68
28,Total Paid up value of Sensitive,,,,,0,206879.9,,0,225912.37,9.2,,0,,,260743.89,,,15.42
29,Cancelled Transactions,,,,,29,6.53,,207,34.71,431.55,,113,,,59.16,,,70.44
30,NEPSE Index High,,,,,0,1321,,0,1632.18,23.56,,0,,,3025.83,,,85.39
31,NEPSE Index Low,,,,,0,1100.58,,0,1109.17,0.78,,0,,,1381.38,,,24.54
32,NEPSE Index Closing,,,,,0,1259.02,,0,1362.35,8.21,,0,,,2883.41,,,111.65
33,NEPSE Sensitive Index High,,,,,0,282.85,,0,347.69,22.92,,0,,,550.26,,,58.27
34,NEPSE Sensitive Index Low,,,,,0,233.88,,0,244.86,4.69,,0,,,287.07,,,17.24
35,NEPSE Sensitive Index Closing,,,,,0,271.25,,0,288.25,6.27,,0,,,541.41,,,87.83
36,NEPSE Float Index High,,,,,0,96.95,,0,115.71,19.35,,0,,,210.22,,,81.68
37,NEPSE Float Index Low,,,,,0,79.95,,0,82.48,3.18,,0,,,96.72,,,17.25
38,NEPSE Float Index Closing,,,,,0,92.43,,0,95.47,3.29,,0,,,200.34,,,109.86
