Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,S.N. ,Name,Type of Listing,Listing Date ,Listed Unit
,1,Kisan Microfinance Bittiya Sanstha Limited,Bonus,2077.04.04,205992.75
,2,Chautari Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.04,130200
,3,Aarambha Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.04,44200
,4,Arun Valley Hydropower Development Company Limited,Bonus,2077.04.04,653109
,5,Sparsha Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.07,107851.9
,6,Samata Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.07,91008
,7,Deprosc Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.07,2320231.32
,8,Sana Kisan Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.08,2141945.13
,9,Mahuli Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.13,204000
,10,Summit Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.18,443000
,11,Soaltee Hotel Limited,Bonus,2077.04.21,10990436
,12,Excel Development Bank Limited,Bonus,2077.04.22,1184472.5
,13,Global IME Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.22,386601.25
,14,Prabhu Insurance Limited,Bonus,2077.04.22,511989
,15,Naya Nepal Laghubitta Bittiya Sanstha Limited,Bonus,2077.04.25,168000
,16,Nepal Bangladesh Bank Limited,Bonus,2077.04.26,4075151
,17,Citizen Investment Trust,Bonus,2077.04.32,2958713.065
,18,IME General Insurance Limited,Bonus,2077.05.01,612360
,19,Nepal Insurance Company Limited,Bonus,2077.05.01,547768.33
,20,Prime Life Insurance Company Limited,Bonus,2077.05.07,2509925
,21,Saptakoshi Development Bank Limited,Bonus,2077.05.10,472267.0368
,22,Samudayik Laghubitta Bittiya Sanstha Limited,Bonus,2077.05.12,320000
,23,Shine Resunga Development Bank Limited,Bonus,2077.05.21,3934356.19
,24,Civil Laghubitta Bittiya Sanstha Limited,Bonus,2077.05.23,57057
,25,Support Laghubitta Bittiya Sanstha Limited,Bonus,2077.05.23,60000
,26,Nagbeli Laghubittta Bittiya Sanstha Limited,Bonus,2077.05.24,435966.7
,27,Womi Laghubitta Bittiya Sanstha Limited,Bonus,2077.05.24,252720
,28,Mithila Laghubitta Bittiya Sanstha Limited,Bonus,2077.05.29,158792.4
,29,Chhyangdi Hydropower Limited,Bonus,2077.06.07,135000
,30,Swabhiman Laghubitta Bittiya Sanstha Limited,Bonus,2077.06.22,148466.4
,31,NMB Laghubitta Bittiya Sanstha Limited,Bonus,2077.06.23,486018.75
,32,Himalayan Bank Limited,Bonus,2077.06.25,8520255.84
,33,Swabalamban Laghubitta Bittiya Sanstha Limited,Bonus,2077.06.28,1635109.84
,34,Himalayan General Insurance Company Limited ,Bonus,2077.07.16,410880
,35,Tinau Mission Development Bank Limited,Bonus,2077.07.17,1373001.7509
,36,Nirdhan utthan Laghubitta Bittiya Sanstha Limited ,Bonus,2077.07.23,3000000
,37,Lumbini General Insurance Company Limited,Bonus,2077.07.26,858000
,38,Narayani Development Bank Limited,Bonus,2077.08.08,218746
,39,Nerude Laghubitta Bittiya Sanstha Limited,Bonus,2077.08.12,596470.5
,40,Vijaya Laghubitta Bittiya Sanstha Limited,Bonus,2077.08.15,292215
,41,Forward Community Microfinance Laghubitta Bittiya Sanstha Limited,Bonus,2077.08.16,1227434
,42,Janautthan Samudayik Laghubitta Bittiya Sanstha Limited,Bonus,2077.08.28,158400
,43,Ridi Hydropower Development Company Limited,Bonus,2077.08.30,265559
,44,Gurans Life Insurance Company Limited,Bonus,2077.09.14,985446
,45,Kumari Bank Limited,Bonus,2077.09.28,13584253.67
,46,NIC Asia Bank Limited,Bonus,2077.10.02,18463537.98
,47,Bank of Kathmandu Limited,Bonus,2077.10.05,11112890
,48,Salt Trading Corporation Limited,Bonus,2077.10.14,384488
