Unnamed: 0,Unnamed: 1,Nepal Stock Exchange Limited,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,
,,Top 10 Securities by Market Capitalization,,,,
,,( 16-Jul-2020 To 15-Jul-2021 ),,,,
S.N. ,Security Name,,,,Symbol,Capitalization (Rs. In Million)
1,Nepal Doorsanchar Comapany Limited,,,,NTC,197100
2,Nabil Bank Limited,,,,NABIL,183195.35
3,Nepal Reinsurance Company Limited,,,,NRIC,159400
4,Nepal Life Insurance Co. Ltd.,,,,NLIC,138167.44
5,NIC Asia Bank Ltd.,,,,NICA,114946.22
6,Citizen Investment Trust,,,,CIT,114155.71
7,Hydorelectricity Investment and Development Company Ltd,,,,HIDCL,98780
8,Nepal Infrastructure Bank Limited,,,,NIFRA,98400
9,Global IME Bank Limited,,,,GBIME,95399.34
10,Prime Commercial Bank Ltd.,,,,PCBL,77037.75
