Unnamed: 0,Unnamed: 1,Nepal Stock Exchange Limited,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,
,,Top 10 Securities by Shares Traded,,,,
,,( 16-Jul-2020 To 15-Jul-2021 ),,,,
SNo. ,Security Name,,,,Symbol,Number of Shares
1,National Hydro Power Company Limited,,,,NHPC,85595
2,Nepal Bank Limited,,,,NBL,69495
3,Kumari Bank Limited,,,,KBL,67291
4,Prabhu  Bank Limited,,,,PRVU,62349
5,Global IME Bank Limited,,,,GBIME,61902
6,Nepal Credit And Commercial Bank Limited,,,,NCCB,60428
7,Arun Kabeli Power Ltd.,,,,AKPL,57787
8,Api Power Company Ltd.,,,,API,55955
9,Hydorelectricity Investment and Development Company Ltd,,,,HIDCL,54254
10,Himal Dolakha Hydropower Company Limited,,,,HDHPC,53957
