Unnamed: 0,Unnamed: 1,Nepal Stock Exchange Limited,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,
,,Top 10 Securities by Number of Trades,,,,
,,( 16-Jul-2020 To 15-Jul-2021 ),,,,
S.N. ,Security Name,,,,Symbol,Number of Trades
1,Nepal Infrastructure Bank Limited,,,,NIFRA,592968
2,Nepal Reinsurance Company Limited,,,,NRIC,517176
3,Upper Tamakoshi Hydropower Ltd,,,,UPPER,285865
4,Global IME Bank Limited,,,,GBIME,285068
5,Reliance Life Insurance Limited,,,,RLI,280675
6,Nepal Life Insurance Co. Ltd.,,,,NLIC,261670
7,Hydorelectricity Investment and Development Company Ltd,,,,HIDCL,237199
8,Prabhu  Bank Limited,,,,PRVU,220225
9,Kumari Bank Limited,,,,KBL,207746
10,Api Power Company Ltd.,,,,API,206828
