Unnamed: 0,Unnamed: 1,Nepal Stock Exchange Limited,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,
,,Top 10 Securities by Amount Traded,,,,,,,,
,,( 16-Jul-2020 To 15-Jul-2021 ),,,,,,,,
S.N. ,Name of the Security ,,,,,Symbol,,,,Amount Traded (Rs. In Million)
1,Nepal Reinsurance Company Limited,,,,,NRIC,,,,65322.848766
2,Nepal Life Insurance Co. Ltd.,,,,,NLIC,,,,45693.291754
3,NIC Asia Bank Ltd.,,,,,NICA,,,,32431.901245
4,Nabil Bank Limited,,,,,NABIL,,,,30689.79017
5,Himalayan Distillery Limited,,,,,HDL,,,,28045.097418
6,Nepal Infrastructure Bank Limited,,,,,NIFRA,,,,27755.224142
7,Nepal Bank Limited,,,,,NBL,,,,27417.53553
8,Nepal Doorsanchar Comapany Limited,,,,,NTC,,,,25542.346504
9,Upper Tamakoshi Hydropower Ltd,,,,,UPPER,,,,24591.152152
10,Prabhu  Bank Limited,,,,,PRVU,,,,24527.015117
