Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Nepal Stock Exchange Limited,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,"Singhadurbar Plaza, Kathmandu, Nepal.
Phone: 977-1-4250758,4250735, Fax: 977-1-4262538
Email: info@nepalstock.com",,,,,,,,,,,,,,,,,
,,,,,,Trades By Sector/Company,,,,,,,,,,,,,,,,,
,,,,,,( 16-Jul-2020 To 15-Jul-2021 ),,,,,,,,,,,,,,,,,
Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,
S.N. ,Company Name,,Symbol,"No. of Listed
Shares",Paid Up per Share,,,,"Paid Up Capital
(In Million)",Traded Share Quantity,"Traded Amount Rs.
(In Million)",,No. Of Trades,High,Low,Close,,Average,,"No. Of Trading
Days",,,"Market Capitalisation
(In Million)"
1,Agriculture Development Bank Limited,,ADBL,109899296,100,,,,10989.93,18177068,8461.83,,98961,576,389,479,,465.52,,246,,,52641.76
2,Bank of Kathmandu Ltd.,,BOKL,96581764,100,,,,9658.18,32543275,10075.34,,118041,405,216,379,,309.6,,246,,,36604.49
3,Century Commercial Bank Ltd.,,CCBL,90344296,100,,,,9034.43,45852542,11240.83,,148548,324,167,291,,245.15,,246,,,26290.19
4,Citizen Bank International Limited,,CZBIL,116620409,100,,,,11662.04,36185343,10876.47,,132479,417,190,386,,300.58,,246,,,45015.48
5,Civil Bank Ltd,,CBL,86436611,100,,,,8643.66,53345363,12180.5,,165484,310,138,286,,228.33,,246,,,24720.87
6,Everest Bank Limited,,EBL,88937172,100,,,,8893.72,15880090,11991.68,,87955,864,638,738,,755.14,,246,,,65635.63
