,,,,,,,,,,,,,,,,,,,,,,,
1,ACLBSL,28.89,"1,143.20","1,172.00","1,143.00","1,159.23","1,160.10",-0.87,0.00,"1,156.62","3,769.00","1,141.12","4,359,316.80",135,18.11,29.00,1.59,2.54,0.22,"1,094.20","1,088.67","1,345.00",965.00
2,ADBL,24.81,334.30,334.30,325.10,326.85,328.00,-1.15,0.00,327.67,"41,801.00",327.80,"13,696,872.30",251,-0.95,9.20,-0.29,2.83,-0.25,296.85,306.39,428.40,272.30
3,ADBLD83,35.37,"1,120.00","1,120.00","1,085.00","1,099.00","1,099.00",0.00,0.00,"1,092.50",789.00,"1,105.00","861,980.00",3,-6.00,35.00,-0.54,3.23,0.59,"1,105.19","1,094.42","1,160.00","1,046.00"
4,AHL,23.24,640.00,657.70,640.00,649.29,649.50,-0.21,0.00,648.32,"5,054.00",648.24,"3,276,594.00",96,1.05,17.70,0.16,2.77,0.15,692.66,710.20,891.00,579.50
5,AHPC,24.24,291.10,300.00,291.00,298.24,298.90,-0.66,0.00,297.49,"203,202.00",294.36,"60,451,270.20",614,3.88,9.00,1.32,3.09,0.25,281.06,276.01,349.00,221.10
6,AKJCL,24.56,209.10,213.80,209.10,211.89,212.00,-0.11,0.00,211.82,"132,711.00",209.65,"28,111,287.90",449,2.24,4.70,1.07,2.25,0.03,209.49,208.11,274.90,187.20
7,AKPL,29.36,268.00,276.00,264.10,273.21,273.10,0.11,0.00,270.68,"342,723.00",264.70,"92,767,056.10",969,8.51,11.90,3.21,4.51,0.93,250.56,249.18,326.00,211.00
8,ALBSL,40.83,"1,025.00","1,028.00","1,000.00","1,022.00","1,022.90",-0.90,0.00,"1,017.23","51,064.00","1,012.46","51,943,700.30",449,9.54,28.00,0.94,2.80,0.47,854.00,857.67,"1,177.00",771.00
9,ALICL,21.87,497.20,502.00,496.30,499.91,500.00,-0.09,0.00,500.32,"13,889.00",498.20,"6,948,940.60",110,1.71,5.70,0.34,1.15,-0.08,649.15,678.26,831.00,484.80
10,ANLB,28.25,"5,700.20","5,858.80","5,700.20","5,814.45","5,858.80",-44.35,-0.01,"5,742.98",527.00,"5,761.96","3,026,550.80",41,52.49,158.60,0.91,2.78,1.23,"5,342.01","5,312.33","6,735.00","2,792.00"
11,API,23.50,299.00,301.90,296.00,300.73,301.90,-1.17,0.00,299.56,"130,922.00",296.72,"39,219,468.20",638,4.01,5.90,1.35,1.99,0.39,291.88,286.84,390.00,246.00
12,AVYAN,32.07,"1,119.00","1,162.00","1,119.00","1,143.08","1,148.00",-4.92,0.00,"1,142.97","12,168.00","1,140.24","13,907,613.60",157,2.84,43.00,0.25,3.84,0.01,"1,073.05","1,068.20","1,306.80",832.00
13,BARUN,42.30,363.60,392.10,363.00,391.41,392.00,-0.59,0.00,383.19,"252,997.00",356.54,"96,945,083.60","1,187",34.87,29.10,9.78,8.02,2.10,471.02,456.77,589.00,296.10
14,BBC,30.05,"5,600.00","5,942.00","5,525.00","5,588.30","5,600.00",-11.70,0.00,"5,645.06",440.00,"5,525.45","2,483,825.00",35,62.85,417.00,1.14,7.55,-1.02,"5,624.16","5,611.49","7,247.00","4,010.00"
15,BEDC,23.60,735.00,775.00,735.00,760.57,760.00,0.57,0.00,765.65,"16,475.00",741.23,"12,614,090.20",217,19.34,40.00,2.61,5.44,-0.67,753.66,729.43,"1,080.00",417.10
16,BFC,27.09,530.00,530.00,515.00,525.44,526.00,-0.56,0.00,520.80,"40,119.00",522.45,"20,894,154.30",241,2.99,15.00,0.57,2.91,0.88,537.94,593.39,951.60,456.00
17,BFCPO,29.78,285.00,285.00,279.30,279.30,279.30,0.00,0.00,282.15,"83,700.00",285.00,"23,615,955.00",2,-5.70,5.70,-2.00,2.04,-1.02,0.00,0.00,350.00,279.30
18,BGWT,30.97,928.00,946.80,910.00,933.21,932.00,1.21,0.00,925.45,"5,138.00",928.33,"4,754,980.50",85,4.88,36.80,0.53,4.04,0.83,995.55,"1,005.69","1,241.00",857.60
19,BHDC,34.53,611.00,620.00,606.60,608.53,607.00,1.53,0.00,610.92,"189,084.00",609.50,"115,515,762.70",585,-0.97,13.40,-0.16,2.21,-0.39,556.87,596.20,829.70,426.00
20,BHL,38.26,220.90,229.00,217.30,218.01,218.00,0.01,0.00,219.81,"468,475.00",216.57,"102,975,250.60","1,683",1.44,11.70,0.66,5.38,-0.83,260.04,298.30,520.00,202.20
21,BHPL,30.09,780.10,809.90,780.10,807.72,807.00,0.72,0.00,799.91,"4,597.00",790.75,"3,677,182.00",75,16.97,29.80,2.15,3.82,0.97,944.11,917.07,"1,308.40",654.00
22,BNHC,23.26,532.00,532.00,518.00,523.18,527.00,-3.82,-0.01,527.27,"12,766.00",522.28,"6,731,093.50",118,0.90,14.00,0.17,2.70,-0.78,520.39,516.93,689.80,440.00
23,BNT,21.83,"12,740.00","12,740.00","12,510.00","12,530.10","12,530.10",0.00,0.00,"12,606.68",60.00,"12,650.00","756,401.00",5,-119.90,230.00,-0.95,1.84,-0.61,"12,861.04","13,234.59","17,523.00","12,050.00"
24,BPCL,24.71,914.90,915.00,884.30,887.40,889.90,-2.50,0.00,894.96,"210,491.00",902.19,"188,380,057.30",897,-14.79,30.70,-1.64,3.47,-0.85,598.51,537.94,"1,065.00",375.10
25,C30MF,22.84,10.11,10.30,10.11,10.30,10.30,0.00,0.00,10.27,"5,540.00",10.11,"56,891.00",9,0.19,0.19,1.88,1.88,0.30,9.53,9.49,10.92,8.65
26,CBBL,28.52,"1,079.90","1,080.00","1,063.00","1,077.36","1,079.90",-2.54,0.00,"1,072.76","58,697.00","1,064.48","62,967,768.20",352,12.88,17.00,1.21,1.60,0.43,906.71,908.11,"1,155.00",821.50
27,CCBD88,25.90,"1,135.00","1,135.00","1,135.00","1,135.00","1,135.00",0.00,0.00,"1,135.00",25.00,"1,157.50","28,375.00",1,-22.50,0.00,-1.94,0.00,0.00,"1,148.61","1,126.11","1,250.00","1,074.70"
28,CFCL,25.65,527.00,537.00,527.00,531.56,530.80,0.76,0.00,531.33,"16,939.00",530.00,"9,000,205.80",110,1.56,10.00,0.29,1.90,0.04,562.55,582.29,820.00,457.70
29,CGH,23.37,997.50,"1,009.00",991.10,"1,003.49","1,003.90",-0.41,0.00,"1,001.68","39,763.00",990.21,"39,829,833.00",280,13.28,17.90,1.34,1.81,0.18,921.50,921.73,"1,325.00",842.10
30,CHCL,24.17,530.00,540.00,528.50,529.59,529.10,0.49,0.00,530.34,"64,889.00",529.75,"34,413,183.60",430,-0.16,11.50,-0.03,2.18,-0.14,516.70,527.93,697.00,469.70
31,CHDC,24.69,"2,750.00","2,773.00","2,700.00","2,722.41","2,724.00",-1.59,0.00,"2,722.88","24,984.00","2,731.94","68,028,386.80",302,-9.53,73.00,-0.35,2.70,-0.02,"2,516.93","2,238.67","2,997.90","1,538.60"
32,CHL,36.26,302.00,319.00,302.00,315.28,319.00,-3.72,-0.01,312.60,"22,627.00",302.90,"7,073,178.50",213,12.38,17.00,4.09,5.63,0.85,411.03,412.90,599.70,276.00
33,CIT,24.29,"1,970.00","1,975.00","1,960.00","1,970.79","1,971.00",-0.21,0.00,"1,968.61","13,914.00","1,960.78","27,391,199.60",270,10.01,15.00,0.51,0.77,0.11,"1,956.20","2,005.16","2,700.00","1,869.00"
34,CITY,33.78,951.00,951.00,934.00,943.21,943.90,-0.69,0.00,943.89,"29,245.00",932.40,"27,604,130.50",407,10.81,17.00,1.16,1.82,-0.07,871.51,883.51,"1,142.00",732.90
35,CKHL,25.79,659.00,680.00,658.60,668.82,667.10,1.72,0.00,669.08,"9,459.00",669.30,"6,328,813.60",99,-0.48,21.40,-0.07,3.25,-0.04,701.16,716.29,910.00,590.00
36,CLI,25.35,494.90,495.00,484.00,488.96,490.00,-1.04,0.00,487.61,"33,008.00",485.23,"16,095,145.40",599,3.73,11.00,0.77,2.27,0.28,530.15,585.36,774.90,448.20
37,CMF2,26.23,10.10,10.10,10.10,10.10,10.10,0.00,0.00,10.10,"2,275.00",10.10,"22,977.50",3,0.00,0.00,0.00,0.00,0.00,9.56,9.55,10.86,9.00
38,CORBL,34.06,"2,050.00","2,133.80","2,009.00","2,040.81","2,055.00",-14.19,-0.01,"2,050.64","15,493.00","2,081.76","31,770,489.00",207,-40.95,124.80,-1.97,6.21,-0.48,"2,162.80","1,981.76","2,842.30",638.00
39,CREST,27.07,"1,335.00","1,355.00","1,335.00","1,338.13","1,339.00",-0.87,0.00,"1,340.52","14,195.00","1,335.74","19,028,615.90",457,2.39,20.00,0.18,1.50,-0.18,0.00,0.00,"2,458.20",302.50
