S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,27.85,"1,175.00","1,175.00","1,118.00","1,119.27","1,118.00",1.27,0.00,"1,140.61","2,022.00","1,159.23","2,306,321.30",68,-39.96,57.00,-3.45,5.10,-1.91,"1,093.79","1,089.14","1,345.00",965.00
2,ADBL,40.16,333.30,344.90,333.00,334.44,335.00,-0.56,0.00,336.37,"377,771.00",326.85,"127,070,981.70","1,246",7.59,11.90,2.32,3.57,-0.58,297.18,306.21,428.40,272.30
3,ADBLD83,26.87,"1,080.00","1,080.10","1,080.00","1,080.10","1,080.10",0.00,0.00,"1,080.01",425.00,"1,099.00","459,002.50",3,-18.90,0.10,-1.72,0.01,0.01,"1,105.15","1,094.70","1,160.00","1,046.00"
4,AHL,26.77,640.00,657.50,633.00,635.19,634.10,1.09,0.00,643.49,"9,409.00",649.29,"6,054,632.00",106,-14.10,24.50,-2.17,3.87,-1.31,691.08,709.95,891.00,579.50
5,AHPC,24.49,292.30,308.00,292.30,296.97,296.30,0.67,0.00,299.88,"177,196.00",298.24,"53,137,470.10",713,-1.27,15.70,-0.43,5.37,-0.98,281.30,276.12,349.00,239.30
6,AKJCL,26.17,212.00,215.00,208.90,209.03,209.00,0.03,0.00,211.11,"151,537.00",211.89,"31,990,933.80",511,-2.86,6.10,-1.35,2.92,-0.99,209.49,208.10,274.90,187.20
7,AKPL,24.09,274.00,275.00,265.10,265.73,265.20,0.53,0.00,269.20,"177,842.00",273.21,"47,875,880.70",700,-7.48,9.90,-2.74,3.73,-1.31,250.76,249.23,326.00,211.30
8,ALBSL,41.40,"1,023.10","1,026.00",997.20,"1,014.23","1,013.00",1.23,0.00,"1,011.19","54,878.00","1,022.00","55,492,206.40",426,-7.77,28.80,-0.76,2.89,0.30,854.84,857.43,"1,177.00",771.00
9,ALICL,26.74,500.00,509.00,490.00,491.68,491.20,0.48,0.00,496.02,"31,558.00",499.91,"15,653,428.90",202,-8.23,19.00,-1.65,3.88,-0.88,646.87,676.80,831.00,484.80
10,ANLB,40.12,"5,698.20","5,812.10","5,650.00","5,715.62","5,706.00",9.62,0.00,"5,672.96","2,587.00","5,814.45","14,675,939.00",34,-98.83,162.10,-1.70,2.87,0.75,"5,348.39","5,317.48","6,735.00","2,792.00"
11,API,23.92,301.00,305.00,297.60,297.92,297.60,0.32,0.00,299.40,"120,347.00",300.73,"36,031,402.60",659,-2.81,7.40,-0.93,2.49,-0.50,292.01,286.88,390.00,246.20
12,AVYAN,34.05,"1,165.00","1,165.00","1,105.00","1,116.44","1,120.00",-3.56,0.00,"1,121.93","13,946.00","1,143.08","15,646,427.50",132,-26.64,60.00,-2.33,5.43,-0.49,"1,072.77","1,069.26","1,306.80",832.00
